# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.5417200189 0.8344326672 0.2920401320 2.3410286705 86.6896625158 89.0956270730 86.6896625158 0.5417200189 0.8344326672 0.4400724774
0.5682029706 0.8402021632 0.4774207945 2.3814151422 85.1406274808 88.4243806445 85.1406274808 0.5682029706 0.8402021632 0.4104068705
0.5632641585 0.8365471691 0.4428491094 2.3558301834 85.9394240107 87.6195240222 85.9394240107 0.5632641585 0.8365471691 0.4231178915
0.5608143474 0.8381054476 0.4257004316 2.3667381332 88.5986901015 87.4119578680 87.4119578680 0.5608143474 0.8381054476 0.4110980078
0.5531168636 0.8432351577 0.3718180450 2.4026461036 84.6770616427 86.1627543182 84.6770616427 0.5531168636 0.8432351577 0.4180969878
0.5844775051 0.8449223548 0.5913425356 2.4144564839 72.5454569884 84.9110547519 72.5454569884 0.5844775051 0.8449223548 0.3849167830
0.5532149139 0.8375345718 0.3725043970 2.3627420028 86.9500363591 84.8257057763 84.8257057763 0.5532149139 0.8375345718 0.4390809391
0.0423545767 0.0805599888 -3.2035179628 -2.9360800786 11.7768412735 82.5809560226 11.7768412735 0.0423545767 0.0805599888 0.4979941915
0.5274916488 0.8264395910 0.1924415416 2.2850771370 69.2303304723 81.5228596257 69.2303304723 0.5274916488 0.8264395910 0.4641377465
0.5914992097 0.8398752227 0.6404944677 2.3791265592 72.6016203450 79.8329112096 72.6016203450 0.5914992097 0.8398752227 0.3840069865
0.5845627253 0.8484587050 0.5919390773 2.4392109351 64.5718137927 77.3044898216 64.5718137927 0.5845627253 0.8484587050 0.3737503836
0.5221672838 0.8428644254 0.1551709867 2.4000509779 67.6109583180 77.2578030455 67.6109583180 0.5221672838 0.8428644254 0.4453303500
0.5634744029 0.8380049866 0.4443208203 2.3660349065 85.2362928275 76.7851093104 76.7851093104 0.5634744029 0.8380049866 0.3958690985
0.5256646419 0.8245588141 0.1796524931 2.2719116986 67.2706036919 76.7454948770 67.2706036919 0.5256646419 0.8245588141 0.4589800778
0.5247544532 0.8282146174 0.1732811722 2.2975023216 56.4442766218 75.9168112801 56.4442766218 0.5247544532 0.8282146174 0.4354683422
0.5375903150 0.8365622340 0.2631322051 2.3559356380 69.8514052887 74.3925790983 69.8514052887 0.5375903150 0.8365622340 0.4160329715
0.5602958654 0.8334074768 0.4220710576 2.3338523375 85.7718127388 73.9173047118 73.9173047118 0.5602958654 0.8334074768 0.4021232663
0.6257062001 0.2676793654 0.8799434007 -1.6262444424 12.8881256039 73.8519476902 12.8881256039 0.6257062001 0.2676793654 0.1798238720
0.6252694375 0.2688710575 0.8768860627 -1.6179025976 12.8881256039 73.8458895595 12.8881256039 0.6252694375 0.2688710575 0.1827817503
0.6313289139 0.2649519989 0.9193023973 -1.6453360076 12.8881256039 73.8074553275 12.8881256039 0.6313289139 0.2649519989 0.1704504367
0.6302960773 0.2637339611 0.9120725409 -1.6538622723 12.8881256039 73.6116400236 12.8881256039 0.6302960773 0.2637339611 0.1743919376
0.6249657601 0.2680605184 0.8747603204 -1.6235763710 12.8881256039 73.4431459348 12.8881256039 0.6249657601 0.2680605184 0.1719310785
0.6217742101 0.2688566822 0.8524194704 -1.6180032243 12.8881256039 73.3621903750 12.8881256039 0.6217742101 0.2688566822 0.1833344950
