# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.6865961522 0.3873277423 1.3061730653 -0.7887058039 87.0148167523 89.5456911735 87.0148167523 0.6865961522 0.3873277423 0.3436246052
0.6862011267 0.3934506523 1.3034078868 -0.7458454340 85.8236291726 89.4157785710 85.8236291726 0.6862011267 0.3934506523 0.3507398438
0.6783510413 0.3914094046 1.2484572889 -0.7601341678 80.2444714955 89.2992382029 80.2444714955 0.6783510413 0.3914094046 0.3639511444
0.6837563518 0.3886490495 1.2862944624 -0.7794566534 80.7117245128 87.8490743770 80.7117245128 0.6837563518 0.3886490495 0.3440809477
0.6755104260 0.3904655989 1.2285729823 -0.7667408074 78.2429180013 87.6454919282 78.2429180013 0.6755104260 0.3904655989 0.3690315176
0.6915229054 0.3809048652 1.3406603378 -0.8336659438 30.5958420994 86.6546289847 30.5958420994 0.6915229054 0.3809048652 0.3198091216
0.6884171198 0.3784156588 1.3189198386 -0.8510903883 49.0475548709 86.0954796768 49.0475548709 0.6884171198 0.3784156588 0.3419385198
0.6906446141 0.3871901542 1.3345122984 -0.7896689207 59.4271327696 85.9811133967 59.4271327696 0.6906446141 0.3871901542 0.3534386573
0.6684738530 0.3883640203 1.1793169710 -0.7814518578 66.3812548954 85.4392953248 66.3812548954 0.6684738530 0.3883640203 0.3795043996
0.7039151074 0.3806119129 1.4274057519 -0.8357166100 41.2542927503 84.0908528448 41.2542927503 0.7039151074 0.3806119129 0.3073353453
0.6923375502 0.3896892831 1.3463628516 -0.7721750183 48.1823630113 83.8600239124 48.1823630113 0.6923375502 0.3896892831 0.3549794467
0.6699673427 0.3831024277 1.1897713989 -0.8182830061 47.8671752250 83.7981625695 47.8671752250 0.6699673427 0.3831024277 0.3698351583
0.6871371634 0.3986953811 1.3099601440 -0.7091323326 81.1250807510 83.6194216389 81.1250807510 0.6871371634 0.3986953811 0.3399663229
0.7107175533 0.3754352257 1.4750228731 -0.8719534202 3.2934802422 82.8346083304 3.2934802422 0.7107175533 0.3754352257 0.2925549195
0.6739240289 0.4112630714 1.2174682026 -0.6211585002 14.0691470076 82.8284633043 14.0691470076 0.6739240289 0.4112630714 0.3532213175
0.6780110338 0.3834053512 1.2460772365 -0.8161625414 82.7739174856 82.6720526079 82.6720526079 0.6780110338 0.3834053512 0.3741703835
0.6647236416 0.4064986283 1.1530654909 -0.6545096019 16.1562991271 82.5948429142 16.1562991271 0.6647236416 0.4064986283 0.3746561650
0.6880222736 0.4026369219 1.3161559155 -0.6815415470 45.2562856512 82.4590861309 45.2562856512 0.6880222736 0.4026369219 0.3548433903
0.6840105747 0.3830199716 1.2880740229 -0.8188601986 44.5017990749 82.0415638957 44.5017990749 0.6840105747 0.3830199716 0.3324570383
0.6868430742 0.4040114979 1.3079015194 -0.6719195150 57.9318677204 81.9709326888 57.9318677204 0.6868430742 0.4040114979 0.3450508090
0.7041189709 0.3872556994 1.4288327963 -0.7892101041 33.9177219673 81.9006550099 33.9177219673 0.7041189709 0.3872556994 0.3055235829
0.7098892191 0.3785315809 1.4692245335 -0.8502789338 13.6312398329 81.8719039887 13.6312398329 0.7098892191 0.3785315809 0.2868131647
0.6719099916 0.3795309117 1.2033699412 -0.8432836179 52.5035806943 81.5957132902 52.5035806943 0.6719099916 0.3795309117 0.3708032740
0.7166624444 0.3779110591 1.5166371107 -0.8546225863 8.0864335003 80.6620564494 8.0864335003 0.7166624444 0.3779110591 0.2692530881
0.7089499889 0.3767358887 1.4626499224 -0.8628487789 13.9283021528 80.3882946447 13.9283021528 0.7089499889 0.3767358887 0.2960767289
0.6975045686 0.3953018395 1.3825319800 -0.7328871236 60.2407378498 80.0827983453 60.2407378498 0.6975045686 0.3953018395 0.3273175227
0.6734417986 0.3875970213 1.2140925899 -0.7868208507 73.6527260053 80.0677429664 73.6527260053 0.6734417986 0.3875970213 0.3970526365
0.6831470998 0.3928176029 1.2820296987 -0.7502767796 46.0262850232 79.6013161730 46.0262850232 0.6831470998 0.3928176029 0.3826767733
0.6549512123 0.3997207901 1.0846584862 -0.7019544696 4.8125880787 79.5859618985 4.8125880787 0.6549512123 0.3997207901 0.4277652806
0.6676193063 0.3973416833 1.1733351443 -0.7186082169 47.3883395689 79.4830172533 47.3883395689 0.6676193063 0.3973416833 0.3733115180
0.6642077259 0.4130343181 1.1494540814 -0.6087597731 7.6973695163 79.4749392278 7.6973695163 0.6642077259 0.4130343181 0.3899492338
0.7088392195 0.3842316270 1.4618745363 -0.8103786108 35.5724229338 79.2796300324 35.5724229338 0.7088392195 0.3842316270 0.2988039558
0.6593630092 0.3957423584 1.1155410643 -0.7298034911 26.1986903152 79.1561013318 26.1986903152 0.6593630092 0.3957423584 0.4175385940
0.6469067998 0.4093388019 1.0283475983 -0.6346283868 3.5978337912 78.1772228280 3.5978337912 0.6469067998 0.4093388019 0.4461783805
0.6585701397 0.4063376436 1.1099909776 -0.6556364948 8.4135663645 77.5487867655 8.4135663645 0.6585701397 0.4063376436 0.4324700637
0.7133671580 0.3661093057 1.4935701060 -0.9372348600 1.5806004136 77.1223081275 1.5806004136 0.7133671580 0.3661093057 0.3184199399
0.7184643439 0.3825126133 1.5292504074 -0.8224117066 5.5305035468 76.8881297272 5.5305035468 0.7184643439 0.3825126133 0.2670384307
0.6603106439 0.3814783459 1.1221745071 -0.8296515786 23.5518148452 76.7567520354 23.5518148452 0.6603106439 0.3814783459 0.3914397358
0.3644768986 0.3582329129 -0.9486617095 -0.9923696095 7.4433459458 76.0836003165 7.4433459458 0.3644768986 0.3582329129 0.6728494837
0.6665597888 0.4205736292 1.1659185217 -0.5559845955 16.1755128847 76.0809637936 16.1755128847 0.6665597888 0.4205736292 0.3536254945
0.3593425487 0.3551295693 -0.9846021588 -1.0140930147 7.4433459458 75.9672829572 7.4433459458 0.3593425487 0.3551295693 0.6685516625
0.6633155325 0.3979763860 1.1432087275 -0.7141652977 23.5705826667 75.8248098596 23.5705826667 0.6633155325 0.3979763860 0.4334692743
0.3695063399 0.3408995055 -0.9134556206 -1.1137034617 7.4433459458 75.7705428555 7.4433459458 0.3695063399 0.3408995055 0.6609772348
0.3672077336 0.3381997861 -0.9295458645 -1.1326014973 7.4433459458 75.7008485858 7.4433459458 0.3672077336 0.3381997861 0.6633287814
0.7114369141 0.3957329110 1.4800583989 -0.7298696230 14.1509299135 75.6170771467 14.1509299135 0.7114369141 0.3957329110 0.3325316579
0.6690701005 0.4221101867 1.1834907037 -0.5452286934 25.3536773204 75.3151549093 25.3536773204 0.6690701005 0.4221101867 0.3520877487
0.6692475583 0.3993451844 1.1847329078 -0.7045837093 44.2040937868 75.3018302616 44.2040937868 0.6692475583 0.3993451844 0.3605260987
0.6682042256 0.3870282977 1.1774295794 -0.7908019160 68.8487099971 75.1319690176 68.8487099971 0.6682042256 0.3870282977 0.3935619126
0.6731185851 0.4139317767 1.2118300957 -0.6024775631 10.4545491982 75.0781086212 10.4545491982 0.6731185851 0.4139317767 0.3944039777
0.6922310037 0.3707110502 1.3456170256 -0.9050226489 12.1100557353 75.0594066225 12.1100557353 0.6922310037 0.3707110502 0.3279117379
0.3646255173 0.3760570605 -0.9476213789 -0.8676005763 7.4433459458 74.9403882583 7.4433459458 0.3646255173 0.3760570605 0.6693839553
0.7310288516 0.3674926981 1.6172019610 -0.9275511133 0.8216058295 74.9188719708 0.8216058295 0.7310288516 0.3674926981 0.2283113557
0.3710090137 0.3218289517 -0.9029369044 -1.2471973380 7.4433459458 74.2414660815 7.4433459458 0.3710090137 0.3218289517 0.6527056323
0.3809554340 0.3455520494 -0.8333119620 -1.0811356543 7.4433459458 73.8485394518 7.4433459458 0.3809554340 0.3455520494 0.6602093189
0.6401383216 0.4065030667 0.9809682511 -0.6544785328 1.4912616382 73.8198721603 1.4912616382 0.6401383216 0.4065030667 0.4354992508
0.7090087856 0.4056249198 1.4630614990 -0.6606255617 7.6304428578 73.6001733937 7.6304428578 0.7090087856 0.4056249198 0.3373598295
0.3753904965 0.3296025095 -0.8722665248 -1.1927824338 7.4433459458 73.5975028385 7.4433459458 0.3753904965 0.3296025095 0.6573743091
0.3596431495 0.3491901790 -0.9824979532 -1.0556687467 7.4433459458 72.9361346603 7.4433459458 0.3596431495 0.3491901790 0.6594090714
0.3793056478 0.3745595046 -0.8448604652 -0.8780834676 7.4433459458 72.5916851957 7.4433459458 0.3793056478 0.3745595046 0.6785958001
0.6651681852 0.3911526179 1.1561772964 -0.7619316749 19.0386112871 72.4262999905 19.0386112871 0.6651681852 0.3911526179 0.4308987995
0.6723027917 0.4112438829 1.2061195417 -0.6212928198 18.4662878708 72.3558924094 18.4662878708 0.6723027917 0.4112438829 0.3395742911
0.7168940797 0.4024696241 1.5182585577 -0.6827126311 4.5023181926 72.2842000592 4.5023181926 0.7168940797 0.4024696241 0.3120282747
0.3741462187 0.3861893505 -0.8809764691 -0.7966745467 7.4433459458 72.0510832342 7.4433459458 0.3741462187 0.3861893505 0.6786891078
0.6319294916 0.4229768842 0.9235064409 -0.5391618109 0.0230571548 72.0028069125 0.0230571548 0.6319294916 0.4229768842 0.4859189738
0.3832928326 0.3597012755 -0.8169501715 -0.9820910717 7.4433459458 71.4129164093 7.4433459458 0.3832928326 0.3597012755 0.6654564968
0.3755050004 0.3716383152 -0.8714649969 -0.8985317937 7.4433459458 71.3048868163 7.4433459458 0.3755050004 0.3716383152 0.6821033249
0.3639923598 0.3630024033 -0.9520534812 -0.9589831767 7.4433459458 71.1537875610 7.4433459458 0.3639923598 0.3630024033 0.6818884239
0.3508581836 0.3129775086 -1.0439927149 -1.3091574399 7.4433459458 71.1136044232 7.4433459458 0.3508581836 0.3129775086 0.6527222332
0.6355332262 0.4138547372 0.9487325836 -0.6030168398 0.0370124751 70.9239649703 0.0370124751 0.6355332262 0.4138547372 0.4990278034
0.3854645901 0.3036041273 -0.8017478690 -1.3747711088 7.4433459458 70.9209760999 7.4433459458 0.3854645901 0.3036041273 0.6383014070
0.7146310273 0.3967379262 1.5024171909 -0.7228345166 1.7400268764 70.7036957550 1.7400268764 0.7146310273 0.3967379262 0.3352341491
0.6319332049 0.4223677629 0.9235324344 -0.5434256599 0.0284905885 70.1097608459 0.0284905885 0.6319332049 0.4223677629 0.4699521130
0.6896124608 0.3690035550 1.3272872259 -0.9169751152 10.5334150767 70.0375659398 10.5334150767 0.6896124608 0.3690035550 0.3036470109
