# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.1117195048 0.6382644650 -2.7179634661 0.9678512547 89.9999999060 89.9999999339 89.9999999060 0.1117195048 0.6382644650 0.5152020082
0.8557052971 0.4473256652 2.4899370794 -0.3687203434 89.9951348251 89.9929806372 89.9929806372 0.8557052971 0.4473256652 0.8760574811
0.1192226154 0.6351431907 -2.6654416922 0.9460023346 86.0276553062 86.9315967185 86.0276553062 0.1192226154 0.6351431907 0.4799875170
0.1029241926 0.6397839005 -2.7795306516 0.9784873038 85.9273785796 85.7506535252 85.7506535252 0.1029241926 0.6397839005 0.5522447086
0.8522679070 0.4613816292 2.4658753489 -0.2703285957 87.4826880644 85.2474400050 85.2474400050 0.8522679070 0.4613816292 0.8967558091
0.8613262590 0.4249390438 2.5292838128 -0.5254266934 86.1227281054 83.1252638219 83.1252638219 0.8613262590 0.4249390438 0.8509138783
0.0951644096 0.6414143326 -2.8338491329 0.9899003285 77.8715871152 77.6746485408 77.6746485408 0.0951644096 0.6414143326 0.5829639139
0.8583116605 0.4353054425 2.5081816233 -0.4528619026 77.6190139665 79.4842040123 77.6190139665 0.8583116605 0.4353054425 0.8978634667
0.1264599971 0.6330419092 -2.6147800203 0.9312933642 77.5257423877 79.1624025076 77.5257423877 0.1264599971 0.6330419092 0.4457793296
0.8586817857 0.4773416135 2.5107724996 -0.1586087057 74.0298844311 76.4565004329 74.0298844311 0.8586817857 0.4773416135 0.8564136121
0.8585764855 0.4091044632 2.5100353983 -0.6362687575 78.2409028263 73.9381172597 73.9381172597 0.8585764855 0.4091044632 0.8724868384
0.1026378035 0.6715481803 -2.7815353754 1.2008372622 72.6102056571 72.5387534741 72.5387534741 0.1026378035 0.6715481803 0.5149097568
0.1232597709 0.6076239580 -2.6371816035 0.7533677057 71.1131266538 76.5861494760 71.1131266538 0.1232597709 0.6076239580 0.5012700098
0.8395827382 0.4921082648 2.3770791673 -0.0552421461 73.4034726959 70.8311740752 70.8311740752 0.8395827382 0.4921082648 0.9124225545
0.1180469148 0.6101939267 -2.6736715964 0.7713574867 74.1637450010 70.5468610090 70.5468610090 0.1180469148 0.6101939267 0.5359269224
0.1279512496 0.6112841953 -2.6043412526 0.7789893674 68.2976059980 79.7055053629 68.2976059980 0.1279512496 0.6112841953 0.4841937019
0.8580179573 0.4771448001 2.5061257008 -0.1599863994 68.0971183387 74.3512711648 68.0971183387 0.8580179573 0.4771448001 0.8492007374
0.1283264689 0.6216848506 -2.6017147180 0.8517939543 66.3312974307 67.2908060001 66.3312974307 0.1283264689 0.6216848506 0.4234092874
0.0897409882 0.6469155432 -2.8718130826 1.0284088023 66.1281144783 67.1624481458 66.1281144783 0.0897409882 0.6469155432 0.6210859352
0.8646458122 0.4047851110 2.5525206852 -0.6665042230 78.5923999661 65.9986883369 65.9986883369 0.8646458122 0.4047851110 0.8244697211
