# from_x0 from_x1 to_x0 to_x1 length
0.4726967009 1.8813819050 0.5366602982 1.8822055830 0.0317789257
0.4685019718 1.8650662768 0.4726967009 1.8813819050 0.0063291551
0.6222374062 1.8872027453 0.5366602982 1.8822055830 0.0218258051
-1.5318830837 -0.8519613521 0.4726967009 1.8813819050 0.5772221391
0.5881518922 1.8676820540 0.6222374062 1.8872027453 0.0195648430
-1.4901150935 -1.0162847925 -1.5318830837 -0.8519613521 0.0340414493
-1.3650816982 -0.6019090382 -1.5318830837 -0.8519613521 0.0544933123
-1.4165749612 -0.7415559762 -1.5318830837 -0.8519613521 0.0243671676
1.9682262581 -3.0020403637 -1.4901150935 -1.0162847925 0.7160749166
0.6448586172 1.8959706682 0.5881518922 1.8676820540 0.0114096060
-1.4575267203 -0.9643530744 -1.4901150935 -1.0162847925 0.0097777973
1.9948701043 -2.9937694150 1.9682262581 -3.0020403637 0.0142415662
0.5254831018 2.0449607776 0.5366602982 1.8822055830 0.0242414516
0.5080976547 1.9837449547 0.5254831018 2.0449607776 0.0097294159
0.3793967200 1.8446407206 0.4726967009 1.8813819050 0.0220667976
0.6218031318 1.8321710978 0.6222374062 1.8872027453 0.0138203076
0.4493150023 1.7858343558 0.4685019718 1.8650662768 0.0116750137
0.6459530458 1.9215640266 0.6222374062 1.8872027453 0.0084858283
-1.3480604249 -0.2608474773 -1.3650816982 -0.6019090382 0.0543792635
-1.6743797884 -1.5142261930 1.9682262581 -3.0020403637 0.5853790003
-1.4775628597 -1.1568327290 -1.4901150935 -1.0162847925 0.0202215206
-1.7227026167 -1.3185186353 -1.6743797884 -1.5142261930 0.0290278369
0.5944281856 1.8750346045 0.6448586172 1.8959706682 0.0276803105
-1.6927601868 -1.2588608598 -1.7227026167 -1.3185186353 0.0123851330
0.5198365206 1.7276298585 0.4493150023 1.7858343558 0.0132117973
0.4660653147 1.8585075270 0.5366602982 1.8822055830 0.0198127737
-1.7294618692 -1.5437402235 -1.6743797884 -1.5142261930 0.0091376720
0.6143727962 1.9786471625 0.6459530458 1.9215640266 0.0143620672
-1.4828993995 -0.7174643969 -1.4165749612 -0.7415559762 0.0246966443
-1.6793410671 -1.5498400570 -1.7294618692 -1.5437402235 0.0098461698
1.6988339790 -3.0020982009 1.9948701043 -2.9937694150 0.0430983453
-1.3958232072 -0.2318164611 -1.3480604249 -0.2608474773 0.0295958234
-1.5074680604 -0.9051083857 -1.4575267203 -0.9643530744 0.0173532187
0.3190460486 1.8885102458 0.3793967200 1.8446407206 0.0106604715
0.5228987590 1.7506409068 0.5198365206 1.7276298585 0.0111577260
-1.4331611157 -0.7916618041 -1.3650816982 -0.6019090382 0.0302552901
-1.4233222071 -0.6245398136 -1.4828993995 -0.7174643969 0.0157806044
-1.5659707874 -1.6875668037 -1.6793410671 -1.5498400570 0.0269898064
-1.8463342059 -1.2346160997 -1.7227026167 -1.3185186353 0.0222100813
-1.5057267357 -1.2985561065 -1.4775628597 -1.1568327290 0.0360167119
0.8373836902 1.8379381334 0.5944281856 1.8750346045 0.0446755423
0.5180610021 1.8511866379 0.3793967200 1.8446407206 0.0235412187
-1.2648478618 -0.3012961015 -1.3480604249 -0.2608474773 0.0229829518
0.3560018319 2.0207565858 0.5180610021 1.8511866379 0.0643604932
-1.4897102860 -1.4546339229 -1.6793410671 -1.5498400570 0.0310497168
0.5597565098 1.7302346988 0.5198365206 1.7276298585 0.0100975856
-1.3749834940 -1.8940271873 -1.5659707874 -1.6875668037 0.0432003999
0.3521570225 1.8876728844 0.3190460486 1.8885102458 0.0160418808
-1.7220508374 -1.3084916778 -1.7227026167 -1.3185186353 0.0062832944
-1.6480539246 -1.6983661119 -1.5659707874 -1.6875668037 0.0134358903
-1.5450835255 -1.6798309086 -1.5659707874 -1.6875668037 0.0175126914
2.3696334463 -2.9699950275 1.9682262581 -3.0020403637 0.0591719932
0.7316966513 1.7813290993 0.8373836902 1.8379381334 0.0183684880
-1.7290726914 -1.1830399944 -1.6927601868 -1.2588608598 0.0139785906
0.1906425911 1.8419524778 0.3560018319 2.0207565858 0.0348090725
0.4599546468 1.9482034504 0.4660653147 1.8585075270 0.0143674152
-1.7528854009 -1.0575236547 -1.7290726914 -1.1830399944 0.0188649152
-1.5757734427 -1.3184985257 -1.6927601868 -1.2588608598 0.0187611608
-1.7098619777 -1.6469000609 -1.5057267357 -1.2985561065 0.0743489190
-1.5898627266 -1.7708749996 -1.6480539246 -1.6983661119 0.0134452942
0.2363430887 1.8576329122 0.1906425911 1.8419524778 0.0133860773
0.4950640851 1.6986001193 0.5228987590 1.7506409068 0.0134003060
-1.7867597102 -1.3689363238 -1.7220508374 -1.3084916778 0.0141085531
-1.3649581842 -2.0038454392 -1.3749834940 -1.8940271873 0.0180338885
-1.4276595312 -1.5590710735 -1.4897102860 -1.4546339229 0.0186824899
0.5000308885 1.8243719885 0.5180610021 1.8511866379 0.0111131299
-1.4593535120 -1.5535315806 -1.4276595312 -1.5590710735 0.0105998669
