# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.5766657569 0.7688865119 0.5366602982 1.8822055830 89.3860746291 88.4191230532 88.4191230532 0.5766657569 0.7688865119 0.4040664406
0.5675281001 0.7687688436 0.4726967009 1.8813819050 89.1207411995 89.5473196295 89.1207411995 0.5675281001 0.7687688436 0.4345030879
0.5669288531 0.7664380395 0.4685019718 1.8650662768 87.6196933772 87.7301131364 87.6196933772 0.5669288531 0.7664380395 0.4286493319
0.5888910580 0.7696003922 0.6222374062 1.8872027453 86.7019625409 85.6427561305 85.6427561305 0.5888910580 0.7696003922 0.3859999480
0.2811595595 0.3782912354 -1.5318830837 -0.8519613521 84.0891968354 68.1831229266 68.1831229266 0.2811595595 0.3782912354 0.7486777118
0.5840216989 0.7668117220 0.5881518922 1.8676820540 83.9318867368 73.4534531146 73.4534531146 0.5840216989 0.7668117220 0.3672570628
0.2871264152 0.3548164582 -1.4901150935 -1.0162847925 83.8188781991 18.8253632855 18.8253632855 0.2871264152 0.3548164582 0.7247580183
0.3049883288 0.4140129945 -1.3650816982 -0.6019090382 83.5134702812 31.3892353952 31.3892353952 0.3049883288 0.4140129945 0.7822286694
0.2976321484 0.3940634320 -1.4165749612 -0.7415559762 81.6987630427 85.5166248367 81.6987630427 0.2976321484 0.3940634320 0.7572596979
0.7811751797 0.0711370909 1.9682262581 -3.0020403637 80.5766280020 12.8055059848 12.8055059848 0.7811751797 0.0711370909 0.2909318768
0.5921226596 0.7708529526 0.6448586172 1.8959706682 78.6658175528 81.6752744243 78.6658175528 0.5921226596 0.7708529526 0.3603128566
0.2917818971 0.3622352751 -1.4575267203 -0.9643530744 78.6332516725 25.4949271596 25.4949271596 0.2917818971 0.3622352751 0.7291046222
0.7849814435 0.0723186550 1.9948701043 -2.9937694150 78.5200935365 12.8055059848 12.8055059848 0.7849814435 0.0723186550 0.3046044212
0.5750690145 0.7921372539 0.5254831018 2.0449607776 78.4150654010 53.6639219801 53.6639219801 0.5750690145 0.7921372539 0.4107373762
0.5725853792 0.7833921364 0.5080976547 1.9837449547 78.3083621565 72.2044398223 72.2044398223 0.5725853792 0.7833921364 0.4072709649
0.5541995314 0.7635201029 0.3793967200 1.8446407206 77.9445438205 83.7324293157 77.9445438205 0.5541995314 0.7635201029 0.4512883056
0.5888290188 0.7617387283 0.6218031318 1.8321710978 77.8226070937 75.0333097331 75.0333097331 0.5888290188 0.7617387283 0.3973661828
0.5641878575 0.7551191937 0.4493150023 1.7858343558 75.9238927636 63.3788802272 63.3788802272 0.5641878575 0.7551191937 0.4294718984
0.5922790065 0.7745091467 0.6459530458 1.9215640266 75.1245156259 86.1192922337 75.1245156259 0.5922790065 0.7745091467 0.3920361070
0.3074199393 0.4627360747 -1.3480604249 -0.2608474773 74.7380923990 14.1251630239 14.1251630239 0.3074199393 0.4627360747 0.8062547601
0.2608028874 0.2836819724 -1.6743797884 -1.5142261930 73.6032203462 12.8055059848 12.8055059848 0.2608028874 0.2836819724 0.1275124022
0.2889195915 0.3347381816 -1.4775628597 -1.1568327290 71.3335387457 14.1251630239 14.1251630239 0.2889195915 0.3347381816 0.7263571502
0.2538996262 0.3116401950 -1.7227026167 -1.3185186353 71.2009746919 12.8055059848 12.8055059848 0.2538996262 0.3116401950 0.1238657468
0.5849183122 0.7678620864 0.5944281856 1.8750346045 70.6576157190 55.0818196010 55.0818196010 0.5849183122 0.7678620864 0.3337543987
0.2581771162 0.3201627343 -1.6927601868 -1.2588608598 70.4971688559 12.8055059848 12.8055059848 0.2581771162 0.3201627343 0.1159625247
0.5742623601 0.7468042655 0.5198365206 1.7276298585 70.2866735435 42.6793498746 42.6793498746 0.5742623601 0.7468042655 0.4314512809
0.5665807592 0.7655010753 0.4660653147 1.8585075270 69.9145893869 69.5324198063 69.5324198063 0.5665807592 0.7655010753 0.3873518469
0.2529340187 0.2794656824 -1.7294618692 -1.5437402235 69.6476898782 12.8055059848 12.8055059848 0.2529340187 0.2794656824 0.1255628245
0.5877675423 0.7826638804 0.6143727962 1.9786471625 69.3715159779 70.9588095569 69.3715159779 0.5877675423 0.7826638804 0.4029638691
0.2881572286 0.3975050862 -1.4828993995 -0.7174643969 69.0558501952 39.6987114411 39.6987114411 0.2881572286 0.3975050862 0.7347140740
0.2600941333 0.2785942776 -1.6793410671 -1.5498400570 68.9375302849 12.8055059848 12.8055059848 0.2600941333 0.2785942776 0.1188605508
0.7426905684 0.0711288284 1.6988339790 -3.0020982009 68.4944493024 12.8055059848 12.8055059848 0.7426905684 0.0711288284 0.3128223020
0.3005966847 0.4668833627 -1.3958232072 -0.2318164611 67.9224746903 14.1251630239 14.1251630239 0.3005966847 0.4668833627 0.8347531103
0.2846474199 0.3706988020 -1.5074680604 -0.9051083857 67.2653273258 18.9196722462 18.9196722462 0.2846474199 0.3706988020 0.7157404108
0.5455780069 0.7697871780 0.3190460486 1.8885102458 67.2447011983 87.2676719467 67.2447011983 0.5455780069 0.7697871780 0.4514851274
0.5746998227 0.7500915581 0.5228987590 1.7506409068 66.6307015483 63.6921526580 63.6921526580 0.5746998227 0.7500915581 0.4421047865
0.2952626978 0.3869054566 -1.4331611157 -0.7916618041 66.4000193422 33.2834527158 33.2834527158 0.2952626978 0.3869054566 0.7915009972
0.2966682561 0.4107800266 -1.4233222071 -0.6245398136 66.2979046840 45.1119941350 45.1119941350 0.2966682561 0.4107800266 0.7353189217
0.2762898875 0.2589190280 -1.5659707874 -1.6875668037 65.2773178819 12.8055059848 12.8055059848 0.2762898875 0.2589190280 0.1277505310
0.2362379706 0.3236262715 -1.8463342059 -1.2346160997 65.2188418273 12.8055059848 12.8055059848 0.2362379706 0.3236262715 0.1300047698
0.2848961806 0.3144919848 -1.5057267357 -1.2985561065 65.1385157609 14.1251630239 14.1251630239 0.2848961806 0.3144919848 0.6968426247
0.6196262415 0.7625625905 0.8373836902 1.8379381334 64.8354589265 53.6049367967 53.6049367967 0.6196262415 0.7625625905 0.3061287029
0.5740087146 0.7644552340 0.5180610021 1.8511866379 64.7618387302 74.3445782416 64.7618387302 0.5740087146 0.7644552340 0.4639733665
0.3193074483 0.4569576998 -1.2648478618 -0.3012961015 63.6301709413 14.1251630239 14.1251630239 0.3193074483 0.4569576998 0.8250567171
0.5508574046 0.7886795123 0.3560018319 2.0207565858 63.1158795163 28.5940681557 28.5940681557 0.5508574046 0.7886795123 0.5189231097
0.2871842449 0.2921951539 -1.4897102860 -1.4546339229 62.9378910245 12.8055059848 12.8055059848 0.2871842449 0.2921951539 0.1121354534
0.5799652157 0.7471763855 0.5597565098 1.7302346988 62.7828776899 40.3427695759 40.3427695759 0.5799652157 0.7471763855 0.4231266068
0.3035737866 0.2294246875 -1.3749834940 -1.8940271873 62.6936013577 12.8055059848 12.8055059848 0.3035737866 0.2294246875 0.1118776838
0.5503081461 0.7696675549 0.3521570225 1.8876728844 62.5519235135 87.2830974582 62.5519235135 0.5503081461 0.7696675549 0.4361569372
0.2539927375 0.3130726175 -1.7220508374 -1.3084916778 62.4532007058 12.8055059848 12.8055059848 0.2539927375 0.3130726175 0.1299828773
0.2645637251 0.2573762697 -1.6480539246 -1.6983661119 62.4026652305 12.8055059848 12.8055059848 0.2645637251 0.2573762697 0.1341254944
0.2792737821 0.2600241559 -1.5450835255 -1.6798309086 62.3674796128 12.8055059848 12.8055059848 0.2792737821 0.2600241559 0.1105293398
0.8385190638 0.0757149961 2.3696334463 -2.9699950275 62.3384049182 12.8055059848 12.8055059848 0.8385190638 0.0757149961 0.2770737914
0.6045280930 0.7544755856 0.7316966513 1.7813290993 62.2819658233 34.4296898613 34.4296898613 0.6045280930 0.7544755856 0.3127655408
0.2529896155 0.3309942865 -1.7290726914 -1.1830399944 62.0178940371 12.8055059848 12.8055059848 0.2529896155 0.3309942865 0.1088093219
0.5272346559 0.7631360683 0.1906425911 1.8419524778 61.9195924497 74.6900330053 61.9195924497 0.5272346559 0.7631360683 0.5200046570
0.5657078067 0.7783147786 0.4599546468 1.9482034504 61.5050106302 74.4135554090 61.5050106302 0.5657078067 0.7783147786 0.3937915348
0.2495877999 0.3489251922 -1.7528854009 -1.0575236547 61.3795847199 12.8055059848 12.8055059848 0.2495877999 0.3489251922 0.1135837640
0.2748895082 0.3116430678 -1.5757734427 -1.3184985257 60.9223673409 12.8055059848 12.8055059848 0.2748895082 0.3116430678 0.1162664812
0.2557340032 0.2647285627 -1.7098619777 -1.6469000609 60.3100327217 14.1251630239 14.1251630239 0.2557340032 0.2647285627 0.6499285438
0.2728767533 0.2470178572 -1.5898627266 -1.7708749996 60.2438492831 12.8055059848 12.8055059848 0.2728767533 0.2470178572 0.1362166151
0.5337632984 0.7653761303 0.2363430887 1.8576329122 59.4097709715 74.7281080515 59.4097709715 0.5337632984 0.7653761303 0.5314740081
0.5707234407 0.7426571599 0.4950640851 1.6986001193 59.3592242230 49.5955264937 49.5955264937 0.5707234407 0.7426571599 0.4525204627
0.2447486128 0.3044376680 -1.7867597102 -1.3689363238 58.9878274755 12.8055059848 12.8055059848 0.2447486128 0.3044376680 0.1362306832
0.3050059737 0.2137363658 -1.3649581842 -2.0038454392 58.8332726942 12.8055059848 12.8055059848 0.3050059737 0.2137363658 0.1206552996
0.2960486384 0.2772755609 -1.4276595312 -1.5590710735 58.7681078094 12.8055059848 12.8055059848 0.2960486384 0.2772755609 0.1052170936
0.5714329841 0.7606245698 0.5000308885 1.8243719885 58.7474520990 70.9354956351 58.7474520990 0.5714329841 0.7606245698 0.4740824358
0.2915209269 0.2780669171 -1.4593535120 -1.5535315806 58.0325719929 12.8055059848 12.8055059848 0.2915209269 0.2780669171 0.1147685732
0.3002567205 0.2463431092 -1.3982029563 -1.7755982359 57.3805205358 12.8055059848 12.8055059848 0.3002567205 0.2463431092 0.1083689510
0.2683229008 0.2533418261 -1.6217396944 -1.7266072171 57.3164541238 14.1251630239 14.1251630239 0.2683229008 0.2533418261 0.6531154041
0.5900355225 0.7972423402 0.6302486576 2.0806963811 57.1458600296 37.1279382703 37.1279382703 0.5900355225 0.7972423402 0.3669318572
0.3024587786 0.4618961483 -1.3827885499 -0.2667269621 56.8108558092 14.1251630239 14.1251630239 0.3024587786 0.4618961483 0.8412560297
0.5966377897 0.7685254349 0.6764645276 1.8796780443 56.7301999681 78.5169802695 56.7301999681 0.5966377897 0.7685254349 0.4241723649
0.3090222970 0.4457869150 -1.3368439213 -0.3794915948 56.5901154762 14.7401125262 14.7401125262 0.3090222970 0.4457869150 0.7642002491
0.6258722482 0.7546140301 0.8811057372 1.7822982107 56.5601554068 38.3320900139 38.3320900139 0.6258722482 0.7546140301 0.3173955969
0.5686909506 0.7313820629 0.4808366544 1.6196744404 55.2874232347 19.6523167027 19.6523167027 0.5686909506 0.7313820629 0.4552088238
0.2383073072 0.2739393754 -1.8318488493 -1.5824243720 53.9665750433 12.8055059848 12.8055059848 0.2383073072 0.2739393754 0.1402423342
0.5784098736 0.7446981420 0.5488691154 1.7128869938 53.8140693597 47.0009183871 47.0009183871 0.5784098736 0.7446981420 0.4448719619
0.5607469871 0.7409187470 0.4252289096 1.6864312287 53.7531946359 39.6438524831 39.6438524831 0.5607469871 0.7409187470 0.4777535339
0.7264362542 0.0682044671 1.5850537791 -3.0225687302 53.7226512809 12.8055059848 12.8055059848 0.7264362542 0.0682044671 0.2810066392
0.5861940255 0.7447271743 0.6033581786 1.7130902198 52.8959366875 36.1484102160 36.1484102160 0.5861940255 0.7447271743 0.4293972408
0.3070467325 0.2186563139 -1.3506728726 -1.9694058028 52.8669484730 12.8055059848 12.8055059848 0.3070467325 0.2186563139 0.1071092012
0.7980130328 0.0731258562 2.0860912296 -2.9881190063 52.4657804309 12.8055059848 12.8055059848 0.7980130328 0.0731258562 0.3299133140
0.5685382389 0.7565660825 0.4797676724 1.7959625776 52.4499413436 56.7281668863 52.4499413436 0.5685382389 0.7565660825 0.4948239774
0.2560956542 0.2745949857 -1.7073304208 -1.5778350998 52.3443722898 12.8055059848 12.8055059848 0.2560956542 0.2745949857 0.1134973125
0.5879612031 0.7934402820 0.6157284216 2.0540819738 52.2795942942 36.7238409890 36.7238409890 0.5879612031 0.7934402820 0.4158650580
0.2358343406 0.3263642278 -1.8491596157 -1.2154504054 51.9462342670 12.8055059848 12.8055059848 0.2358343406 0.3263642278 0.1403559496
0.5898915132 0.7945882367 0.6292405925 2.0621176572 51.7144002915 46.6239245083 46.6239245083 0.5898915132 0.7945882367 0.3357055666
0.3160174175 0.4361263148 -1.2878780778 -0.4471157964 51.4636916720 14.1251630239 14.1251630239 0.3160174175 0.4361263148 0.8425684475
0.7918104718 0.0755305877 2.0426733027 -2.9712858862 51.3241067517 12.8055059848 12.8055059848 0.7918104718 0.0755305877 0.2915680084
0.2702552690 0.2820630434 -1.6082131170 -1.5255586963 50.8277666360 12.8055059848 12.8055059848 0.2702552690 0.2820630434 0.1032714687
0.2765635736 0.1888356876 -1.5640549850 -2.1781501866 50.4681318400 12.8055059848 12.8055059848 0.2765635736 0.1888356876 0.1403332305
0.5660524194 0.7761170425 0.4623669358 1.9328192976 50.2902902754 65.7186087479 50.2902902754 0.5660524194 0.7761170425 0.3666272347
0.2757520574 0.4182494246 -1.5697355985 -0.5722540278 50.0774941981 30.0769730345 30.0769730345 0.2757520574 0.4182494246 0.7841462808
0.5418175290 0.7388794099 0.2927227027 1.6721558690 49.4322240425 41.8420793559 41.8420793559 0.5418175290 0.7388794099 0.5032781339
0.5498109253 0.7328422677 0.3486764774 1.6298958741 49.2786434887 28.7157555170 28.7157555170 0.5498109253 0.7328422677 0.4653560206
0.5745624933 0.8050709059 0.5219374531 2.1354963410 49.2221993770 24.3878683969 24.3878683969 0.5745624933 0.8050709059 0.4462012003
0.3101928159 0.5318028546 -1.3286502886 0.2226199824 48.9632782347 14.1251630239 14.1251630239 0.3101928159 0.5318028546 0.8740495696
0.2760294003 0.3814069186 -1.5677941979 -0.8301515697 48.9440669832 32.8511999812 32.8511999812 0.2760294003 0.3814069186 0.7867014541
0.3079764616 0.3952751822 -1.3441647690 -0.7330737246 47.9016882992 17.8124658529 17.8124658529 0.3079764616 0.3952751822 0.8053089686
0.3355967934 0.1322061253 -1.1508224462 -2.5745571229 46.5718099425 12.8055059848 12.8055059848 0.3355967934 0.1322061253 0.1117089409
0.5601385999 0.7617698893 0.4209701991 1.8323892252 46.5081258346 57.0112042218 46.5081258346 0.5601385999 0.7617698893 0.5329240499
0.5763404473 0.7184114379 0.5343831314 1.5288800654 46.4011624203 19.6523167027 19.6523167027 0.5763404473 0.7184114379 0.3930718685
0.2808522032 0.2919315302 -1.5340345779 -1.4564792884 46.3619225389 14.1251630239 14.1251630239 0.2808522032 0.2919315302 0.7266580339
0.2342914500 0.3602354515 -1.8599598497 -0.9783518392 46.3295953457 14.9392835082 14.9392835082 0.2342914500 0.3602354515 0.1343171785
0.6572519959 0.0664550763 1.1007639712 -3.0348144662 46.2090310191 12.8055059848 12.8055059848 0.6572519959 0.0664550763 0.2943675448
0.3040330692 0.1973944127 -1.3717685158 -2.1182391108 46.1522687271 12.8055059848 12.8055059848 0.3040330692 0.1973944127 0.1299647520
0.5371325052 0.7881890671 0.2599275367 2.0173234700 45.0438236618 48.4004406368 45.0438236618 0.5371325052 0.7881890671 0.4608011672
