# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.7379460239 0.9311307939 1.6656221671 3.0179155570 89.9998406518 89.9998517398 89.9998406518 0.7379460239 0.9311307939 0.2546114422
0.4161214754 0.5174614591 -0.5871496724 0.1222302138 89.9997001806 89.9996754529 89.9996754529 0.4161214754 0.5174614591 0.7971705844
0.3586602156 0.5476670348 -0.9893784911 0.3336692439 89.9433769813 89.9482088727 89.9433769813 0.3586602156 0.5476670348 0.1791027816
0.3017572235 0.8940421924 -1.3876994354 2.7582953471 89.8965440986 89.9103715172 89.8965440986 0.3017572235 0.8940421924 0.2325368383
0.7361167982 0.3454318204 1.6528175876 -1.0819772574 89.8515107141 89.6643035760 89.6643035760 0.7361167982 0.3454318204 0.6007112666
0.5982815242 0.9154327334 0.6879706693 2.9080291339 88.9253054422 88.1756249295 88.1756249295 0.5982815242 0.9154327334 0.7382852575
0.9171802585 0.5653975745 2.9202618094 0.4577830217 86.7268738488 86.7318383473 86.7268738488 0.9171802585 0.5653975745 0.0831021909
0.6165364970 0.7853476954 0.8157554793 1.9974338679 86.9952311372 86.6205016009 86.6205016009 0.6165364970 0.7853476954 0.0943928836
0.2402087075 0.1207579175 -1.8185390473 -2.6546945773 85.9548638086 89.8503334492 85.9548638086 0.2402087075 0.1207579175 0.5588713829
0.3351906934 0.5457892615 -1.1536651460 0.3205248305 82.8999528291 83.4654535199 82.8999528291 0.3351906934 0.5457892615 0.1772535809
0.4144159698 0.5189044022 -0.5990882115 0.1323308155 83.4589500708 81.7595952424 81.7595952424 0.4144159698 0.5189044022 0.7571962870
0.3019494620 0.8963064741 -1.3863537658 2.7741453186 80.5435931399 84.2030362166 80.5435931399 0.3019494620 0.8963064741 0.1964097841
0.3249253446 0.8960941756 -1.2255225878 2.7726592294 79.8154518454 78.1338735373 78.1338735373 0.3249253446 0.8960941756 0.2351818939
0.7379929795 0.9309760597 1.6659508566 3.0168324179 80.2056965147 77.7378498113 77.7378498113 0.7379929795 0.9309760597 0.2136496933
0.3584229220 0.5456170576 -0.9910395458 0.3193194035 76.9397153180 81.5900373005 76.9397153180 0.3584229220 0.5456170576 0.1450144632
0.7026436496 0.9351340883 1.4185055472 3.0459386182 76.4797370984 76.0961170824 76.0961170824 0.7026436496 0.9351340883 0.2542108041
0.3069189922 0.8667870686 -1.3515670545 2.5675094803 75.6899507267 75.6092831131 75.6092831131 0.3069189922 0.8667870686 0.2264430933
0.7230470238 0.3479169748 1.5613291666 -1.0645811763 77.5170500316 74.7495597162 74.7495597162 0.7230470238 0.3479169748 0.6282674549
0.7776759899 0.9312891923 1.9437319291 3.0190243461 73.8492126200 74.6792939021 73.8492126200 0.7776759899 0.9312891923 0.2487577769
0.4159899937 0.4853275883 -0.5880700441 -0.1027068818 74.8908747830 73.6167934992 73.6167934992 0.4159899937 0.4853275883 0.7837672123
0.3988712450 0.5483936327 -0.7079012850 0.3387554290 76.5883957137 72.5888151057 72.5888151057 0.3988712450 0.5483936327 0.1814760234
0.1478964510 0.7953710519 -2.4647248430 2.0675973630 71.7629511059 88.1405714449 71.7629511059 0.1478964510 0.7953710519 0.8332074430
0.2680054393 0.8979004976 -1.6239619246 2.7853034832 70.4381198736 71.4592911844 70.4381198736 0.2680054393 0.8979004976 0.2134415882
0.7580390778 0.9019743427 1.8062735448 2.8138203992 69.4125720271 68.8045912137 68.8045912137 0.7580390778 0.9019743427 0.2557744122
0.3567386018 0.5115813946 -1.0028297875 0.0810697619 67.2792011716 67.9843441350 67.2792011716 0.3567386018 0.5115813946 0.1819333091
0.7444044790 0.3539025047 1.7108313530 -1.0226824669 66.8693887222 76.3739489252 66.8693887222 0.7444044790 0.3539025047 0.5670306288
0.8128017123 0.0736606138 2.1896119862 -2.9843757034 66.4902507885 75.4497785487 66.4902507885 0.8128017123 0.0736606138 0.7491209491
0.4131412080 0.5202843395 -0.6080115439 0.1419903765 67.1499063252 66.0913674473 66.0913674473 0.4131412080 0.5202843395 0.7243386284
