# iter best_consensus archive_size party0_clusters party1_clusters
0 6.4880426251 0 12 12
10 7.5744882110 0 12 12
20 25.1775836600 0 12 12
30 30.2078634354 0 12 12
40 80.3336544180 1 12 12
50 84.7446544734 3 12 12
60 88.5928778503 3 12 12
70 88.5928778503 3 12 12
80 89.1946189823 3 12 12
90 89.3302320790 4 12 12
100 89.5479681910 4 12 12
110 89.6349101927 4 12 12
120 89.8644555802 4 12 12
130 89.9683329700 4 12 12
140 89.9683329700 4 12 12
150 89.9859222265 4 12 12
160 89.9898816546 4 12 12
170 89.9947296770 4 12 12
180 89.9947296770 4 12 12
190 89.9959651194 4 12 12
200 89.9975595116 4 12 12
210 89.9986958492 4 12 12
219 89.9993035807 4 12 12
