# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.7313680443 0.6989404997 1.6195763100 1.3925834982 6.4880426251 42.3036959818 6.4880426251 0.7313680443 0.6989404997 0.5410392377 0.6321673236 0.3054385926
0.8051241282 0.7102056967 2.1358688972 1.4714398769 6.4880426251 23.2004199042 6.4880426251 0.8051241282 0.7102056967 0.5174429624 0.5858571982 0.2826314489
0.7779032357 0.6410865299 1.9453226502 0.9876057091 6.4880426251 21.3490505554 6.4880426251 0.7779032357 0.6410865299 0.4942088142 0.4480260545 0.4626943315
0.7186435446 0.5393340143 1.5305048123 0.2753381004 7.0741384760 16.9627539283 7.0741384760 0.7186435446 0.5393340143 0.4798897007 0.5345360372 0.3675970334
0.8257704301 0.6863779454 2.2803930110 1.3046456181 6.4880426251 16.7839757934 6.4880426251 0.8257704301 0.6863779454 0.5423425343 0.6191829035 0.3354173198
0.7951265176 0.5718113771 2.0658856229 0.5026796400 6.4880426251 16.2574527491 6.4880426251 0.7951265176 0.5718113771 0.4521574379 0.4605831493 0.3302269442
0.8020424623 0.5959059723 2.1142972363 0.6713418059 7.3323798950 15.0611986677 7.3323798950 0.8020424623 0.5959059723 0.4734628569 0.6028508050 0.4027809851
0.7410686610 0.5289679002 1.6874806267 0.2027753013 6.4880426251 14.6006300868 6.4880426251 0.7410686610 0.5289679002 0.4847173857 0.6106608085 0.2951316568
0.7942197880 0.7582474527 2.0595385163 1.8077321690 6.4880426251 14.5984829733 6.4880426251 0.7942197880 0.7582474527 0.5574060407 0.7021408744 0.1295459622
0.7501362319 0.6145964492 1.7509536235 0.8021751443 6.4880426251 13.5009412059 6.4880426251 0.7501362319 0.6145964492 0.5050744026 0.3769866303 0.4510588515
0.8496346837 0.6713258149 2.4474427859 1.1992807046 6.4880426251 12.2695009721 6.4880426251 0.8496346837 0.6713258149 0.4877136243 0.4999761754 0.2353783170
0.7703900948 0.5286574948 1.8927306636 0.2006024639 6.4880426251 11.2896719988 6.4880426251 0.7703900948 0.5286574948 0.4491226841 0.6334010731 0.2032455223
0.7372549064 0.5777021182 1.6607843445 0.5439148272 6.4880426251 11.2836581463 6.4880426251 0.7372549064 0.5777021182 0.4724921401 0.3443179822 0.5214411509
0.6743641062 0.6164064784 1.2205487435 0.8148453489 4.9210771833 11.1648252835 4.9210771833 0.6743641062 0.6164064784 0.5729147865 0.7929872984 0.3019480421
0.7822710481 0.6818440287 1.9758973364 1.2729082008 6.4880426251 10.8951962540 6.4880426251 0.7822710481 0.6818440287 0.4885153457 0.6342405264 0.0635919080
0.8510499404 0.6794520592 2.4573495827 1.2561644144 4.9210771833 10.8718995106 4.9210771833 0.8510499404 0.6794520592 0.4872078172 0.7590836585 0.1519469662
0.7264627081 0.6458906217 1.5852389570 1.0212343521 4.9210771833 10.7428211517 4.9210771833 0.7264627081 0.6458906217 0.5091144506 0.7779247624 0.0659939493
0.7703885460 0.5430925455 1.8927198219 0.3016478187 6.4880426251 10.4843759100 6.4880426251 0.7703885460 0.5430925455 0.4252182982 0.3310846539 0.4669893815
0.7769162234 0.6464230718 1.9384135640 1.0249615029 4.9210771833 10.3732927686 4.9210771833 0.7769162234 0.6464230718 0.5695836414 0.7942528285 0.2607939500
0.6554487243 0.6462317427 1.0881410702 1.0236221991 6.4880426251 10.1516728138 6.4880426251 0.6554487243 0.6462317427 0.4895313538 0.3985864891 0.4384131481
0.7096860519 0.5093166269 1.4678023632 0.0652163883 6.4880426251 9.4085663571 6.4880426251 0.7096860519 0.5093166269 0.5095928157 0.7046413834 0.2912720564
0.6384106446 0.5844343485 0.9688745122 0.5910404398 6.4880426251 9.0501662991 6.4880426251 0.6384106446 0.5844343485 0.5782089913 0.6040631258 0.4720855331
0.8160081559 0.6961551956 2.2120570916 1.3730863691 6.4880426251 8.9293159068 6.4880426251 0.8160081559 0.6961551956 0.5604960061 0.4900258040 0.3983813234
0.6741572023 0.5586809020 1.2191004160 0.4107663143 6.4880426251 8.5733245557 6.4880426251 0.6741572023 0.5586809020 0.4713562255 0.4460819764 0.3159273869
0.7625839987 0.7972516780 1.8380879912 2.0807617463 6.4880426251 8.5693605327 6.4880426251 0.7625839987 0.7972516780 0.5495787821 0.6151908971 0.0789379209
0.8290333784 0.8006568649 2.3032336487 2.1045980543 6.4880426251 8.4431600852 6.4880426251 0.8290333784 0.8006568649 0.5743280230 0.6131877155 0.1823734117
0.7795733613 0.5888358222 1.9570135293 0.6218507556 6.4880426251 8.2547380823 6.4880426251 0.7795733613 0.5888358222 0.5448816841 0.5227893832 0.4465791516
0.7089957380 0.6286051299 1.4629701661 0.9002359092 4.9210771833 8.2532300724 4.9210771833 0.7089957380 0.6286051299 0.5709519668 0.8574785006 0.3269669636
0.8747979263 0.5967045782 2.6235854839 0.6769320473 6.4880426251 8.2508190956 6.4880426251 0.8747979263 0.5967045782 0.4761427930 0.5835516496 0.2966942162
0.6031724191 0.6830346206 0.7222069334 1.2812423442 6.4880426251 8.2451753521 6.4880426251 0.6031724191 0.6830346206 0.5536111363 0.4454476546 0.5589848665
0.8274812748 0.5228038535 2.2923689239 0.1596269742 6.4880426251 8.1518013214 6.4880426251 0.8274812748 0.5228038535 0.4544994843 0.4424040688 0.4948538114
0.7910641684 0.7261605187 2.0374491787 1.5831236309 6.4880426251 8.1408042331 6.4880426251 0.7910641684 0.7261605187 0.5011164216 0.6802436694 0.0000000000
0.6265842296 0.5700448852 0.8860896074 0.4903141961 6.4880426251 8.0817265129 6.4880426251 0.6265842296 0.5700448852 0.4858908577 0.5821732546 0.3616599634
0.7298334808 0.6284181882 1.6088343658 0.8989273172 4.9210771833 8.0122022249 4.9210771833 0.7298334808 0.6284181882 0.6080999201 0.7946032211 0.3098165346
0.8609371837 0.7508513338 2.5265602862 1.7559593365 6.4880426251 7.6461129294 6.4880426251 0.8609371837 0.7508513338 0.5410913344 0.4842322535 0.2905628527
0.7550735076 0.4605245391 1.7855145532 -0.2763282265 6.4880426251 7.6444211180 6.4880426251 0.7550735076 0.4605245391 0.4048704327 0.5084596639 0.3275079805
0.7092296436 0.5678187127 1.4646075055 0.4747309888 6.4880426251 7.5361640444 6.4880426251 0.7092296436 0.5678187127 0.4030275634 0.4763545389 0.2783925559
0.7354513358 0.7623628528 1.6481593506 1.8365399697 4.9210771833 7.5082015697 4.9210771833 0.7354513358 0.7623628528 0.5722093240 0.7400257898 0.3603397973
0.7584921542 0.6849276339 1.8094450793 1.2944934372 6.4880426251 7.4690250167 6.4880426251 0.7584921542 0.6849276339 0.4258918567 0.5306783181 0.3667219627
0.8080040876 0.7007043587 2.1560286130 1.4049305107 4.9210771833 7.3809488883 4.9210771833 0.8080040876 0.7007043587 0.4823960234 0.7996253864 0.1860039101
0.6649594060 0.5767503720 1.1547158423 0.5372526042 4.9210771833 7.3052700162 4.9210771833 0.6649594060 0.5767503720 0.4800576063 0.7464607626 0.2880541663
0.6506922794 0.7633333155 1.0548459555 1.8433332088 6.4880426251 7.2976014059 6.4880426251 0.6506922794 0.7633333155 0.5699336788 0.5130972378 0.2460232884
0.8662686482 0.6077840083 2.5638805371 0.7544880578 6.4880426251 7.2756776960 6.4880426251 0.8662686482 0.6077840083 0.4133100920 0.3757163943 0.4829978551
0.6725417082 0.7638557369 1.2077919576 1.8469901583 6.4880426251 7.2255483324 6.4880426251 0.6725417082 0.7638557369 0.5037227123 0.5100203313 0.2824013487
0.8514801498 0.7284509401 2.4603610488 1.5991565809 6.4880426251 7.1060443273 6.4880426251 0.8514801498 0.7284509401 0.5207758006 0.4098929463 0.3927660255
0.6847699706 0.6834322118 1.2933897942 1.2840254824 4.9210771833 7.0853010340 4.9210771833 0.6847699706 0.6834322118 0.6208025553 0.9275552285 0.0811864387
0.6706239860 0.7159045671 1.1943679023 1.5113319698 6.4880426251 6.9903316069 6.4880426251 0.6706239860 0.7159045671 0.5459214242 0.2693209409 0.5943783412
0.8061292556 0.6696921970 2.1429047889 1.1878453787 6.4880426251 6.8964796744 6.4880426251 0.8061292556 0.6696921970 0.4334358042 0.5526461543 0.0000000000
0.6219711600 0.5518329813 0.8537981201 0.3628308690 6.4880426251 6.8354900013 6.4880426251 0.6219711600 0.5518329813 0.4562360659 0.4038249960 0.6862756110
0.6459142996 0.7536169071 1.0214000970 1.7753183495 6.4880426251 6.7923576792 6.4880426251 0.6459142996 0.7536169071 0.5308283155 0.6156237329 0.1558589761
0.8161872021 0.5420620304 2.2133104148 0.2944342125 6.4880426251 6.7859491000 6.4880426251 0.8161872021 0.5420620304 0.5174622239 0.5483387593 0.2886507652
0.7927055526 0.5971712636 2.0489388682 0.6801988452 6.4880426251 6.7853718560 6.4880426251 0.7927055526 0.5971712636 0.4651609222 0.6228323661 0.5877816537
0.6029010131 0.7934079435 0.7203070917 2.0538556042 6.4880426251 6.7759769488 6.4880426251 0.6029010131 0.7934079435 0.6294264324 0.6494078869 0.2885868940
0.5741715263 0.6738426844 0.5192006844 1.2168987907 6.4880426251 6.6881771563 6.4880426251 0.5741715263 0.6738426844 0.5810298935 0.5332292853 0.3359743479
0.7128387500 0.7261364419 1.4898712498 1.5829550930 6.4880426251 6.6661161193 6.4880426251 0.7128387500 0.7261364419 0.4204377923 0.3428280831 0.3587451135
0.6585647425 0.8101306069 1.1099531976 2.1709142485 6.4880426251 6.6629770202 6.4880426251 0.6585647425 0.8101306069 0.6432774927 0.6843553804 0.2978927989
0.7835210072 0.4912748480 1.9846470503 -0.0610760637 4.9210771833 6.6004347933 4.9210771833 0.7835210072 0.4912748480 0.5570371336 0.7822963005 0.3150228775
0.7077477217 0.5326987255 1.4542340520 0.2288910783 6.4880426251 6.5970013042 6.4880426251 0.7077477217 0.5326987255 0.3837352628 0.4888980675 0.5822191750
0.7973545789 0.5722845149 2.0814820521 0.5059916043 4.5122865153 6.5669076436 4.5122865153 0.7973545789 0.5722845149 0.3505935520 0.4658495337 0.2230199875
0.7565977294 0.7426856832 1.7961841055 1.6987997827 6.4880426251 6.5552051908 6.4880426251 0.7565977294 0.7426856832 0.5521566158 0.6745570836 0.5549035922
0.5688096958 0.6214925067 0.4816678706 0.8504475469 4.9210771833 6.5453838967 4.9210771833 0.5688096958 0.6214925067 0.6362262400 0.7875648315 0.4174043252
0.8565494609 0.7099548435 2.4958462265 1.4696839045 4.9210771833 6.5299629548 4.9210771833 0.8565494609 0.7099548435 0.5590959070 0.9931728321 0.0893934193
0.9154784046 0.5021564303 2.9083488323 0.0150950124 6.4880426251 6.5220682490 6.4880426251 0.9154784046 0.5021564303 0.3905579902 0.6578440830 0.2213145333
0.6771376963 0.7357030953 1.2399638738 1.6499216671 4.9210771833 6.5115542511 4.9210771833 0.6771376963 0.7357030953 0.5050028202 0.7737186451 0.2839809642
0.5497028233 0.6604680097 0.3479197631 1.1232760676 6.4880426251 6.4921416116 6.4880426251 0.5497028233 0.6604680097 0.5178752221 0.3661923369 0.4909748842
0.5509103200 0.4980466725 0.3563722398 -0.0136732927 6.4880426251 6.4918043665 6.4880426251 0.5509103200 0.4980466725 0.4490866138 0.3548547239 0.6575319926
0.8298467335 0.5141761103 2.3089271346 0.0992327720 6.4880426251 6.4903903648 6.4880426251 0.8298467335 0.5141761103 0.5481815251 0.5280721270 0.3024211150
0.9022622491 0.8717598808 2.8158357434 2.6023191657 6.4880426251 6.4893493225 6.4880426251 0.9022622491 0.8717598808 0.5338680606 0.5048386575 0.3137306844
