# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.7782112065 0.8540078053 1.9474784455 2.4780546372 0.0000021993 10.1177150106 0.0000021993 0.7782112065 0.8540078053 0.3056134002 0.7044867189 0.3266474871
0.7821714162 0.9330739152 1.9751999132 3.0315174067 0.0000021993 2.8979554089 0.0000021993 0.7821714162 0.9330739152 0.2785884314 0.6505805249 0.3323877787
0.7679705284 0.8974153158 1.8757936987 2.7819072109 0.0000021993 1.1798060654 0.0000021993 0.7679705284 0.8974153158 0.3887412691 0.7881741832 0.2874259295
0.8147795768 0.8618690874 2.2034570378 2.5330836117 0.0000021993 1.0320642146 0.0000021993 0.8147795768 0.8618690874 0.3199251271 0.5000945671 0.3240113446
0.7920717592 0.8764106066 2.0445023145 2.6348742462 0.0000021993 0.8947763099 0.0000021993 0.7920717592 0.8764106066 0.3139818622 0.7696207684 0.1613249821
0.7399198665 0.8783534663 1.6794390654 2.6484742639 0.0000021993 0.6837505923 0.0000021993 0.7399198665 0.8783534663 0.2922497111 0.6327576962 0.2793156223
0.8885249956 0.8392877390 2.7196749689 2.3750141728 0.0000021993 0.4482035863 0.0000021993 0.8885249956 0.8392877390 0.2735997822 0.5491903804 0.2612996764
0.7427444112 0.9317665877 1.6992108783 3.0223661140 0.0000021993 0.3636135676 0.0000021993 0.7427444112 0.9317665877 0.4103083042 0.7732812115 0.3195315857
0.8405923219 0.7807909311 2.3841462532 1.9655365175 0.0000021993 0.3221055985 0.0000021993 0.8405923219 0.7807909311 0.3381225142 0.4802154545 0.2818401593
0.9044376986 0.7505889237 2.8310638901 1.7541224657 0.0000021993 0.3208027105 0.0000021993 0.9044376986 0.7505889237 0.2555104593 0.5562882989 0.1581735451
0.8718513690 0.8262602056 2.6029595831 2.2838214392 0.0000021993 0.1957563812 0.0000021993 0.8718513690 0.8262602056 0.2664002723 0.5519480493 0.0656549643
0.8674835592 0.9111550605 2.5723849143 2.8780854236 0.0000021993 0.1849653380 0.0000021993 0.8674835592 0.9111550605 0.2448046548 0.5986837480 0.2962252158
0.8950707444 0.8367629090 2.7654952106 2.3573403628 0.0000021993 0.1785160704 0.0000021993 0.8950707444 0.8367629090 0.2495251648 0.4172710540 0.2802859496
0.7705294851 0.9331767554 1.8937063959 3.0322372880 0.0000021993 0.1725073779 0.0000021993 0.7705294851 0.9331767554 0.2100363137 0.6446285462 0.4238531055
0.7375486370 0.9257352628 1.6628404591 2.9801468394 0.0000021993 0.1672699556 0.0000021993 0.7375486370 0.9257352628 0.3795400771 0.9173906204 0.2113486955
0.8757537906 0.8247783822 2.6302765344 2.2734486754 0.0000021993 0.1454949965 0.0000021993 0.8757537906 0.8247783822 0.1974885124 0.5328724769 0.1571192082
0.8073265678 0.9091438404 2.1512859746 2.8640068825 0.0000021993 0.1323440201 0.0000021993 0.8073265678 0.9091438404 0.2504442057 0.4409950345 0.3096666952
0.9230721811 0.7583597557 2.9615052675 1.8085182896 0.0000021993 0.1156292293 0.0000021993 0.9230721811 0.7583597557 0.2815769018 0.4135050829 0.0925166585
0.7071369181 0.9441864172 1.4499584268 3.1093049201 0.0000021993 0.1144658718 0.0000021993 0.7071369181 0.9441864172 0.3367007900 0.6512849505 0.2914608368
0.7186192225 0.8949161920 1.5303345576 2.7644133442 0.0000021993 0.1140764950 0.0000021993 0.7186192225 0.8949161920 0.2104963634 0.6237748356 0.4725913309
