# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.1528144018 0.0966009530 -2.4302991874 -2.8237933287 31.3959740514 7.0262999921 7.0262999921 0.1528144018 0.0966009530 0.1946202292 0.4572658855 0.4605049549
0.1844491021 0.1454094238 -2.2088562851 -2.4821340335 8.5780826632 7.0262999921 7.0262999921 0.1844491021 0.1454094238 0.2501304027 0.5659703015 0.7261037924
0.2219520281 0.0606299143 -1.9463358030 -3.0755906001 7.6910086526 7.0262999921 7.0262999921 0.2219520281 0.0606299143 0.1585535256 0.4635063622 0.4250399241
0.2220658679 0.1219641067 -1.9455389247 -2.6462512534 7.1146151803 7.0262999921 7.0262999921 0.2220658679 0.1219641067 0.2310913138 0.5570321567 0.7613449448
0.2094817341 0.1346422612 -2.0336278610 -2.5575041718 7.1754681440 7.0262999921 7.0262999921 0.2094817341 0.1346422612 0.2547862321 0.5269614962 0.7709573993
0.1552208132 0.1675350618 -2.4134543076 -2.3272545673 18.2008561056 7.0262999921 7.0262999921 0.1552208132 0.1675350618 0.1986240530 0.4514560675 0.3381391479
0.1528144018 0.0966009530 -2.4302991874 -2.8237933287 31.3959740514 7.0262999921 7.0262999921 0.1528144018 0.0966009530 0.1946202292 0.4572658855 0.4605049549
0.2327345093 0.0708565917 -1.8708584350 -3.0040038584 7.5228202728 7.0262999921 7.0262999921 0.2327345093 0.0708565917 0.2394586828 0.5370508420 0.7179379625
0.2230574557 0.1161423630 -1.9385978103 -2.6870034588 7.9467420565 7.0262999921 7.0262999921 0.2230574557 0.1161423630 0.2836989485 0.5669635382 0.7264627235
0.2040938499 0.0979037751 -2.0713430510 -2.8146735746 7.8381804966 7.0262999921 7.0262999921 0.2040938499 0.0979037751 0.2882660714 0.5475716895 0.7571425729
0.1792142550 0.1721458743 -2.2455002148 -2.2949788799 7.1717431178 7.0262999921 7.0262999921 0.1792142550 0.1721458743 0.2248487447 0.5602227915 0.7712353765
0.2109193373 0.1600265167 -2.0235646387 -2.3798143828 7.4136553829 7.0262999921 7.0262999921 0.2109193373 0.1600265167 0.2307867994 0.5180370314 0.7355752052
0.2286812784 0.2404363805 -1.8992310511 -1.8169453365 7.0367253247 7.0262999921 7.0262999921 0.2286812784 0.2404363805 0.2502971992 0.3549857809 0.1545323652
0.2008593822 0.1583574202 -2.0939843244 -2.3914980587 7.1554015193 7.0262999921 7.0262999921 0.2008593822 0.1583574202 0.6162756224 0.6587230426 0.6574739777
0.2074237848 0.0826428194 -2.0480335062 -2.9215002643 11.3989261530 7.0262999921 7.0262999921 0.2074237848 0.0826428194 0.1940475181 0.4624810082 0.4605437664
0.1324402881 0.1571270598 -2.5729179836 -2.4001105812 8.1624795206 7.0262999921 7.0262999921 0.1324402881 0.1571270598 0.4685729120 0.8126430038 0.5935365123
0.2119035554 0.2084951568 -2.0166751124 -2.0405339027 8.0686436522 7.0262999921 7.0262999921 0.2119035554 0.2084951568 0.2577015039 0.5494074805 0.7029927669
0.2205952821 0.1557141076 -1.9558330250 -2.4100012469 7.0544569630 7.0262999921 7.0262999921 0.2205952821 0.1557141076 0.2523759078 0.5747207760 0.7832009521
0.1857941224 0.1276178697 -2.1994411430 -2.6066749123 8.1290315586 7.0262999921 7.0262999921 0.1857941224 0.1276178697 0.4566044857 0.4186140156 0.4008668449
0.2512272171 0.2690581307 -1.7414094800 -1.6165930848 7.3911365462 7.0262999921 7.0262999921 0.2512272171 0.2690581307 0.1494426895 0.3572464535 0.3613125540
0.1580718708 0.1568697767 -2.3934969046 -2.4019115628 7.0319458669 7.0262999921 7.0262999921 0.1580718708 0.1568697767 0.2782683671 0.8563485840 0.7783508388
0.2048892158 0.2093569491 -2.0657754893 -2.0345013563 7.3865434868 7.0262999921 7.0262999921 0.2048892158 0.2093569491 0.3317908483 0.5201626143 0.7734123312
0.1407148595 0.0874414051 -2.5149959837 -2.8879101643 12.0292806058 7.0262999921 7.0262999921 0.1407148595 0.0874414051 0.3647547373 0.3234145396 0.4516277363
0.2121922327 0.1141084869 -2.0146543712 -2.7012405920 7.2540084983 7.0262999921 7.0262999921 0.2121922327 0.1141084869 0.5413274277 0.6051815109 0.7361400960
0.2144114989 0.1530348252 -1.9991195076 -2.4287562237 7.2358323167 7.0262999921 7.0262999921 0.2144114989 0.1530348252 0.2416743423 0.4876622567 0.7417797532
0.1467402667 0.1296778661 -2.4728181330 -2.5922549371 7.2856643005 7.0262999921 7.0262999921 0.1467402667 0.1296778661 0.2976468357 0.5725432940 0.8213621076
0.1436558270 0.0891961962 -2.4944092110 -2.8756266267 28.1512512544 7.0262999921 7.0262999921 0.1436558270 0.0891961962 0.1654957143 0.4298282014 0.4693234631
0.2043075854 0.1744314138 -2.0698469020 -2.2789801037 8.1041458007 7.0262999921 7.0262999921 0.2043075854 0.1744314138 0.2588489996 0.5166682743 0.7180623532
0.1963576042 0.1874412538 -2.1254967705 -2.1879112235 13.1141419106 7.0262999921 7.0262999921 0.1963576042 0.1874412538 0.2336249334 0.4481269405 0.3868508969
0.1783900284 0.0720350615 -2.2512698014 -2.9957545692 7.8164905873 7.0262999921 7.0262999921 0.1783900284 0.0720350615 0.3326625015 0.5333074949 0.7914975320
0.1592654486 0.0993677133 -2.3851418595 -2.8044260069 21.8048940000 7.0262999921 7.0262999921 0.1592654486 0.0993677133 0.2977745424 0.4838884239 0.4480085075
0.1962130362 0.0844345744 -2.1265087464 -2.9089579792 7.2226276186 7.0262999921 7.0262999921 0.1962130362 0.0844345744 0.2892212593 0.5718404868 0.8106642489
0.2236967075 0.0487438843 -1.9341230473 -3.1587928096 7.3828043296 7.0262999921 7.0262999921 0.2236967075 0.0487438843 0.2370502635 0.3540108169 0.6458059752
0.1499084014 0.1015574108 -2.4506411905 -2.7890981241 7.0681317153 7.0262999921 7.0262999921 0.1499084014 0.1015574108 0.3301505953 0.9476565110 0.3710250600
0.2088532665 0.1352920741 -2.0380271345 -2.5529554816 7.6434613083 7.0262999921 7.0262999921 0.2088532665 0.1352920741 0.2769363643 0.5304002569 0.7535256102
0.1719780142 0.1482730697 -2.2961539008 -2.4620885120 8.1344685153 7.0262999921 7.0262999921 0.1719780142 0.1482730697 0.4052560082 0.2954207511 0.6043231087
