# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.1158873695 0.1227848468 -2.6887884136 -2.6405060726 59.3595836825 0.6137205523 0.6137205523 0.1158873695 0.1227848468 0.2053708916 0.5067137944 0.4381234240
0.1136697611 0.1179825384 -2.7043116724 -2.6741222312 59.0957378251 0.6137205523 0.6137205523 0.1136697611 0.1179825384 0.1997151378 0.5239440424 0.4477710388
0.1205329714 0.1209703932 -2.6562692005 -2.6532072477 59.0621287341 0.6137205523 0.6137205523 0.1205329714 0.1209703932 0.1967404961 0.5060812234 0.4425148829
0.1184203986 0.1300303714 -2.6710572101 -2.5897874002 59.0476404478 0.6137205523 0.6137205523 0.1184203986 0.1300303714 0.1943179082 0.5074641388 0.4349474003
0.1169098554 0.1348578569 -2.6816310124 -2.5559950016 59.0229346188 0.6137205523 0.6137205523 0.1169098554 0.1348578569 0.1883341139 0.5082566349 0.4361445718
0.1128548065 0.1123659148 -2.7100163542 -2.7134385965 58.9312437652 0.6137205523 0.6137205523 0.1128548065 0.1123659148 0.2034583475 0.5109079995 0.4544661504
0.1149757969 0.1125621341 -2.6951694214 -2.7120650614 58.8675564353 0.6137205523 0.6137205523 0.1149757969 0.1125621341 0.2035057075 0.5150125999 0.4446618943
0.1205556040 0.1212390067 -2.6561107717 -2.6513269533 58.8440472596 0.6137205523 0.6137205523 0.1205556040 0.1212390067 0.1927609186 0.5095234401 0.4368787464
0.1174052694 0.1266901601 -2.6781631144 -2.6131688792 58.8380441331 0.6137205523 0.6137205523 0.1174052694 0.1266901601 0.1992957443 0.4907890792 0.4447494922
0.1130931175 0.1100241504 -2.7083481777 -2.7298309474 58.6744081162 0.6137205523 0.6137205523 0.1130931175 0.1100241504 0.1957933332 0.5015702906 0.4457267610
0.1170213711 0.1209059895 -2.6808504023 -2.6536580735 58.5836126192 0.6137205523 0.6137205523 0.1170213711 0.1209059895 0.1937393794 0.5367911750 0.4527364433
0.1204888269 0.1356706690 -2.6565782116 -2.5503053168 58.5122380725 0.6137205523 0.6137205523 0.1204888269 0.1356706690 0.1854243045 0.5063014620 0.4414179533
0.1137210488 0.1278319339 -2.7039526582 -2.6051764627 58.4698955801 0.6137205523 0.6137205523 0.1137210488 0.1278319339 0.1886530288 0.4945058586 0.4283342852
0.1116926176 0.1162912822 -2.7181516769 -2.6859610245 58.4477751417 0.6137205523 0.6137205523 0.1116926176 0.1162912822 0.1949806158 0.4911166718 0.4362108511
0.1223757471 0.1426132594 -2.6433697706 -2.5017071840 58.3326474502 0.6137205523 0.6137205523 0.1223757471 0.1426132594 0.1926568329 0.5142616913 0.4371509495
0.1186510064 0.1272692367 -2.6694429551 -2.6091153434 58.3005135492 0.6137205523 0.6137205523 0.1186510064 0.1272692367 0.1768928038 0.5079872596 0.4505014550
0.1100676034 0.1332552361 -2.7295267765 -2.5672133470 58.2673097973 0.6137205523 0.6137205523 0.1100676034 0.1332552361 0.1984097368 0.4925895963 0.4409826308
0.1187208112 0.1124050052 -2.6689543219 -2.7131649633 58.2282850966 0.6137205523 0.6137205523 0.1187208112 0.1124050052 0.2178523580 0.5068310417 0.4610525516
0.1150371916 0.1235132175 -2.6947396587 -2.6354074773 58.1486122574 0.6137205523 0.6137205523 0.1150371916 0.1235132175 0.1911915007 0.5145098139 0.4583015256
0.1209218886 0.1296871365 -2.6535467795 -2.5921900446 58.0789297213 0.6137205523 0.6137205523 0.1209218886 0.1296871365 0.1916840661 0.5203848507 0.4561604175
0.1123106565 0.1067920124 -2.7138254044 -2.7524559130 58.0372865718 0.6137205523 0.6137205523 0.1123106565 0.1067920124 0.2055900884 0.5114675204 0.4415078572
0.1136603045 0.1381145117 -2.7043778682 -2.5331984184 57.9738852012 0.6137205523 0.6137205523 0.1136603045 0.1381145117 0.1882252540 0.5000519194 0.4368903129
0.1157763673 0.1221901774 -2.6895654290 -2.6446687580 57.9621135515 0.6137205523 0.6137205523 0.1157763673 0.1221901774 0.2089624132 0.5346204694 0.4416426712
0.1167012443 0.1113329930 -2.6830912900 -2.7206690489 57.8601645496 0.6137205523 0.6137205523 0.1167012443 0.1113329930 0.2124578415 0.5074831619 0.4651348116
0.1096298957 0.1128585388 -2.7325907304 -2.7099902282 57.8272100467 0.6137205523 0.6137205523 0.1096298957 0.1128585388 0.1960553372 0.4824341328 0.4388670121
0.1054205943 0.1073378823 -2.7620558399 -2.7486348238 57.8147750497 0.6137205523 0.6137205523 0.1054205943 0.1073378823 0.1937915004 0.4976201186 0.4445996237
0.1149270558 0.1179376846 -2.6955106094 -2.6744362076 57.7663203284 0.6137205523 0.6137205523 0.1149270558 0.1179376846 0.1935879684 0.5266215796 0.4591611517
0.1188192064 0.1320972354 -2.6682655550 -2.5753193524 57.7561071606 0.6137205523 0.6137205523 0.1188192064 0.1320972354 0.1765942384 0.5229195008 0.4294217683
0.1077108173 0.1254781387 -2.7460242790 -2.6216530293 57.7309271816 0.6137205523 0.6137205523 0.1077108173 0.1254781387 0.2013404787 0.4999696408 0.4353525781
0.1177182873 0.1115740462 -2.6759719888 -2.7189816768 57.5770193330 0.6137205523 0.6137205523 0.1177182873 0.1115740462 0.2028678624 0.5119917051 0.4622619258
0.1194264681 0.1261562140 -2.6640147235 -2.6169065022 57.5734323000 0.6137205523 0.6137205523 0.1194264681 0.1261562140 0.1969223752 0.4825023465 0.4351620267
0.1104296680 0.1116066968 -2.7269923237 -2.7187531222 57.5664583129 0.6137205523 0.6137205523 0.1104296680 0.1116066968 0.2045520872 0.5251590916 0.4544800193
0.1165919171 0.1074574615 -2.6838565805 -2.7477977697 57.5517882260 0.6137205523 0.6137205523 0.1165919171 0.1074574615 0.2093132441 0.5228361985 0.4536565238
0.1064047403 0.1152283769 -2.7551668182 -2.6934013614 57.5378885459 0.6137205523 0.6137205523 0.1064047403 0.1152283769 0.1960058913 0.5137757624 0.4481850582
0.1232781811 0.1408908101 -2.6370527324 -2.5137643296 57.5164012919 0.6137205523 0.6137205523 0.1232781811 0.1408908101 0.1927895293 0.5163742631 0.4520809623
0.1093585222 0.1204276542 -2.7344903447 -2.6570064206 57.5088316077 0.6137205523 0.6137205523 0.1093585222 0.1204276542 0.1899169149 0.4871436069 0.4393975448
0.1147127620 0.1170027226 -2.6970106657 -2.6809809419 57.5035990883 0.6137205523 0.6137205523 0.1147127620 0.1170027226 0.2179550656 0.5326574806 0.4452477693
0.1201544344 0.1284596206 -2.6589189594 -2.6007826556 57.4765950955 0.6137205523 0.6137205523 0.1201544344 0.1284596206 0.1802581407 0.4961997216 0.4331338156
