# iter best_consensus archive_size party0_clusters party1_clusters
0 1.8104214624 0 12 12
10 68.2869213431 1 12 12
20 68.2869213431 1 12 12
30 71.3531684385 1 12 12
40 83.1535293815 3 12 12
50 86.5344514662 3 12 12
60 87.8524750713 3 12 12
70 89.0429258694 3 12 12
80 89.2467676230 3 12 12
90 89.5007868986 3 12 12
100 89.7248425654 3 12 12
110 89.7426452860 3 12 12
120 89.9029465600 3 12 12
130 89.9101773603 3 12 12
140 89.9602889261 3 12 12
150 89.9602889261 3 12 12
160 89.9710312938 3 12 12
170 89.9844221311 3 12 12
180 89.9927445675 3 12 12
190 89.9954540473 3 12 12
200 89.9964519112 3 12 12
210 89.9971541463 3 12 12
219 89.9991113509 3 12 12
