# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.0786926218 0.2488206777 -2.9491516476 -1.7582552560 89.9999090575 89.9998681912 89.9998681912 0.0786926218 0.2488206777 0.6669714179 0.7312457401 0.4459517116
0.0786926218 0.2488206777 -2.9491516476 -1.7582552560 89.9999090575 89.9998681912 89.9998681912 0.0786926218 0.2488206777 0.6669714179 0.7312457401 0.4459517116
0.0786926218 0.2488206777 -2.9491516476 -1.7582552560 89.9999090575 89.9998681912 89.9998681912 0.0786926218 0.2488206777 0.6669714179 0.7312457401 0.4459517116
0.0786926218 0.2488206777 -2.9491516476 -1.7582552560 89.9999090575 89.9998681912 89.9998681912 0.0786926218 0.2488206777 0.6669714179 0.7312457401 0.4459517116
0.0786926218 0.2488206777 -2.9491516476 -1.7582552560 89.9999090575 89.9998681912 89.9998681912 0.0786926218 0.2488206777 0.6669714179 0.7312457401 0.4459517116
0.0786926218 0.2488206777 -2.9491516476 -1.7582552560 89.9999090575 89.9998681912 89.9998681912 0.0786926218 0.2488206777 0.6669714179 0.7312457401 0.4459517116
0.0786763294 0.2487712060 -2.9492656943 -1.7586015583 89.9998343794 89.9998610121 89.9998343794 0.0786763294 0.2487712060 0.6670251643 0.7312526977 0.4459715133
0.0787080782 0.2488063149 -2.9490434527 -1.7583557954 89.9998531320 89.9998123199 89.9998123199 0.0787080782 0.2488063149 0.6669870216 0.7312387825 0.4460632989
0.0786735897 0.2488206777 -2.9492848722 -1.7582552560 89.9998140061 89.9997822345 89.9997822345 0.0786735897 0.2488206777 0.6669714179 0.7312330900 0.4459517116
0.0786735897 0.2488206777 -2.9492848722 -1.7582552560 89.9998140061 89.9997822345 89.9997822345 0.0786735897 0.2488206777 0.6669714179 0.7312330900 0.4459517116
0.0786735897 0.2488206777 -2.9492848722 -1.7582552560 89.9998140061 89.9997822345 89.9997822345 0.0786735897 0.2488206777 0.6669714179 0.7312330900 0.4459517116
0.0786735897 0.2488206777 -2.9492848722 -1.7582552560 89.9998140061 89.9997822345 89.9997822345 0.0786735897 0.2488206777 0.6669714179 0.7312330900 0.4459517116
0.0786735897 0.2488206777 -2.9492848722 -1.7582552560 89.9998140061 89.9997822345 89.9997822345 0.0786735897 0.2488206777 0.6669714179 0.7312330900 0.4459517116
0.0786735897 0.2488206777 -2.9492848722 -1.7582552560 89.9998140061 89.9997822345 89.9997822345 0.0786735897 0.2488206777 0.6669714179 0.7312330900 0.4459517116
0.0786735897 0.2488206777 -2.9492848722 -1.7582552560 89.9998140061 89.9997822345 89.9997822345 0.0786735897 0.2488206777 0.6669714179 0.7312330900 0.4459517116
0.0787245830 0.2488869803 -2.9489279193 -1.7577911378 89.9996504445 89.9996656994 89.9996504445 0.0787245830 0.2488869803 0.6670378993 0.7312227398 0.4458340012
0.0787245830 0.2488869803 -2.9489279193 -1.7577911378 89.9996504445 89.9996656994 89.9996504445 0.0787245830 0.2488869803 0.6670378993 0.7312227398 0.4458340012
0.0787245830 0.2488869803 -2.9489279193 -1.7577911378 89.9996504445 89.9996656994 89.9996504445 0.0787245830 0.2488869803 0.6670378993 0.7312227398 0.4458340012
0.0786735897 0.2488382322 -2.9492848722 -1.7581323745 89.9996372146 89.9996022050 89.9996022050 0.0786735897 0.2488382322 0.6669714179 0.7312261324 0.4458153271
0.0786671542 0.2487281228 -2.9493299206 -1.7589031406 89.9995763330 89.9995691736 89.9995691736 0.0786671542 0.2487281228 0.6669691570 0.7312313392 0.4459519023
0.0786726175 0.2488382322 -2.9492916773 -1.7581323745 89.9995817655 89.9994932487 89.9994932487 0.0786726175 0.2488382322 0.6669523465 0.7312261324 0.4458153271
0.0786796073 0.2488670143 -2.9492427492 -1.7579308998 89.9994782459 89.9995411726 89.9994782459 0.0786796073 0.2488670143 0.6670045282 0.7312626860 0.4461064966
0.0787208301 0.2488035150 -2.9489541895 -1.7583753953 89.9994669670 89.9994860691 89.9994669670 0.0787208301 0.2488035150 0.6670073456 0.7312039214 0.4462105744
0.0787270882 0.2487606464 -2.9489103829 -1.7586754755 89.9995041480 89.9994500455 89.9994500455 0.0787270882 0.2487606464 0.6669714179 0.7311758744 0.4460237461
0.0786771248 0.2487979770 -2.9492601265 -1.7584141612 89.9994290076 89.9994776239 89.9994290076 0.0786771248 0.2487979770 0.6670064080 0.7312665859 0.4462089662
0.0786549271 0.2488226563 -2.9494155105 -1.7582414061 89.9994333236 89.9994268711 89.9994268711 0.0786549271 0.2488226563 0.6669726980 0.7312422397 0.4460829057
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
0.0786753572 0.2487887605 -2.9492724994 -1.7584786768 89.9994258556 89.9994822637 89.9994258556 0.0786753572 0.2487887605 0.6670060930 0.7312457401 0.4461996834
