# from_x0 from_x1 to_x0 to_x1 length
1.3549645311 0.8403215489 1.9035740517 1.1484443588 0.1086995785
1.4691948321 0.4414051828 1.3549645311 0.8403215489 0.0622371054
1.6476084165 1.0570333590 1.9035740517 1.1484443588 0.1246809315
1.8092469840 0.5883502830 1.4691948321 0.4414051828 0.1823774816
1.3553850636 0.9559185254 1.6476084165 1.0570333590 0.0684938956
2.0423347391 0.1253921729 1.4691948321 0.4414051828 0.1453879641
2.7217306502 0.6457251224 1.9035740517 1.1484443588 0.1457689413
1.9711814508 0.8664869790 1.6476084165 1.0570333590 0.1225256211
1.3156514546 -1.2279801762 1.4691948321 0.4414051828 0.2464305063
1.6515603549 -0.2339639282 2.0423347391 0.1253921729 0.1298072880
2.0159031279 0.7219899507 1.9711814508 0.8664869790 0.1603938161
2.3354210228 -0.6745254909 2.0423347391 0.1253921729 0.1507524356
1.2835351061 0.4503774339 1.4691948321 0.4414051828 0.0978414176
3.0144429653 1.4456628318 2.7217306502 0.6457251224 0.1275022919
1.5323607947 0.5923547859 1.8092469840 0.5883502830 0.1992936265
1.2227243793 1.0044859585 1.2835351061 0.4503774339 0.1339276369
2.2844222874 -1.0547618043 2.3354210228 -0.6745254909 0.1272383982
1.0253026295 -0.1234748015 1.6515603549 -0.2339639282 0.1313469451
0.3728719736 0.3949246270 1.2835351061 0.4503774339 0.1345038736
1.9026433627 0.7078389445 2.0159031279 0.7219899507 0.1056264809
2.6943726874 0.1158983545 1.8092469840 0.5883502830 0.1671947773
2.4757844047 0.4579715559 2.0159031279 0.7219899507 0.1865881742
2.9018703137 0.3964096317 2.4757844047 0.4579715559 0.0759067380
1.0785737808 -1.4437037520 1.3156514546 -1.2279801762 0.1319529789
3.0844561592 1.1771091766 3.0144429653 1.4456628318 0.1255357001
1.8862857874 -0.6916625713 2.0159031279 0.7219899507 0.2081860348
2.9978781251 -0.2292736110 2.9018703137 0.3964096317 0.1233472253
1.1358865955 1.4585794176 1.2227243793 1.0044859585 0.0804846274
3.5000000000 0.8881038807 2.7217306502 0.6457251224 0.1262410045
3.0316792283 1.2512462455 1.5323607947 0.5923547859 0.2604949530
0.9831014941 -0.0425826421 1.6515603549 -0.2339639282 0.2144147063
0.1042941166 0.1979749576 0.3728719736 0.3949246270 0.1324074660
2.3893563645 1.0674968994 1.9711814508 0.8664869790 0.1080558032
1.1293519923 -0.2877108180 1.5323607947 0.5923547859 0.1539643320
0.8012255461 1.4726444689 1.3553850636 0.9559185254 0.1570536649
1.2745346063 -0.1794525099 1.2835351061 0.4503774339 0.1530938166
2.2251820333 -0.1063255367 1.8862857874 -0.6916625713 0.1640480238
2.1465728246 -0.1531080629 1.5323607947 0.5923547859 0.1922436602
1.0048633108 -0.4029092241 0.9831014941 -0.0425826421 0.1392937347
3.5000000000 1.1403206013 3.5000000000 0.8881038807 0.0778870850
0.1389329647 0.1495839552 1.0048633108 -0.4029092241 0.1694590819
2.4097613776 0.8220500910 2.3893563645 1.0674968994 0.1313997890
3.3605959868 0.4906239680 2.6943726874 0.1158983545 0.1631444904
0.8894747581 -0.1216529130 0.9831014941 -0.0425826421 0.0928189949
0.3832966658 -0.7387294750 0.3728719736 0.3949246270 0.1688913362
0.6027762302 0.8971756403 0.1389329647 0.1495839552 0.1443037670
1.5255466678 0.9851938192 1.9026433627 0.7078389445 0.0796144625
2.7032573524 1.5640157420 3.0844561592 1.1771091766 0.0849310538
1.4311065735 -1.2654004688 1.0048633108 -0.4029092241 0.1714101199
3.2690040596 -0.0589393723 2.9978781251 -0.2292736110 0.1494655706
1.4217688606 -0.0256466492 1.1293519923 -0.2877108180 0.0971419669
3.5000000000 0.4324980408 3.5000000000 1.1403206013 0.1130253576
3.5000000000 -0.4008210958 2.3354210228 -0.6745254909 0.1782403953
3.5000000000 0.7707673172 3.3605959868 0.4906239680 0.0587900371
1.6896045858 1.4180146870 2.3893563645 1.0674968994 0.1966443318
3.4918387436 0.0910967858 2.9978781251 -0.2292736110 0.1140770809
3.5000000000 1.3691694033 3.5000000000 1.1403206013 0.0527603136
0.1628856383 0.9633005108 1.5323607947 0.5923547859 0.2285099907
2.0264017744 1.2685831859 1.9711814508 0.8664869790 0.1052150934
0.6502571236 0.5353427697 0.6027762302 0.8971756403 0.1886490947
3.5000000000 -1.1036892171 3.5000000000 -0.4008210958 0.1625904751
-0.0467912529 -1.0094211082 0.1389329647 0.1495839552 0.1777612168
0.8797712019 -0.0261184902 1.1293519923 -0.2877108180 0.1325446526
3.5000000000 -0.1369912026 3.4918387436 0.0910967858 0.1356121147
2.2038023220 -0.1689203778 2.3354210228 -0.6745254909 0.1105943810
1.8420796435 -1.3565910888 1.0785737808 -1.4437037520 0.1576465860
0.3253518863 1.4129211156 0.6027762302 0.8971756403 0.1623166130
2.4180451311 -0.1887678221 2.2038023220 -0.1689203778 0.1451361402
0.2523671016 -0.1190094241 0.8894747581 -0.1216529130 0.1213471106
1.1285659195 0.2288294918 1.6896045858 1.4180146870 0.1920075698
0.8694446130 1.2701335534 0.6027762302 0.8971756403 0.1890260307
0.3089535865 -0.2422439138 0.3832966658 -0.7387294750 0.1347210576
3.5000000000 -0.9617962423 2.6943726874 0.1158983545 0.2238246337
1.4420861019 -0.0726030272 0.8797712019 -0.0261184902 0.1719740068
0.2319209322 0.7321791738 0.8694446130 1.2701335534 0.1216746244
2.5638940991 -1.1421632248 3.5000000000 -1.1036892171 0.1771729311
3.3440180477 1.4111091657 3.5000000000 1.3691694033 0.1379109911
2.2653165043 -1.3123237169 2.2844222874 -1.0547618043 0.0976616194
3.5000000000 0.6346848604 3.5000000000 0.4324980408 0.0920264626
0.9005810213 -0.0570876126 0.2319209322 0.7321791738 0.1928475576
0.4799499164 0.6907845196 0.1628856383 0.9633005108 0.1310066586
2.0280370855 -0.2479808804 1.4420861019 -0.0726030272 0.1408456116
3.5000000000 -0.4145658109 3.5000000000 -0.1369912026 0.2090998011
0.1671227969 -1.4105028765 0.3832966658 -0.7387294750 0.1087300582
