# iter best_consensus archive_size party0_clusters party1_clusters
0 0.0026987934 0 12 12
10 1.0485388178 0 12 12
20 29.8143819464 0 12 12
30 60.4054194963 0 12 12
40 76.4015243414 1 12 12
50 80.3174113403 1 12 12
60 84.6341884524 1 12 12
70 87.3378391877 1 12 12
80 88.0180703201 2 12 12
90 88.0180703201 2 12 12
100 89.3650320651 2 12 12
110 89.7993132662 2 12 12
120 89.8241626658 2 12 12
130 89.9436270583 2 12 12
140 89.9436270583 2 12 12
150 89.9712507216 2 12 12
160 89.9809093374 2 12 12
170 89.9922758734 3 12 12
180 89.9939611614 3 12 12
190 89.9982067013 3 12 12
200 89.9982067013 3 12 12
210 89.9997814826 3 12 12
219 89.9997814826 3 12 12
