# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.0801502123 0.5048796381 -2.9389485138 0.0341574666 0.1812752645 19.5932838246 0.1812752645 0.0801502123 0.5048796381 0.4064558393 0.8005148823 0.5381003970
0.1057192162 0.3948883927 -2.7599654863 -0.7357812508 0.0724569697 17.6277528926 0.0724569697 0.1057192162 0.3948883927 0.3712797208 0.7441340893 0.4898899298
0.1053283828 0.4882570095 -2.7627013207 -0.0822009338 0.0386058158 15.0931790315 0.0386058158 0.1053283828 0.4882570095 0.3455681330 0.7155185285 0.4908369911
0.0330899143 0.5041738950 -3.2683705997 0.0292172650 0.0027262234 8.5840466810 0.0027262234 0.0330899143 0.5041738950 0.4650700375 0.6557481548 0.4565501220
0.0775411570 0.5934032455 -2.9572119012 0.6538227182 0.0000017118 5.0873060258 0.0000017118 0.0775411570 0.5934032455 0.5471899182 0.8234016526 0.4937058890
0.1455332857 0.4756370077 -2.4812670004 -0.1705409461 0.0000017118 5.0246289137 0.0000017118 0.1455332857 0.4756370077 0.5000217452 0.9840494709 0.6259609572
0.1461945487 0.5709947591 -2.4766381594 0.4969633139 0.0000017118 4.8131034608 0.0000017118 0.1461945487 0.5709947591 0.5200875610 0.9316891369 0.5432122777
0.1051459667 0.6168775211 -2.7639782333 0.8181426479 0.0000017118 4.7411678473 0.0000017118 0.1051459667 0.6168775211 0.4275564165 0.8833601137 0.5655051751
0.1747143660 0.3953452611 -2.2769994378 -0.7325831724 0.0000587766 4.5468381430 0.0000587766 0.1747143660 0.3953452611 0.3382195771 0.7825194448 0.5865296595
0.1576372698 0.4734877560 -2.3965391115 -0.1855857079 0.0000017118 4.5451099421 0.0000017118 0.1576372698 0.4734877560 0.3681455261 0.8747427289 0.5062150446
0.1345465797 0.5581613711 -2.5581739419 0.4071295977 0.0000081441 4.4016550915 0.0000081441 0.1345465797 0.5581613711 0.4740867709 0.7975090468 0.4738290161
0.0263360640 0.3808984858 -3.3156475519 -0.8337105997 0.0274399624 4.3347590806 0.0274399624 0.0263360640 0.3808984858 0.4895732207 0.7148891671 0.3586643650
0.0000000000 0.3941588472 -3.5000000000 -0.7408880695 0.0000017118 4.2696282547 0.0000017118 0.0000000000 0.3941588472 0.5509856704 0.6013013236 0.1989012792
0.1085684574 0.5331512898 -2.7400207984 0.2320590289 0.0000234899 3.8761446658 0.0000234899 0.1085684574 0.5331512898 0.5555262027 0.6973908200 0.4670388296
0.0000000000 0.3246083471 -3.5000000000 -1.2277415701 0.0000017118 3.8153378264 0.0000017118 0.0000000000 0.3246083471 0.3636765320 0.5915735697 0.3926894385
0.1669910235 0.5024451023 -2.3310628355 0.0171157164 0.0000017118 3.8127380359 0.0000017118 0.1669910235 0.5024451023 0.3684176855 0.8825135775 0.7540531344
0.0000000000 0.5350324051 -3.5000000000 0.2452268354 0.0000017118 3.8103868407 0.0000017118 0.0000000000 0.5350324051 0.3382615169 0.6384688088 0.4042381086
0.0000000000 0.4256260903 -3.5000000000 -0.5206173682 0.0137255087 3.7822769892 0.0137255087 0.0000000000 0.4256260903 0.4875508497 0.7537581334 0.3710718082
0.0000000000 0.5094916448 -3.5000000000 0.0664415134 0.0000017645 3.7615215433 0.0000017645 0.0000000000 0.5094916448 0.3397949840 0.5909686087 0.4529018885
0.0834732707 0.4231367344 -2.9156871051 -0.5380428589 0.0000017360 3.7469108019 0.0000017360 0.0834732707 0.4231367344 0.4779958340 0.8180767885 0.3053483783
0.1573050027 0.4513401676 -2.3988649814 -0.3406188265 0.0001489019 3.6763099989 0.0001489019 0.1573050027 0.4513401676 0.3090431458 0.8064434904 0.3860108325
0.0501251188 0.4510584878 -3.1491241682 -0.3425905854 0.0857781942 3.5911257425 0.0857781942 0.0501251188 0.4510584878 0.4014581836 0.7890878056 0.3909845532
0.1920099326 0.3262061111 -2.1559304720 -1.2165572224 0.0000017118 3.5857874696 0.0000017118 0.1920099326 0.3262061111 0.4222606279 1.0000000000 0.7051974479
0.0000000000 0.4922347974 -3.5000000000 -0.0543564183 0.0000017118 3.5605464163 0.0000017118 0.0000000000 0.4922347974 0.3147026634 0.6532273246 0.4441236981
0.1555877309 0.5551743120 -2.4108858834 0.3862201839 0.0000018136 3.5449528450 0.0000018136 0.1555877309 0.5551743120 0.2933463644 0.7615080606 0.7405763320
0.0290154417 0.4314081020 -3.2968919082 -0.4801432857 0.0000050082 3.5220053782 0.0000050082 0.0290154417 0.4314081020 0.6174308228 0.7727863834 0.4669269382
0.0000000000 0.4068617642 -3.5000000000 -0.6519676509 0.0000017118 3.4907234250 0.0000017118 0.0000000000 0.4068617642 0.3411903726 0.6306731316 0.2815773315
