# from_x0 from_x1 to_x0 to_x1 length
2.8502525684 -3.3060175127 1.8316155474 -3.0411048984 0.2685961030
2.7243634310 -2.8694058552 1.8316155474 -3.0411048984 0.2014696323
3.5000000000 -3.1330124362 2.7243634310 -2.8694058552 0.1925784578
0.3265417354 -3.1520964979 1.8316155474 -3.0411048984 0.2665961784
3.5000000000 -3.3331203520 2.8502525684 -3.3060175127 0.1790786848
2.4413419693 -3.2457982802 2.8502525684 -3.3060175127 0.1947719023
3.5000000000 -2.8360031473 3.5000000000 -3.1330124362 0.0937173932
3.5000000000 -3.5000000000 3.5000000000 -3.3331203520 0.0968843402
2.4508747258 -3.3176166020 2.4413419693 -3.2457982802 0.0581360603
2.5316241593 -3.0808695528 1.8316155474 -3.0411048984 0.1417660106
2.6363223994 -3.4115643759 2.8502525684 -3.3060175127 0.0876869598
0.1633842582 -3.3235580416 0.3265417354 -3.1520964979 0.0688439031
0.6801532452 -2.9855014615 0.3265417354 -3.1520964979 0.1482375502
1.4822548606 -2.8313015261 1.8316155474 -3.0411048984 0.1158235806
3.5000000000 -3.5000000000 3.5000000000 -3.5000000000 0.0279282699
2.7833580079 -3.1973733695 2.4508747258 -3.3176166020 0.0637055230
1.3782801002 -3.5000000000 2.4508747258 -3.3176166020 0.1868839714
3.2793701283 -3.3432016605 2.6363223994 -3.4115643759 0.1578125737
2.2783365204 -3.1759551918 2.4508747258 -3.3176166020 0.0779799930
3.5000000000 -2.8568125489 3.5000000000 -3.1330124362 0.0650550756
1.9616459161 -3.5000000000 2.4508747258 -3.3176166020 0.1222519632
1.1446182851 -3.1963541528 1.4822548606 -2.8313015261 0.1628965253
-0.1056424488 -3.5000000000 0.1633842582 -3.3235580416 0.2242838753
2.5183941972 -3.5000000000 2.7243634310 -2.8694058552 0.5599361121
1.2735690522 -3.3212440063 1.1446182851 -3.1963541528 0.3134020924
1.0029060067 -3.5000000000 1.1446182851 -3.1963541528 0.5789294844
2.7125983724 -3.5000000000 2.7243634310 -2.8694058552 0.3707256285
2.6530845442 -2.7343961034 2.7243634310 -2.8694058552 0.3020414872
1.7030792848 -3.0080321682 1.1446182851 -3.1963541528 0.5090239811
3.2899790613 -3.5000000000 2.7243634310 -2.8694058552 0.6012464709
-0.4629826155 -3.4347613661 1.1446182851 -3.1963541528 0.4382760844
3.5000000000 -3.0023241222 2.7243634310 -2.8694058552 0.5834849440
0.0655956554 -3.5000000000 1.9616459161 -3.5000000000 0.3879974108
-0.8459874309 -3.5000000000 1.1446182851 -3.1963541528 0.5919691385
-0.5628204311 -3.5000000000 1.1446182851 -3.1963541528 0.4650365802
1.0413832366 -3.4517516573 1.1446182851 -3.1963541528 0.2245351755
-0.0574369082 -3.5000000000 1.1446182851 -3.1963541528 0.4895027633
0.8180529744 -3.5000000000 0.6801532452 -2.9855014615 0.2053959863
2.1402889222 -3.4269075988 2.6363223994 -3.4115643759 0.2021279020
-1.4405488081 -3.2034598546 2.6363223994 -3.4115643759 0.8591983654
1.3088644691 -3.5000000000 1.8316155474 -3.0411048984 0.2113982726
3.1303762740 -2.7990985145 3.2793701283 -3.3432016605 0.1606422684
1.9841927784 -3.4053820411 3.2793701283 -3.3432016605 0.3202823791
-1.3516401720 -3.5000000000 1.1446182851 -3.1963541528 0.6103780840
1.6391887438 -2.7398419327 2.6363223994 -3.4115643759 0.3019151024
1.1112603455 -3.5000000000 1.1446182851 -3.1963541528 0.1777435417
1.5115146239 -3.5000000000 1.1446182851 -3.1963541528 0.1815100013
0.3746179911 -3.5000000000 1.1446182851 -3.1963541528 0.3650604244
3.4441082103 -3.5000000000 2.8502525684 -3.3060175127 0.1156031672
0.5586574456 -3.5000000000 1.1446182851 -3.1963541528 0.3400440137
-0.0302845951 -3.5000000000 3.5000000000 -3.5000000000 0.7101854027
1.2108829621 -3.2711681748 1.1446182851 -3.1963541528 0.2108459492
2.7750776148 -3.3125955506 3.5000000000 -3.1330124362 0.1224709907
-2.2022778070 -3.5000000000 1.3782801002 -3.5000000000 0.9356085145
-0.6232528472 -2.9328383430 3.2793701283 -3.3432016605 0.7688805398
-0.8419382375 -3.5000000000 3.5000000000 -3.5000000000 0.8204899518
-1.2154203421 -2.9382293186 1.1446182851 -3.1963541528 0.7305772884
0.7702693057 -3.2474496693 1.3782801002 -3.5000000000 0.2438663030
-1.1898348299 -3.5000000000 1.9616459161 -3.5000000000 0.7848548559
3.5000000000 -3.5000000000 3.2793701283 -3.3432016605 0.2374422160
1.3836001576 -2.8644661009 3.2793701283 -3.3432016605 0.4808852011
3.5000000000 -2.7806158854 3.2793701283 -3.3432016605 0.3937855336
3.4619016805 -3.5000000000 3.2793701283 -3.3432016605 0.3152991075
3.5000000000 -3.5000000000 3.5000000000 -3.1330124362 0.1739936321
3.5000000000 -3.5000000000 3.2793701283 -3.3432016605 0.3173527885
2.6596463576 -3.5000000000 3.2793701283 -3.3432016605 0.2132947128
2.1787360477 -2.7946088618 3.5000000000 -3.5000000000 0.3091928096
3.5000000000 -3.5000000000 3.2793701283 -3.3432016605 0.1765851595
1.5889973763 -3.4307892753 2.6363223994 -3.4115643759 0.3536249751
2.7591063812 -3.1345135189 2.7243634310 -2.8694058552 0.1938836116
3.1720437556 -3.5000000000 3.2793701283 -3.3432016605 0.3260086355
3.5000000000 -3.5000000000 3.2793701283 -3.3432016605 0.6367117516
2.2481044478 -3.5000000000 3.2793701283 -3.3432016605 0.3932370543
1.1930130863 -3.5000000000 1.1446182851 -3.1963541528 0.3314269346
3.5000000000 -3.5000000000 3.2793701283 -3.3432016605 0.3095026782
1.4576915617 -3.5000000000 1.1446182851 -3.1963541528 0.2884049757
1.5140638342 -3.1405912543 2.7243634310 -2.8694058552 0.5814605883
-1.0013149941 -3.2534707760 1.4822548606 -2.8313015261 0.6496435044
2.0519919969 -3.5000000000 2.5316241593 -3.0808695528 0.3490518224
-0.2686327416 -3.1196898062 1.1446182851 -3.1963541528 0.3756857023
-1.6610746400 -3.4599498673 1.1446182851 -3.1963541528 0.8594187334
1.4362102005 -3.5000000000 1.1446182851 -3.1963541528 0.3855114273
1.2811033610 -3.5000000000 1.4822548606 -2.8313015261 0.3152946841
-2.1901154305 -3.5000000000 0.1633842582 -3.3235580416 0.5084772958
1.9380876546 -2.8141363979 2.7243634310 -2.8694058552 0.2635866819
0.3209760248 -3.5000000000 1.1446182851 -3.1963541528 0.4106366439
0.7697711189 -3.0417768443 1.1446182851 -3.1963541528 0.2911202994
2.3781954937 -3.5000000000 2.7243634310 -2.8694058552 0.3815290021
-1.6295772039 -3.1348242528 0.1633842582 -3.3235580416 0.5310798344
-0.8654414249 -3.5000000000 1.3782801002 -3.5000000000 0.6139036226
-2.2201234044 -3.5000000000 0.1633842582 -3.3235580416 0.4788603608
-1.0065100351 -3.3848194937 0.1633842582 -3.3235580416 0.4445657772
-1.8954270715 -3.5000000000 0.1633842582 -3.3235580416 0.4066385518
0.0730087225 -3.3337431767 0.1633842582 -3.3235580416 0.2436112796
-1.6431973445 -3.5000000000 1.3782801002 -3.5000000000 0.6671654850
-1.1009846891 -3.5000000000 1.1446182851 -3.1963541528 0.4850217328
-1.4357209308 -3.1178793793 1.1446182851 -3.1963541528 0.9215078412
-1.4401783873 -3.5000000000 1.1446182851 -3.1963541528 0.8897754838
-0.7762986531 -3.5000000000 3.2793701283 -3.3432016605 0.8181526643
-2.0336571833 -3.3353963999 1.1446182851 -3.1963541528 0.8018771111
-0.4830928958 -3.5000000000 3.2793701283 -3.3432016605 0.7493306466
2.4321892574 -3.5000000000 2.5316241593 -3.0808695528 0.1532279330
3.5000000000 -3.3402297089 3.5000000000 -2.8360031473 0.1965484025
3.5000000000 -3.5000000000 2.7243634310 -2.8694058552 0.2323740634
-1.1135068656 -2.7328267811 1.3782801002 -3.5000000000 0.4792008768
2.4878035688 -2.8607588372 2.8502525684 -3.3060175127 0.1714307751
2.9752123497 -2.7676536574 2.7243634310 -2.8694058552 0.2774667937
3.5000000000 -3.2389924186 3.2793701283 -3.3432016605 0.2253793150
3.5000000000 -3.1031030362 3.5000000000 -2.8568125489 0.2761328412
3.1087123316 -3.5000000000 2.8502525684 -3.3060175127 0.2293851871
3.5000000000 -3.5000000000 3.2793701283 -3.3432016605 0.1880149087
3.2115239463 -3.0952698092 2.7243634310 -2.8694058552 0.6204202873
3.5000000000 -3.5000000000 2.7243634310 -2.8694058552 0.1902544878
2.7052218608 -3.3123975022 3.2793701283 -3.3432016605 0.3696507172
2.5009932127 -3.5000000000 3.2793701283 -3.3432016605 0.4216734175
2.3529146675 -3.2441187117 1.1446182851 -3.1963541528 0.3526867618
2.7559083042 -3.5000000000 3.2793701283 -3.3432016605 0.4104297159
2.6729161371 -3.5000000000 2.7243634310 -2.8694058552 0.3068892349
3.5000000000 -3.5000000000 2.7243634310 -2.8694058552 0.2937769027
2.3340487506 -3.5000000000 2.7243634310 -2.8694058552 0.3743663612
2.3430071406 -2.8761192791 2.7243634310 -2.8694058552 0.1713736438
3.2713271962 -3.5000000000 2.7243634310 -2.8694058552 0.4604993874
2.6714501790 -2.9700152165 2.7243634310 -2.8694058552 0.1678472030
3.4033111058 -3.5000000000 2.7243634310 -2.8694058552 0.3871254191
3.3257422916 -2.9960699860 2.7243634310 -2.8694058552 0.3054142021
3.5000000000 -3.3682460936 2.7243634310 -2.8694058552 0.1920071294
3.5000000000 -3.5000000000 2.7243634310 -2.8694058552 0.5065215209
3.4770323797 -3.0518769548 2.7243634310 -2.8694058552 0.4705401297
0.5984047354 -2.8873151904 1.4822548606 -2.8313015261 0.5180005925
2.8606077741 -3.5000000000 2.7243634310 -2.8694058552 0.4640074117
0.9732200425 -3.5000000000 1.1446182851 -3.1963541528 0.5969665966
2.4122252888 -3.0437187693 2.7243634310 -2.8694058552 0.5505103765
2.0960027437 -3.5000000000 2.7243634310 -2.8694058552 0.6363956946
1.0933496405 -3.5000000000 2.7243634310 -2.8694058552 0.5374911661
2.2861271279 -3.2590775593 2.7243634310 -2.8694058552 0.5508961182
0.5055405352 -3.5000000000 1.1446182851 -3.1963541528 0.2301385032
2.1846489167 -3.5000000000 3.2793701283 -3.3432016605 0.4154452665
-1.4174871507 -3.5000000000 1.1446182851 -3.1963541528 0.6482661663
0.8989770401 -3.5000000000 1.1446182851 -3.1963541528 0.6756082451
3.1421794721 -3.5000000000 2.7243634310 -2.8694058552 0.5740881388
3.3224026333 -3.5000000000 2.7243634310 -2.8694058552 0.5802878030
3.0953360093 -3.5000000000 2.7243634310 -2.8694058552 0.6028732313
3.5000000000 -3.2270411808 2.7243634310 -2.8694058552 0.5919243633
3.5000000000 -3.3698821734 2.7243634310 -2.8694058552 0.5930977112
3.2597958031 -3.2388514188 2.7243634310 -2.8694058552 0.5955437662
3.0472222262 -3.5000000000 2.7243634310 -2.8694058552 0.5587408327
3.2050169166 -3.5000000000 2.7243634310 -2.8694058552 0.6193369931
3.2236063478 -3.4757287564 2.7243634310 -2.8694058552 0.5706221581
-0.1990692322 -2.8860983432 1.1446182851 -3.1963541528 0.4523573651
-2.1272629958 -3.5000000000 1.1446182851 -3.1963541528 0.6612796378
1.5289102180 -3.5000000000 3.2793701283 -3.3432016605 0.6290595757
