# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.4955433858 0.2622924844 -0.0311962993 -1.6639526091 29.6357292468 48.9364128938 29.6357292468 0.4955433858 0.2622924844 0.2714948881 0.5897601750 0.4210735227
0.5303522884 0.2903464425 0.2124660190 -1.4675749023 5.6391117831 46.9326828628 5.6391117831 0.5303522884 0.2903464425 0.2087839687 0.5129833901 0.5543067583
0.5442063841 0.3149779960 0.3094446889 -1.2951540279 6.3534060743 36.7423269465 6.3534060743 0.5442063841 0.3149779960 0.2255015404 0.5847350354 0.3202911177
0.5356991825 0.2629302834 0.2498942778 -1.6594880160 6.1445069758 35.4546841072 6.1445069758 0.5356991825 0.2629302834 0.4106698869 0.5398490669 0.6343003168
0.2610445006 0.1302376857 -1.6726884958 -2.5883362003 5.6391117831 25.2233147988 5.6391117831 0.2610445006 0.1302376857 0.1964268013 0.5345626140 0.3359802830
0.2828381561 0.1330264068 -1.5201329073 -2.5688151522 5.6391117831 23.5611621128 5.6391117831 0.2828381561 0.1330264068 0.2433020148 0.4540753865 0.3180955510
0.4819042249 0.2780984326 -0.1266704260 -1.5533109717 7.3168934304 18.4588355060 7.3168934304 0.4819042249 0.2780984326 0.3137891435 0.4689353886 0.3368815102
0.5627244064 0.3279834905 0.4390708448 -1.2041155664 16.0043185589 16.4259041770 16.0043185589 0.5627244064 0.3279834905 0.3506613152 0.5310764436 0.5705671887
0.5782591055 0.3430600988 0.5478137382 -1.0985793087 11.7927307534 14.6388755503 11.7927307534 0.5782591055 0.3430600988 0.3215541438 0.5721453781 0.4330933294
0.2706124608 0.1406156188 -1.6057127746 -2.5156906687 5.6391117831 13.3287677180 5.6391117831 0.2706124608 0.1406156188 0.0871970240 0.6823077515 0.3358924288
0.2662578840 0.0777999574 -1.6361948117 -2.9554002981 3.9184450614 12.5565465415 3.9184450614 0.2662578840 0.0777999574 0.0000000000 0.3271868978 0.2614354590
0.2514014356 0.1418237257 -1.7401899508 -2.5072339198 5.6391117831 12.4221039805 5.6391117831 0.2514014356 0.1418237257 0.1163511693 0.4832310710 0.1810705653
0.5874422510 0.2708093098 0.6120957568 -1.6043348311 5.6391117831 11.4633619280 5.6391117831 0.5874422510 0.2708093098 0.5668908668 0.6720099785 0.5531417433
0.3033418737 0.0997088261 -1.3766068838 -2.8020382170 3.9184450614 11.1474364061 3.9184450614 0.3033418737 0.0997088261 0.0000000000 0.4596267525 0.4124278523
0.2621236312 0.1503382259 -1.6651345818 -2.4476324186 5.6391117831 10.9086793983 5.6391117831 0.2621236312 0.1503382259 0.0949219331 0.6935720428 0.2060328603
0.3082297127 0.1283579760 -1.3423920112 -2.6014941679 5.6391117831 10.8263330138 5.6391117831 0.3082297127 0.1283579760 0.1710160518 0.3469933758 0.4004583686
0.3051328888 0.0821059519 -1.3640697785 -2.9252583367 3.9184450614 10.8182919232 3.9184450614 0.3051328888 0.0821059519 0.0372480492 0.4571675088 0.3542211572
0.5702124782 0.3345403329 0.4914873473 -1.1582176700 5.6391117831 10.4941086236 5.6391117831 0.5702124782 0.3345403329 0.5000166394 0.4660613811 0.3609239655
