# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm
0.2424784452 0.1816639085 -1.8026508837 -2.2283526407 45.6179597151 5.4815405341 5.4815405341 0.2424784452 0.1816639085 0.6484240641 0.4372581389 0.3798027383
0.6005137697 0.8595087446 0.7035963882 2.5165612119 30.9706469502 7.8786768897 7.8786768897 0.6005137697 0.8595087446 0.2433695727 0.7177358731 0.2715229872
0.2675492523 0.1795510884 -1.6271552340 -2.2431423814 27.0001827377 4.9700474418 4.9700474418 0.2675492523 0.1795510884 0.6120538821 0.4009142813 0.3540135919
0.2436578078 0.1955819857 -1.7943953457 -2.1309260998 22.9036873897 4.1098639150 4.1098639150 0.2436578078 0.1955819857 0.5408623337 0.4967111721 0.3697084998
0.2641861885 0.2134869848 -1.6506966808 -2.0055911061 22.5174400272 4.1098639150 4.1098639150 0.2641861885 0.2134869848 0.5228390036 0.4617105209 0.4254181409
0.2265828480 0.1524066930 -1.9139200640 -2.4331531492 17.6783688989 10.7678906427 10.7678906427 0.2265828480 0.1524066930 0.7189812318 0.3731761433 0.2864586115
0.5339462876 0.1424423100 0.2376240132 -2.5029038302 15.8657697641 4.1098639150 4.1098639150 0.5339462876 0.1424423100 0.6791606694 0.6540521018 0.5485745324
0.2813109410 0.2047107154 -1.5308234130 -2.0670249924 12.7370510500 4.1098639150 4.1098639150 0.2813109410 0.2047107154 0.8041746763 0.3225223016 0.4041597426
0.2332306402 0.2638167968 -1.8673855187 -1.6532824223 11.9232918032 4.1098639150 4.1098639150 0.2332306402 0.2638167968 0.4566841551 0.5392865274 0.5277239057
0.2755944308 0.2196632970 -1.5708389844 -1.9623569210 11.6843165104 4.1098639150 4.1098639150 0.2755944308 0.2196632970 0.5229934716 0.5299046563 0.3972948181
0.3468353857 0.0949354323 -1.0721523000 -2.8354519738 11.3996655701 4.2673699516 4.2673699516 0.3468353857 0.0949354323 0.6474616389 0.4734215549 0.5606785235
0.3202532325 0.2305778276 -1.2582273724 -1.8859552070 9.8706898880 4.1098639150 4.1098639150 0.3202532325 0.2305778276 0.7936939884 0.3025429685 0.3674330837
0.2795057375 0.1900786275 -1.5434598372 -2.1694496072 9.4691039995 4.1098639150 4.1098639150 0.2795057375 0.1900786275 0.5875483074 0.3971435730 0.1624803614
0.2911135039 0.1900999519 -1.4622054730 -2.1693003368 9.2927584386 4.1098639150 4.1098639150 0.2911135039 0.1900999519 0.5094201632 0.5440166589 0.4909937510
0.2103245543 0.2224650544 -2.0277281196 -1.9427446190 8.9977501158 4.1098639150 4.1098639150 0.2103245543 0.2224650544 0.5553964989 0.4985816340 0.2842985956
0.2762124898 0.2298650193 -1.5665125716 -1.8909448647 8.6943745405 4.1098639150 4.1098639150 0.2762124898 0.2298650193 0.6550923329 0.3388606789 0.3845433166
0.2374620807 0.1644234687 -1.8377654352 -2.3490357191 8.3063295292 4.1098639150 4.1098639150 0.2374620807 0.1644234687 0.6623184491 0.5347866720 0.5150960048
0.3274154499 0.1239473325 -1.2080918506 -2.6323686728 7.9065953738 4.1098639150 4.1098639150 0.3274154499 0.1239473325 0.4751228793 0.4769491984 0.4741562699
0.2740500926 0.2350547982 -1.5816493515 -1.8546164127 7.7900955915 4.1098639150 4.1098639150 0.2740500926 0.2350547982 0.7439545546 0.4492852672 0.4148514281
0.2177744988 0.1001013983 -1.9755785083 -2.7992902118 7.7218509827 4.1098639150 4.1098639150 0.2177744988 0.1001013983 0.5515465294 0.4834500525 0.3788389532
0.3668129727 0.0672211535 -0.9323091910 -3.0294519255 7.3788970128 4.1098639150 4.1098639150 0.3668129727 0.0672211535 0.5554331163 0.4078171948 0.4765163385
0.1851508813 0.1432454147 -2.2039438306 -2.4972820972 7.2103602765 8.1060004974 7.2103602765 0.1851508813 0.1432454147 0.7842516630 0.4126769169 0.3108311121
0.1800552829 0.2593612718 -2.2396130199 -1.6844710972 7.1294488368 4.1098639150 4.1098639150 0.1800552829 0.2593612718 0.7474908576 0.4690142252 0.4055269064
0.1667782850 0.2038240775 -2.3325520048 -2.0732314576 6.9249511180 4.1098639150 4.1098639150 0.1667782850 0.2038240775 0.5721877142 0.5246805708 0.4721362326
0.2681734911 0.1735867442 -1.6227855620 -2.2848927904 6.7344392204 4.1098639150 4.1098639150 0.2681734911 0.1735867442 0.5063150441 0.5039346048 0.2321985834
0.2046427836 0.0598139397 -2.0675005146 -3.0813024222 6.6729504886 4.1098639150 4.1098639150 0.2046427836 0.0598139397 0.7728421550 0.4795611192 0.4677423996
0.2711395055 0.1411664191 -1.6020234612 -2.5118350666 6.6653971016 5.3914837159 5.3914837159 0.2711395055 0.1411664191 0.8089669951 0.4644973416 0.5159475798
0.2418440074 0.2793474733 -1.8070919485 -1.5445676867 6.6636113437 4.1098639150 4.1098639150 0.2418440074 0.2793474733 0.7536222149 0.4377276513 0.3475371859
0.2663109019 0.1639799689 -1.6358236864 -2.3521402180 6.5898661632 4.1098639150 4.1098639150 0.2663109019 0.1639799689 0.6633118720 0.4553696929 0.2271302889
0.3637643197 0.0000000000 -0.9536497618 -3.5000000000 6.5008982403 4.1098639150 4.1098639150 0.3637643197 0.0000000000 0.8134860198 0.3712876013 0.3954610223
0.2066843019 0.1252564955 -2.0532098866 -2.6232045316 6.3084803850 4.2655580634 4.2655580634 0.2066843019 0.1252564955 0.6789308612 0.4350276511 0.5329396258
0.2207964322 0.2816847193 -1.9544249749 -1.5282069648 5.9736025490 4.1098639150 4.1098639150 0.2207964322 0.2816847193 0.4871543812 0.4449861404 0.2669464199
0.2803428899 0.1089308217 -1.5375997709 -2.7374842483 5.7347280969 4.1241394575 4.1241394575 0.2803428899 0.1089308217 0.6622020187 0.3182840293 0.1220548583
0.2572804687 0.3352946863 -1.6990367190 -1.1529371962 5.7031776924 4.1736141783 4.1736141783 0.2572804687 0.3352946863 0.5238107571 0.4458258457 0.4689479932
0.2049896146 0.3727896984 -2.0650726977 -0.8904721109 5.5595489910 4.1098639150 4.1098639150 0.2049896146 0.3727896984 0.4084074989 0.5300099364 0.4285112887
0.2873785626 0.0701255928 -1.4883500618 -3.0091208506 5.3922754080 4.1098639150 4.1098639150 0.2873785626 0.0701255928 0.9280847612 0.2367248743 0.4037175652
0.2936920716 0.2989600075 -1.4441554985 -1.4072799474 5.3486764750 4.1098639150 4.1098639150 0.2936920716 0.2989600075 0.5962729442 0.4721478764 0.3354724084
0.3100990671 0.1542039102 -1.3293065301 -2.4205726285 5.2785284924 23.2498776858 5.2785284924 0.3100990671 0.1542039102 0.7452025328 0.4963306886 0.4886054527
0.1963666766 0.3588508458 -2.1254332637 -0.9880440793 5.2259654814 4.1098639150 4.1098639150 0.1963666766 0.3588508458 0.4588705868 0.4971934223 0.2376839680
0.2537381869 0.1478102472 -1.7238326915 -2.4653282695 5.1667936149 4.1098639150 4.1098639150 0.2537381869 0.1478102472 0.6232212337 0.5156846383 0.2399590075
0.3931334634 0.1757581000 -0.7480657562 -2.2696933003 5.1274863797 4.1098639150 4.1098639150 0.3931334634 0.1757581000 0.8214478144 0.6483721454 0.4383179429
0.2461023256 0.3079469687 -1.7772837209 -1.3443712189 5.1039562348 4.1098639150 4.1098639150 0.2461023256 0.3079469687 0.3821959378 0.4633257073 0.3718044526
0.2691696829 0.1684764232 -1.6158122200 -2.3206650374 4.9869193098 4.6291058398 4.6291058398 0.2691696829 0.1684764232 0.7784025519 0.5065995379 0.5996680634
0.3165617864 0.1935980892 -1.2840674951 -2.1448133754 4.9739645711 4.1098639150 4.1098639150 0.3165617864 0.1935980892 0.8562562821 0.3837619788 0.5646629813
0.5452983154 0.8045189868 0.3170882080 2.1316329077 4.9616595501 11.7474373272 4.9616595501 0.5452983154 0.8045189868 0.2758380023 0.6360288020 0.4274597529
0.2191866463 0.1871144235 -1.9656934760 -2.1901990352 4.9504267700 4.1098639150 4.1098639150 0.2191866463 0.1871144235 0.4953762971 0.5181292381 0.1946337222
0.5283959772 0.8596527153 0.1987718404 2.5175690072 4.9316330262 4.1098639150 4.1098639150 0.5283959772 0.8596527153 0.0860238665 0.8315716937 0.1671771539
0.3371809486 0.2656538714 -1.1397333601 -1.6404229001 4.8381142809 4.1098639150 4.1098639150 0.3371809486 0.2656538714 0.5713236798 0.4612063271 0.3622492290
0.1482907617 0.1890449196 -2.4619646678 -2.1766855630 4.7953562773 4.1098639150 4.1098639150 0.1482907617 0.1890449196 0.6133229729 0.4649786100 0.3983653498
0.2336022173 0.2427790100 -1.8647844787 -1.8005469302 4.7915382551 4.1098639150 4.1098639150 0.2336022173 0.2427790100 0.6346882459 0.3278712430 0.3724493096
0.3779455894 0.0000000000 -0.8543808744 -3.5000000000 4.7393108940 4.1098639150 4.1098639150 0.3779455894 0.0000000000 0.6071671298 0.4102145311 0.3787701710
0.3019368953 0.0000000000 -1.3864417330 -3.5000000000 4.7229146114 4.1098639150 4.1098639150 0.3019368953 0.0000000000 0.6131779723 0.3531181464 0.2360702226
0.2938687580 0.1761739162 -1.4429186940 -2.2667825864 4.7111445491 4.1098639150 4.1098639150 0.2938687580 0.1761739162 0.6996144320 0.3328307038 0.5844564650
0.3025085388 0.3229124661 -1.3824402284 -1.2396127374 4.6786974355 4.1736141783 4.1736141783 0.3025085388 0.3229124661 0.6581026760 0.3623454133 0.3135445619
0.3496194119 0.1315775104 -1.0526641165 -2.5789574273 4.6747841930 4.1098639150 4.1098639150 0.3496194119 0.1315775104 0.4506122777 0.5812328980 0.5604634084
0.2920284511 0.1504089363 -1.4558008423 -2.4471374459 4.6706683370 4.1098639150 4.1098639150 0.2920284511 0.1504089363 0.3786710368 0.5882185725 0.3606622389
0.2929438099 0.1933968751 -1.4493933304 -2.1462218743 4.6643974125 3.6843573464 3.6843573464 0.2929438099 0.1933968751 0.9421484426 0.1955504973 0.2237374803
0.1447835476 0.3470537493 -2.4865151671 -1.0706237552 4.6265202654 4.1736141783 4.1736141783 0.1447835476 0.3470537493 0.5771840833 0.4549579208 0.2536229901
0.1933658186 0.2238183031 -2.1464392700 -1.9332718784 4.5819425712 4.1098639150 4.1098639150 0.1933658186 0.2238183031 0.7104446618 0.3712963567 0.4986280135
0.2291908658 0.2539016195 -1.8956639392 -1.7226886634 4.5459762923 4.1098639150 4.1098639150 0.2291908658 0.2539016195 0.5612436475 0.4139870506 0.5709180274
0.2455887296 0.0000000000 -1.7808788931 -3.5000000000 4.5368352384 4.1098639150 4.1098639150 0.2455887296 0.0000000000 0.8481159167 0.3621121265 0.1351444000
0.2352143045 0.2628535335 -1.8534998687 -1.6600252654 4.5234134965 4.1098639150 4.1098639150 0.2352143045 0.2628535335 0.7040408065 0.4451550719 0.1667907201
0.4952601554 0.9040402702 -0.0331789121 2.8282818911 4.4759048870 4.1098639150 4.1098639150 0.4952601554 0.9040402702 0.0000000000 0.8684785227 0.2754987680
0.3841861025 0.0916974550 -0.8106972826 -2.8581178152 4.4565136772 4.1199511988 4.1199511988 0.3841861025 0.0916974550 0.5552263521 0.3344407410 0.4159850345
0.2610223183 0.3139236435 -1.6728437720 -1.3025344958 4.4447647355 4.1098639150 4.1098639150 0.2610223183 0.3139236435 0.4822554484 0.3701070573 0.1752302441
0.1171592306 0.2853138914 -2.6798853855 -1.5028027604 4.3684321540 4.1098639150 4.1098639150 0.1171592306 0.2853138914 0.6360368279 0.4998419577 0.3649994461
0.1759372462 0.2298613129 -2.2684392765 -1.8909708097 4.3340374878 4.1098639150 4.1098639150 0.1759372462 0.2298613129 0.5347107469 0.6444951048 0.5111182681
0.2135542851 0.0924157849 -2.0051200045 -2.8530895060 4.3232708718 4.1098639150 4.1098639150 0.2135542851 0.0924157849 0.6056374305 0.4748607361 0.1865019873
0.1370905666 0.1584193728 -2.5403660336 -2.3910643903 4.3045677198 4.1098639150 4.1098639150 0.1370905666 0.1584193728 0.6780166648 0.4414795896 0.4427858093
0.5235174751 0.9371197596 0.1646223258 3.0598383173 4.2960048656 4.1098639150 4.1098639150 0.5235174751 0.9371197596 0.0328515055 0.8978747619 0.3902487200
0.3083152717 0.1670174372 -1.3417930982 -2.3308779393 4.2765499450 4.1098639150 4.1098639150 0.3083152717 0.1670174372 0.6112757000 0.5448795007 0.3407828652
0.3252756669 0.0992219660 -1.2230703317 -2.8054462383 4.2658590712 4.1098639150 4.1098639150 0.3252756669 0.0992219660 0.4346735063 0.5636294977 0.3946352214
0.3762549027 0.1540344053 -0.8662156809 -2.4217591632 4.2618438744 4.1098639150 4.1098639150 0.3762549027 0.1540344053 0.5795706700 0.4173870506 0.2762783939
0.1621708269 0.3206104823 -2.3648042120 -1.2557266239 4.2458252237 4.1098639150 4.1098639150 0.1621708269 0.3206104823 0.4390511510 0.5662714708 0.5101511956
0.3166063264 0.3394741559 -1.2837557150 -1.1236809089 4.2391705923 4.1098639150 4.1098639150 0.3166063264 0.3394741559 0.4119374320 0.5010591648 0.5186818518
0.1628212817 0.1303183814 -2.3602510284 -2.5877713299 4.2156492834 4.1098639150 4.1098639150 0.1628212817 0.1303183814 0.3949160074 0.5728515811 0.3559414119
0.3117562301 0.3384228593 -1.3177063894 -1.1310399850 4.2118428408 4.1736141783 4.1736141783 0.3117562301 0.3384228593 0.6311138316 0.5129921359 0.4617021814
0.3825262653 0.0000000000 -0.8223161426 -3.5000000000 4.1887467457 4.1098639150 4.1098639150 0.3825262653 0.0000000000 0.7796852679 0.1992671343 0.2002257727
0.3396235972 0.2668092037 -1.1226348195 -1.6323355744 4.1813420847 4.1098639150 4.1098639150 0.3396235972 0.2668092037 0.5058708668 0.5592255637 0.4804632538
0.2513257153 0.2929377487 -1.7407199930 -1.4494357594 4.1708789939 4.1098639150 4.1098639150 0.2513257153 0.2929377487 0.8461529180 0.4792554961 0.4609268393
0.2755138761 0.0985485602 -1.5714028673 -2.8101600785 4.1581792735 4.1098639150 4.1098639150 0.2755138761 0.0985485602 0.3135203622 0.5766126939 0.3763461836
0.1984609842 0.0000000000 -2.1107731105 -3.5000000000 4.1486858908 4.1098639150 4.1098639150 0.1984609842 0.0000000000 0.6454748626 0.4097758041 0.3228935134
