# iter best_consensus archive_size party0_clusters party1_clusters
0 88.5328040424 11 11 12
10 88.9001708986 22 3 4
20 88.9982530824 24 3 4
30 88.9982530824 24 3 4
40 88.9995720917 25 3 4
50 88.9998023941 25 3 4
60 88.9999096536 25 3 4
70 88.9999968189 25 3 4
80 88.9999968189 25 3 4
90 88.9999999049 25 3 4
100 88.9999999049 25 3 4
110 88.9999999049 26 3 4
120 88.9999999947 26 3 4
130 88.9999999947 26 3 4
140 88.9999999997 26 3 4
150 88.9999999999 26 3 4
160 89.0000000000 26 3 4
170 89.0000000000 26 3 4
180 89.0000000000 26 3 4
190 89.0000000000 26 3 4
200 89.0000000000 26 3 4
210 89.0000000000 26 3 4
219 89.0000000000 26 3 4
