# from_x0 from_x1 to_x0 to_x1 length
-0.0003622914 1.6957949761 0.0011649448 1.6966326369 0.0002488392
0.0025479268 1.6883072318 -0.0003622914 1.6957949761 0.0011476301
-0.0139598333 1.7032496267 -0.0003622914 1.6957949761 0.0022152761
-0.0038322515 1.7118241906 -0.0139598333 1.7032496267 0.0018957044
0.0169680920 1.7037163822 0.0011649448 1.6966326369 0.0024740239
-0.0095645028 1.6824179033 0.0025479268 1.6883072318 0.0019240431
-0.0149077611 1.6848532795 -0.0095645028 1.6824179033 0.0008388703
0.0216482796 1.7101489232 0.0169680920 1.7037163822 0.0011364260
0.0251607335 1.6990735224 0.0169680920 1.7037163822 0.0013452526
0.0221693111 1.6899027271 0.0251607335 1.6990735224 0.0013780502
0.0282399597 1.7104749244 0.0216482796 1.7101489232 0.0009428195
-0.0315524820 1.7073212154 -0.0139598333 1.7032496267 0.0025796659
-0.0128969637 1.6737389976 -0.0095645028 1.6824179033 0.0013281005
-0.0386312658 1.7057285649 -0.0315524820 1.7073212154 0.0010365338
0.0194087484 1.7284855058 0.0216482796 1.7101489232 0.0026389769
-0.0048364368 1.6666943659 -0.0128969637 1.6737389976 0.0015292984
-0.0237745203 1.6714580028 -0.0128969637 1.6737389976 0.0015877347
-0.0339260958 1.7210599778 -0.0315524820 1.7073212154 0.0019917567
-0.0412552981 1.7085928235 -0.0386312658 1.7057285649 0.0005549319
0.0145348075 1.6620126265 -0.0048364368 1.6666943659 0.0028469955
-0.0315042379 1.6680660780 -0.0237745203 1.6714580028 0.0012058843
-0.0442341858 1.6798089580 -0.0315042379 1.6680660780 0.0024741389
-0.0125370228 1.7420063357 -0.0339260958 1.7210599778 0.0042767581
0.0122698211 1.6570570903 0.0145348075 1.6620126265 0.0007783748
0.0042948400 1.6552482289 0.0122698211 1.6570570903 0.0011682212
-0.0547318670 1.6940821900 -0.0442341858 1.6798089580 0.0025311386
0.0283514979 1.6605651455 0.0145348075 1.6620126265 0.0019846150
-0.0535938844 1.7132116900 -0.0412552981 1.7085928235 0.0018821104
-0.0256838740 1.7420434510 -0.0125370228 1.7420063357 0.0018781291
0.0575629701 1.7105740151 0.0282399597 1.7104749244 0.0041890254
0.0177634657 1.7483925150 0.0194087484 1.7284855058 0.0028535548
0.0614704806 1.6948161624 0.0575629701 1.7105740151 0.0023193004
-0.0527833636 1.6695087031 -0.0442341858 1.6798089580 0.0019122787
0.0372495444 1.7442037696 0.0177634657 1.7483925150 0.0028473147
0.0288212552 1.6508559622 0.0283514979 1.6605651455 0.0013886487
-0.0379254129 1.7456059690 -0.0256838740 1.7420434510 0.0018213407
-0.0695663429 1.7005974578 -0.0547318670 1.6940821900 0.0023145961
-0.0667609471 1.7184436546 -0.0535938844 1.7132116900 0.0020240644
0.0515690606 1.6592865333 0.0283514979 1.6605651455 0.0033218205
0.0377881387 1.6475768704 0.0288212552 1.6508559622 0.0013639487
0.0060151301 1.6383739892 0.0042948400 1.6552482289 0.0024231004
0.0431144030 1.6485979742 0.0377881387 1.6475768704 0.0007747514
0.0732988260 1.7175613703 0.0575629701 1.7105740151 0.0024596345
0.0137196926 1.7626320675 0.0177634657 1.7483925150 0.0021146571
0.0681526319 1.6679489248 0.0515690606 1.6592865333 0.0026728104
-0.0741479210 1.7226263659 -0.0667609471 1.7184436546 0.0012127087
-0.0603620378 1.6543287965 -0.0527833636 1.6695087031 0.0024238015
-0.0002799901 1.7677163794 0.0137196926 1.7626320675 0.0021277628
0.0480711007 1.7551857559 0.0372495444 1.7442037696 0.0022025500
-0.0842471323 1.6994504207 -0.0695663429 1.7005974578 0.0021036473
-0.0769037557 1.7284371835 -0.0741479210 1.7226263659 0.0009187417
0.0849295761 1.6852396770 0.0681526319 1.6679489248 0.0034417484
0.0033100792 1.7723407481 -0.0002799901 1.7677163794 0.0008363353
-0.0454086149 1.7622747634 -0.0379254129 1.7456059690 0.0026102116
-0.0809771499 1.6704484811 -0.0603620378 1.6543287965 0.0037384573
-0.0743366785 1.6586175155 -0.0809771499 1.6704484811 0.0019381645
-0.0165996480 1.7730281306 -0.0002799901 1.7677163794 0.0024517629
0.0032935766 1.7743009876 0.0033100792 1.7723407481 0.0002800441
0.0537903630 1.7600346579 0.0480711007 1.7551857559 0.0010711601
-0.0057175371 1.7752767484 0.0032935766 1.7743009876 0.0012948271
0.0628209919 1.6444388875 0.0515690606 1.6592865333 0.0026613582
-2.2085832734 -1.8020194101 -0.0743366785 1.6586175155 0.5808336103
-2.1909845162 -1.8058052396 -2.2085832734 -1.8020194101 0.0025716221
-2.1932083706 -1.7891345681 -2.1909845162 -1.8058052396 0.0024026211
-2.2117784438 -1.8081316546 -2.2085832734 -1.8020194101 0.0009852861
0.0905577150 1.7197328400 0.0732988260 1.7175613703 0.0024849939
0.0740056973 1.7476488407 0.0537903630 1.7600346579 0.0033868540
-2.1912040092 -1.7826446682 -2.1932083706 -1.7891345681 0.0009703383
0.0505623751 1.7658302199 0.0537903630 1.7600346579 0.0009476980
-0.0448471408 1.6304324014 -0.0603620378 1.6543287965 0.0040701746
0.0768591513 1.7493650076 0.0740056973 1.7476488407 0.0004756827
0.0926035021 1.6736544046 0.0849295761 1.6852396770 0.0019851884
-0.0952973043 1.6812867426 -0.0809771499 1.6704484811 0.0025656074
0.0929687618 1.7282346682 0.0905577150 1.7197328400 0.0012624420
-0.0720088752 1.7566168874 -0.0454086149 1.7622747634 0.0038850457
-2.2142992405 -1.7642180712 -2.1912040092 -1.7826446682 0.0042207678
-0.0643133120 1.6360361818 -0.0603620378 1.6543287965 0.0026734993
-0.0306283498 1.6205459261 -0.0448471408 1.6304324014 0.0024740136
0.0399960415 1.6234064905 0.0377881387 1.6475768704 0.0034672877
-2.2208075724 -1.8354673845 -2.2117784438 -1.8081316546 0.0041126170
-2.2062578664 -1.8416141011 -2.2208075724 -1.8354673845 0.0022564016
-0.0977296390 1.7226920992 -0.0769037557 1.7284371835 0.0030862546
-2.1565488207 -1.8008684391 -2.1909845162 -1.8058052396 0.0049696818
-2.2384077325 -1.8220023959 -2.2208075724 -1.8354673845 0.0031657335
-2.2455988404 -1.7977181651 -2.2384077325 -1.8220023959 0.0036180835
-2.2309248896 -1.7666414434 -2.2142992405 -1.7642180712 0.0024001911
-0.0178875133 1.7838981169 -0.0165996480 1.7730281306 0.0015637161
0.0358009777 1.6199593947 0.0399960415 1.6234064905 0.0007756634
-0.0013038758 1.7865049123 -0.0057175371 1.7752767484 0.0017234995
-2.0774453340 -1.9513587674 -2.2062578664 -1.8416141011 0.0241747719
-2.0446647308 -1.6818447114 -2.1565488207 -1.8008684391 0.0233363592
-2.3518320381 -1.9254869116 -2.2384077325 -1.8220023959 0.0219340933
0.2217002240 1.7176710013 0.0929687618 1.7282346682 0.0184520230
-0.2261914803 1.6562631552 -0.0952973043 1.6812867426 0.0190378062
-0.2004130582 1.8102522100 -0.0977296390 1.7226920992 0.0192781242
0.1227487568 1.5272917796 0.0399960415 1.6234064905 0.0181186844
-2.3918822166 -1.6844552929 -2.2309248896 -1.7666414434 0.0258179752
0.1752160242 1.8592082722 0.0768591513 1.7493650076 0.0210633724
-2.2129025956 -1.5550529691 -2.2142992405 -1.7642180712 0.0298813950
0.0013585865 1.9274348144 -0.0013038758 1.7865049123 0.0201364357
-2.2462974678 -2.0699513904 -2.3518320381 -1.9254869116 0.0255580696
-1.9105862588 -1.7704271672 -2.0446647308 -1.6818447114 0.0229568753
-1.9486341805 -1.9627812986 -2.0774453340 -1.9513587674 0.0184738025
-2.1198648176 -2.1007499191 -2.2462974678 -2.0699513904 0.0185899712
-1.9131462909 -1.6431838280 -1.9105862588 -1.7704271672 0.0181812985
0.3137877232 1.8101446773 0.2217002240 1.7176710013 0.0186435349
-2.4920931076 -1.9637157151 -2.3518320381 -1.9254869116 0.0207682101
-2.1097902422 -1.4708735899 -2.2129025956 -1.5550529691 0.0190157428
-1.9852130943 -2.0884178519 -1.9486341805 -1.9627812986 0.0186933146
-2.4078976260 -2.0954381920 -2.4920931076 -1.9637157151 0.0223331409
-0.0840767179 1.3966273611 -0.0306283498 1.6205459261 0.0328870211
-0.3787671176 1.7124453347 -0.2261914803 1.6562631552 0.0232272546
-2.5189609794 -1.6146792215 -2.3918822166 -1.6844552929 0.0207106953
2.1037672520 -1.0050747986 0.1227487568 1.5272917796 0.4593099253
-0.3065810583 1.8957124782 -0.2004130582 1.8102522100 0.0194700721
2.1380654691 -0.8824229316 2.1037672520 -1.0050747986 0.0181938811
-1.9730599969 -1.4794962019 -2.1097902422 -1.4708735899 0.0195716942
2.0122937016 -0.9176338557 2.1037672520 -1.0050747986 0.0180776832
2.0288047903 -1.1158785981 2.1037672520 -1.0050747986 0.0191113027
2.1758337835 -1.1391645345 2.0288047903 -1.1158785981 0.0212659350
-2.3780246288 -1.4317239675 -2.2129025956 -1.5550529691 0.0294422051
0.0805044869 2.0440756356 0.0013585865 1.9274348144 0.0201368556
0.2528881317 1.9845656017 0.1752160242 1.8592082722 0.0210671503
-2.6171636982 -1.8127076425 -2.4920931076 -1.9637157151 0.0280109638
-0.0993925140 2.0488374416 0.0013585865 1.9274348144 0.0225376701
-2.2140735764 -1.3787634850 -2.1097902422 -1.4708735899 0.0198768069
0.3698112245 2.5954370778 0.2528881317 1.9845656017 0.0888515122
-1.7735500551 -1.7732125448 -1.9105862588 -1.7704271672 0.0195806441
2.2701664526 -1.0179076197 2.1758337835 -1.1391645345 0.0219470103
1.9309862390 -1.0333681062 2.0288047903 -1.1158785981 0.0182815008
0.2157027933 1.3816739194 0.1227487568 1.5272917796 0.0246795851
-2.5072013726 -1.4886778629 -2.5189609794 -1.6146792215 0.0180784180
