# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.8951215525 0.6799647092 2.7658508672 1.2597529646 37.0586268693 35.2561671209 35.2561671209 0.8951215525 0.6799647092 0.4296658707 0.4504606664 0.6466639829 0.7110466784 0.7744548398 0.4715378504 0.4394514939 0.3298689752
0.8951215525 0.6799647092 2.7658508672 1.2597529646 37.0586268693 35.2561671209 35.2561671209 0.8951215525 0.6799647092 0.4296658707 0.4504606664 0.6466639829 0.7110466784 0.7744548398 0.4715378504 0.4394514939 0.3298689752
0.8926386562 0.6804446406 2.7484705932 1.2631124839 43.8472658296 35.1567618189 35.1567618189 0.8926386562 0.6804446406 0.4368051390 0.4567285593 0.6466257932 0.6984064616 0.7818015800 0.4555264682 0.4400201292 0.3359470926
0.8977759562 0.6817605549 2.7844316937 1.2723238840 18.9013156719 27.5795578467 18.9013156719 0.8977759562 0.6817605549 0.4441743270 0.4644285721 0.6692199982 0.6831343936 0.7744927958 0.4450025535 0.4613430758 0.3553092070
0.9051322920 0.6618176735 2.8359260442 1.1327237145 16.7669590608 25.1435128311 16.7669590608 0.9051322920 0.6618176735 0.4336393834 0.4709286685 0.6494963695 0.6891511823 0.7722397651 0.4165795626 0.4423261116 0.3802652974
0.8994434654 0.6656593570 2.7961042579 1.1596154992 7.9663055229 22.8179007636 7.9663055229 0.8994434654 0.6656593570 0.4390058224 0.4609171099 0.6674219110 0.7029135635 0.7634327298 0.4180939080 0.4194299249 0.3613066602
0.9143421190 0.6698361449 2.9003948330 1.1888530144 2.8757248645 22.7710997284 2.8757248645 0.9143421190 0.6698361449 0.4509448504 0.4490182479 0.6597994375 0.6753774183 0.7649003145 0.4483421378 0.4391889410 0.3602431849
0.8902568453 0.6704900535 2.7317979173 1.1934303748 5.4239378079 22.5437253208 5.4239378079 0.8902568453 0.6704900535 0.4419950858 0.4603802592 0.6670036819 0.7066201744 0.7605611789 0.4215084266 0.4098466623 0.3729051267
0.8887513833 0.6533605916 2.7212596829 1.0735241414 5.3866091595 21.8230099960 5.3866091595 0.8887513833 0.6533605916 0.4084222775 0.4711182732 0.6489639391 0.6893369591 0.7715818787 0.4370591932 0.4184375912 0.3689283643
0.8849057029 0.6727711519 2.6943399205 1.2093980635 17.9227421253 21.7201109606 17.9227421253 0.8849057029 0.6727711519 0.4404220521 0.4588749384 0.6568239218 0.6832131209 0.7539840867 0.4266416992 0.4322243567 0.3698241529
0.9040558905 0.6610174137 2.8283912335 1.1271218957 9.9687117851 21.4338323808 9.9687117851 0.9040558905 0.6610174137 0.4341893374 0.4836070384 0.6444241836 0.7134243426 0.7907468591 0.4277184065 0.4606396493 0.3528834804
0.8922537789 0.6695493802 2.7457764525 1.1868456611 9.7599314825 20.8292431270 9.7599314825 0.8922537789 0.6695493802 0.4225888455 0.4582558510 0.6528239368 0.6592862336 0.7545842058 0.4153630853 0.4156652372 0.3462875643
0.9021930447 0.6763763049 2.8153513129 1.2346341344 16.7832861283 20.5023593495 16.7832861283 0.9021930447 0.6763763049 0.4385371079 0.4698972631 0.6732868779 0.6728700821 0.7647743367 0.4186802338 0.4329809471 0.3678298578
