# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.7612976358 0.8840843185 1.8290834506 2.6885902296 88.8168752619 82.0879766782 82.0879766782 0.7612976358 0.8840843185 0.2639994479 0.3667257818 0.2781530010 0.7993408100 0.7273292855 0.7680883634 0.7718133462 0.5732123320
0.7612976358 0.8840843185 1.8290834506 2.6885902296 88.8168752619 82.0879766782 82.0879766782 0.7612976358 0.8840843185 0.2639994479 0.3667257818 0.2781530010 0.7993408100 0.7273292855 0.7680883634 0.7718133462 0.5732123320
0.7627769617 0.8850741794 1.8394387320 2.6955192559 87.6330761284 82.2049698993 82.2049698993 0.7627769617 0.8850741794 0.2615903465 0.3681569467 0.2747018956 0.7956785500 0.7278386852 0.7676758349 0.7738546655 0.5674081509
0.7597399631 0.8841228340 1.8181797420 2.6888598382 87.4601557666 83.3210483868 83.3210483868 0.7597399631 0.8841228340 0.2627281318 0.3703855895 0.2809794910 0.8041893431 0.7207105617 0.7699076265 0.7723104367 0.5677476290
0.7653228575 0.8802716090 1.8572600022 2.6619012630 87.2011709144 75.5161380753 75.5161380753 0.7653228575 0.8802716090 0.2590448577 0.3755613431 0.2779275586 0.8037852891 0.7270302568 0.7636925242 0.7700304237 0.5697706284
0.7653228575 0.8802716090 1.8572600022 2.6619012630 87.1169317568 75.6489698331 75.6489698331 0.7653228575 0.8802716090 0.2590448577 0.3755613431 0.2779275586 0.8037852891 0.7270302568 0.7642943158 0.7700304237 0.5697706284
0.7610804339 0.8756633798 1.8275630372 2.6296436583 87.0474174357 81.3848384150 81.3848384150 0.7610804339 0.8756633798 0.2621449148 0.3717644398 0.2856027283 0.8030594640 0.7229651388 0.7677884335 0.7667540895 0.5729938510
0.7617833760 0.8782936245 1.8324836318 2.6480553717 86.9881511640 82.7479391357 82.7479391357 0.7617833760 0.8782936245 0.2634283764 0.3667228149 0.2802338332 0.8042668357 0.7270326114 0.7692043299 0.7684839632 0.5692182655
0.7605004066 0.8822002105 1.8235028463 2.6754014735 86.7760573270 80.8047166523 80.8047166523 0.7605004066 0.8822002105 0.2630654693 0.3686340606 0.2767265255 0.7988912142 0.7264282701 0.7762910110 0.7693589921 0.5693651413
0.7645265973 0.8854453653 1.8516861813 2.6981175568 86.7610774918 82.1936384828 82.1936384828 0.7645265973 0.8854453653 0.2619351786 0.3650210551 0.2781530010 0.8032628897 0.7273292855 0.7649791259 0.7706527866 0.5749000315
0.7618029879 0.8853148621 1.8326209156 2.6972040350 86.4543444911 86.1373622269 86.1373622269 0.7618029879 0.8853148621 0.2608880881 0.3680600074 0.2753208967 0.8022632386 0.7275463637 0.7640927620 0.7695742694 0.5777686311
0.7634605490 0.8786693869 1.8442238433 2.6506857086 86.1436907875 81.0888748483 81.0888748483 0.7634605490 0.8786693869 0.2616456888 0.3719621155 0.2798418628 0.7922813357 0.7279034773 0.7671196616 0.7683946355 0.5679978563
0.7627623808 0.8777761925 1.8393366654 2.6444333477 85.8636648623 84.7984020929 84.7984020929 0.7627623808 0.8777761925 0.2605171383 0.3742943468 0.2751728991 0.7977297172 0.7301935999 0.7671341765 0.7694722136 0.5705546053
0.7638343249 0.8765307489 1.8468402745 2.6357152421 85.8168308264 81.4037457279 81.4037457279 0.7638343249 0.8765307489 0.2630280227 0.3718104117 0.2762706613 0.7957432200 0.7269409824 0.7659519782 0.7704120600 0.5689290404
0.7605004066 0.8808456098 1.8235028463 2.6659192689 85.6975527204 81.5344378285 81.5344378285 0.7605004066 0.8808456098 0.2630654693 0.3707040453 0.2800816591 0.7988912142 0.7226520868 0.7759082287 0.7693589921 0.5694003043
0.7633900299 0.8773783719 1.8437302093 2.6416486032 85.5466366777 81.8358902485 81.8358902485 0.7633900299 0.8773783719 0.2619874367 0.3712501563 0.2777487017 0.7971680473 0.7266464998 0.7709108264 0.7706523392 0.5614295496
0.7647608130 0.8808832790 1.8533256908 2.6661829529 85.4736357065 84.0177154456 84.0177154456 0.7647608130 0.8808832790 0.2602040614 0.3694389590 0.2848393682 0.7989839568 0.7295419044 0.7579528583 0.7696831483 0.5612485301
