# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.3581489408 0.6745592078 -0.9929574142 1.2219144547 0.0000000000 0.0000000364 0.0000000000 0.3581489408 0.6745592078 0.3150051337 0.1812869803 0.1710118313 0.9927651043 0.4460176105 0.6031591176 0.6699319359 0.7442269628
0.3046679554 0.8456356734 -1.3673243122 2.4194497137 0.0000000000 0.0000000064 0.0000000000 0.3046679554 0.8456356734 0.3734758746 0.9151446299 0.9524420450 0.1291137179 0.1038941637 0.6318019601 0.8032377946 0.1420997825
0.3123102090 0.0032202791 -1.3138285371 -3.4774580465 0.0000000000 0.0000000287 0.0000000000 0.3123102090 0.0032202791 0.1323613917 0.9614303936 0.2769863973 0.0836598583 0.7805715161 0.0345104484 0.5077917683 0.1137523929
0.6350104840 0.8228464831 0.9450733880 2.2599253814 0.0000000000 0.0000000000 0.0000000000 0.6350104840 0.8228464831 0.7162194438 0.4660188395 0.8871814024 0.8929967771 0.2391208729 0.8030081583 0.9663902783 0.9704186236
0.8939224153 0.7414717982 2.7574569074 1.6903025872 0.0000000000 0.0000066786 0.0000000000 0.8939224153 0.7414717982 0.0912109195 0.4698583084 0.5627761653 0.5425715611 0.6773164259 0.9706561297 0.6818497050 0.7338830534
0.5998647550 0.1420912016 0.6990532848 -2.5053615891 0.0000000000 0.0000000000 0.0000000000 0.5998647550 0.1420912016 0.8559253738 0.6620216413 0.7410956248 0.0289161271 0.9895717005 0.5788296349 0.2791671606 0.3318639914
0.6608090951 0.0139378234 1.1256636655 -3.4024352359 0.0000000000 0.0000000000 0.0000000000 0.6608090951 0.0139378234 0.6315717270 0.8102945659 0.2140229047 0.0228854053 0.5005635099 0.5262439905 0.7656635161 0.3234095850
0.5354817294 0.9377318924 0.2483721058 3.0641232465 0.0000000000 0.0000066786 0.0000000000 0.5354817294 0.9377318924 0.3327549671 0.0832320361 0.0290457096 0.3220640393 0.4993125834 0.0787705958 0.0814601469 0.9255936604
0.6667608429 0.8041754650 1.1673259005 2.1292282551 0.0000000000 0.0000000006 0.0000000000 0.6667608429 0.8041754650 0.9844290212 0.0252249730 0.9074804133 0.8226044093 0.6307592551 0.4871237200 0.9982896088 0.6924443096
0.3263425981 0.2264396728 -1.2156018131 -1.9149222907 0.0000000000 0.0000000129 0.0000000000 0.3263425981 0.2264396728 0.3677609897 0.9445796031 0.8896702865 0.9429138294 0.5223521168 0.8190917389 0.3640887219 0.6915724050
0.7399971352 0.5406221128 1.6799799461 0.2843547896 0.0000000000 0.0000000000 0.0000000000 0.7399971352 0.5406221128 0.7663668875 0.6531421894 0.4696414547 0.0784842257 0.3171721238 0.8059779050 0.5452748409 0.1548903549
0.1305154961 0.6258211681 -2.5863915273 0.8807481770 0.0000000000 0.0000000000 0.0000000000 0.1305154961 0.6258211681 0.7520857767 0.5707363086 0.3494902255 0.8127289812 0.9747047780 0.3942368609 0.6336063568 0.5859522463
0.8070649358 0.9867685531 2.1494545503 3.4073798715 0.0000000000 0.0000000000 0.0000000000 0.8070649358 0.9867685531 0.5060233406 0.3218148036 0.0212276294 0.8633732685 0.2281983561 0.3266806253 0.0273943513 0.8694590345
0.4101604292 0.1582004954 -0.6288769958 -2.3925965319 0.0000000000 0.0000000000 0.0000000000 0.4101604292 0.1582004954 0.8654198856 0.2826654206 0.5638704895 0.7963713666 0.0323589748 0.5014658677 0.9315895583 0.8508160844
0.7285927117 0.4772002219 1.6001489821 -0.1595984470 0.0000000261 0.0000066786 0.0000000261 0.7285927117 0.4772002219 0.1574942680 0.3865508136 0.1607820571 0.4410607970 0.6756880607 0.2233863829 0.7384724465 0.4352687141
0.8562532715 0.1227434264 2.4937729008 -2.6407960151 0.0000000000 0.0000000000 0.0000000000 0.8562532715 0.1227434264 0.5979707253 0.9940464672 0.2355674779 0.0875704158 0.4822948754 0.4984018428 0.6623600894 0.6645918848
0.6269253077 0.5180169039 0.8884771536 0.1261183276 0.0000000000 0.0000000000 0.0000000000 0.6269253077 0.5180169039 0.9776967717 0.8598704484 0.2310723754 0.7912769883 0.1246139343 0.2687699376 0.5200786247 0.6474187060
0.1408604676 0.9375737417 -2.5139767267 3.0630161918 0.0000004261 0.0000000064 0.0000000064 0.1408604676 0.9375737417 0.1906772262 0.4940163331 0.8013237285 0.6422188481 0.2927852576 0.0764729531 0.4033096574 0.7351636816
0.3474407386 0.0694978474 -1.0679148298 -3.0135150683 0.0000000000 0.0000000000 0.0000000000 0.3474407386 0.0694978474 0.7739982201 0.3485746024 0.6517153444 0.0374165611 0.7537469633 0.4850336899 0.3914285798 0.7370465142
