# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.8799633299 0.7942755179 2.6597433096 2.0599286250 0.0316138851 0.0262664840 0.0262664840 0.8799633299 0.7942755179 0.7385812000 0.9462169282 0.2244225384 0.6464084732 0.1046186365 0.8723358019 0.5026776620 0.9563486902
0.8630562527 0.0700162178 2.5413937692 -3.0098864754 0.0294766022 0.0364180652 0.0294766022 0.8630562527 0.0700162178 0.4648994793 0.3573240726 0.1465693771 0.2907066149 0.2378191489 0.2202208005 0.2335079832 0.5315797401
0.9077181875 0.3591496708 2.8540273122 -0.9859523041 0.0294766022 0.0266945764 0.0266945764 0.9077181875 0.3591496708 0.8688902773 0.0383171250 0.2544791587 0.8240631113 0.2118845647 0.0266757061 0.3441300729 0.2642768718
0.7914405984 0.4115877103 2.0400841886 -0.6188860281 0.0294766022 0.0364180652 0.0294766022 0.7914405984 0.4115877103 0.8545321810 0.2267815362 0.7425036615 0.0280636698 0.0002320636 0.0549025981 0.3472461752 0.6242127825
0.9189812362 0.2298122523 2.9328686536 -1.8913142339 0.0364180652 0.0322088425 0.0322088425 0.9189812362 0.2298122523 0.0704719461 0.7844951462 0.5441859310 0.8100630000 0.4885299725 0.7573452062 0.3105201209 0.9932795651
0.9500172785 0.9973126821 3.1501209498 3.4811887744 0.0304552947 0.0251899490 0.0251899490 0.9500172785 0.9973126821 0.3732805535 0.1025382000 0.9953349049 0.3270796241 0.2108309522 0.6540085908 0.3918956468 0.7096998282
0.2097770508 0.6267481916 -2.0315606445 0.8872373414 0.0307263973 0.0285741068 0.0285741068 0.2097770508 0.6267481916 0.2096389088 0.7335370689 0.0071048023 0.3644567417 0.0307569518 0.5207806755 0.0087575804 0.7426022113
0.4851672554 0.5526004808 -0.1038292123 0.3682033655 0.0304552947 0.0329773134 0.0304552947 0.4851672554 0.5526004808 0.7633657952 0.0930965986 0.7479365945 0.4003756107 0.3215806491 0.9468998573 0.8806035246 0.7747729640
0.5138117334 0.2708120566 0.0966821336 -1.6043156039 0.0295321872 0.0309472949 0.0295321872 0.5138117334 0.2708120566 0.0480571711 0.6250740920 0.8220107352 0.9013467724 0.1267942822 0.2500411327 0.9919389436 0.8483185082
0.9778987158 0.6014369293 3.3452910105 0.7100585054 0.0304552947 0.0251899490 0.0251899490 0.9778987158 0.6014369293 0.2029436774 0.1674139416 0.0003763141 0.3599862497 0.1681481161 0.0625772424 0.6342968612 0.4108959895
0.0882918092 0.0881454511 -2.8819573353 -2.8829818425 0.0281032215 0.0310263678 0.0281032215 0.0882918092 0.0881454511 0.7763994416 0.2616400332 0.6710487057 0.4851816042 0.0269614183 0.7150328374 0.1826704658 0.6539475433
0.9246905248 0.9073984219 2.9728336738 2.8517889535 0.0316138851 0.0262664840 0.0262664840 0.9246905248 0.9073984219 0.9202158755 0.6938609420 0.3138292563 0.2176078405 0.8970188241 0.8772073503 0.6173514846 0.3498581198
0.5045530951 0.4973181830 0.0318716655 -0.0187727193 0.0304552947 0.0329773134 0.0304552947 0.5045530951 0.4973181830 0.5223490419 0.4133410473 0.2560480819 0.4849141669 0.7862800812 0.5530955743 0.9433592397 0.0111658379
0.3017889868 0.4100732568 -1.3874770926 -0.6294872024 0.0281032215 0.0285741068 0.0281032215 0.3017889868 0.4100732568 0.3842800636 0.6615666851 0.1214539492 0.9185038152 0.7448405562 0.4902799533 0.1846658385 0.3965625033
