# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.1380769476 0.5994061765 -2.5334613667 0.6958432354 0.0000000045 0.0000000045 0.0000000045 0.1380769476 0.5994061765 0.4600040715 0.4291037595 0.7568869760 0.3372789480 0.2497206112 0.0666639328 0.2527982299 0.3422319248
0.4314761028 0.2239108339 -0.4796672807 -1.9326241624 0.0000000049 0.0000000049 0.0000000049 0.4314761028 0.2239108339 0.7319445053 0.8599487671 0.9170894438 0.1220358878 0.6267929417 0.9626126571 0.1175371822 0.5037554790
0.4156889736 0.4511573747 -0.5901771846 -0.3418983768 0.0000000045 0.0000000047 0.0000000045 0.4156889736 0.4511573747 0.0663401813 0.5465433453 0.7930458459 0.3416151385 0.3970327055 0.5236824841 0.2774888295 0.8160614171
0.0914585979 0.5268352815 -2.8597898145 0.1878469707 0.0000000045 0.0000000045 0.0000000045 0.0914585979 0.5268352815 0.9900769305 0.7948632084 0.6342535287 0.4915335474 0.2896697715 0.8319452828 0.1067602770 0.4240789074
0.0223722030 0.5032082063 -3.3433945791 0.0224574440 0.0000000038 0.0000000045 0.0000000038 0.0223722030 0.5032082063 0.8002856363 0.0058229008 0.5685599400 0.9669823013 0.1874408956 0.6873111805 0.5546136674 0.4741487358
0.3481027393 0.2226858865 -1.0632808250 -1.9411987944 0.0000000040 0.0000000160 0.0000000040 0.3481027393 0.2226858865 0.7435972516 0.3981871581 0.9611205533 0.4288303825 0.6212515656 0.1772628336 0.7247890956 0.5270177411
0.5495362429 0.7726196511 0.3467537001 1.9083375576 0.0000000049 0.0000118284 0.0000000049 0.5495362429 0.7726196511 0.9614283788 0.2159517204 0.6172178433 0.5642570215 0.2236534406 0.2279656507 0.5843990600 0.9485891535
0.1147647521 0.8036772722 -2.6966467353 2.1257409057 0.0000008559 0.0000000045 0.0000000045 0.1147647521 0.8036772722 0.4562506365 0.3287503767 0.5482443752 0.8500755356 0.4179185423 0.8066443482 0.0149635888 0.9608608952
0.8055807756 0.5599814729 2.1390654294 0.4198703106 0.0000000040 0.0000118284 0.0000000040 0.8055807756 0.5599814729 0.5538223565 0.4053774818 0.0554040090 0.4735783538 0.9151169409 0.4109428399 0.9941225287 0.9086986771
0.5913653606 0.0841251663 0.6395575243 -2.9111238358 0.0000000049 0.0000000049 0.0000000049 0.5913653606 0.0841251663 0.7404072298 0.9733880201 0.3400649644 0.4191904551 0.5959206270 0.6679831504 0.5125768302 0.1437582248
0.4978931479 0.4004340230 -0.0147479646 -0.6969618390 0.0000000040 0.0000000049 0.0000000040 0.4978931479 0.4004340230 0.8572576118 0.4787093442 0.8963634733 0.5550427284 0.0624691954 0.7338044138 0.1760306808 0.8080359701
0.8247725588 0.0454407297 2.2734079114 -3.1819148920 0.0000000045 0.0000000049 0.0000000045 0.8247725588 0.0454407297 0.2306173896 0.5573257082 0.4880995175 0.7307005450 0.8347212471 0.3968716482 0.4857149663 0.5740641386
0.3188730633 0.9459662642 -1.2678885571 3.1217638496 0.0000000043 0.0000118284 0.0000000043 0.3188730633 0.9459662642 0.7048870889 0.0551741472 0.4841918071 0.3515579784 0.8293111901 0.2419773669 0.1466215015 0.3522589325
0.7835789896 0.6740970669 1.9850529271 1.2186794683 0.0000000043 0.0000118284 0.0000000043 0.7835789896 0.6740970669 0.8932246449 0.0342288378 0.8728173208 0.0137152817 0.0214798675 0.2648997260 0.9930248226 0.8259995695
0.9979189320 0.5002314435 3.4854325240 0.0016201048 0.0000000040 0.0000118284 0.0000000040 0.9979189320 0.5002314435 0.4862818679 0.1802910839 0.4275486961 0.1128574586 0.4540024269 0.7413405213 0.3720863305 0.5450300713
0.3239256429 0.9902224553 -1.2325204998 3.4315571873 0.0000000049 0.0000118284 0.0000000049 0.3239256429 0.9902224553 0.9716545293 0.3263555994 0.9323963628 0.1327769346 0.2871211353 0.2828092287 0.0438617812 0.8002814143
0.8401029913 0.4124337043 2.3807209388 -0.6129640701 0.0000000040 0.0000118284 0.0000000040 0.8401029913 0.4124337043 0.9839360659 0.3271252535 0.1635296733 0.5225535781 0.6302383567 0.9275826247 0.2627620651 0.1409318246
0.9501608526 0.4067667891 3.1511259685 -0.6526324761 0.0000000049 0.0000000049 0.0000000049 0.9501608526 0.4067667891 0.6634953198 0.8049672801 0.5827012218 0.6677062213 0.5825302088 0.9665560853 0.3552469438 0.8254790364
0.2167085629 0.0836928090 -1.9830400595 -2.9141503371 0.0000000045 0.0004903912 0.0000000045 0.2167085629 0.0836928090 0.7720349333 0.4619076891 0.2141421744 0.7310364324 0.9754563827 0.2572203932 0.3915760505 0.3063628181
0.2723354199 0.5196597237 -1.5936520607 0.1376180656 0.0000000049 0.0000000049 0.0000000049 0.2723354199 0.5196597237 0.3822810810 0.7268108415 0.4432038046 0.5100965194 0.9287488378 0.0499781726 0.9616392454 0.3485726580
0.1224118290 0.4666881404 -2.6431171970 -0.2331830169 0.0000000038 0.0000000045 0.0000000038 0.1224118290 0.4666881404 0.6053745516 0.0165179438 0.9175659568 0.9636920833 0.2468838459 0.4637765436 0.8222207365 0.0215945128
0.8756538787 0.1271726895 2.6295771506 -2.6097911738 0.0000000049 0.0000000049 0.0000000049 0.8756538787 0.1271726895 0.5848347521 0.8902218612 0.5449891117 0.6028438992 0.0227099552 0.7223985081 0.4124316523 0.9622772578
0.4876473309 0.8609295547 -0.0864686839 2.5265068832 0.0000957546 0.0000000047 0.0000000047 0.4876473309 0.8609295547 0.0866810824 0.4183711138 0.3266106966 0.4976633062 0.5628204664 0.6024028415 0.3940686870 0.3595054622
0.9118649191 0.1274505091 2.8830544338 -2.6078464360 0.0000000040 0.0000000160 0.0000000040 0.9118649191 0.1274505091 0.3155576578 0.2881998244 0.1232312022 0.7119229520 0.4073636614 0.9287859567 0.4874153057 0.3424200594
0.0182406980 0.7590588647 -3.3723151143 1.8134120530 0.0000008559 0.0000000045 0.0000000045 0.0182406980 0.7590588647 0.4062290895 0.1875892997 0.2787847297 0.4782140070 0.3142189756 0.7272930470 0.1788608380 0.5413441215
0.8102827354 0.1344947807 2.1719791476 -2.5585365351 0.0000000049 0.0000000049 0.0000000049 0.8102827354 0.1344947807 0.2895460905 0.9522330410 0.5845394306 0.9463180302 0.1886834362 0.6285051190 0.4578861860 0.2778269812
