# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.7207083045 0.7703387720 1.5449581316 1.8923714040 0.0000957546 0.0003305693 0.0000957546 0.7207083045 0.7703387720 0.3788058891 0.1237110751 0.4092498068 0.5481414427 0.1308202985 0.4476942443 0.3987390172 0.3702736566
0.6590849122 0.7636071390 1.1135943856 1.8452499728 0.0000957546 0.0000598807 0.0000598807 0.6590849122 0.7636071390 0.3972627287 0.1266768525 0.4060048368 0.5449997500 0.1025460190 0.4431643775 0.4079372045 0.3782832943
0.6446148075 0.7746134935 1.0123036525 1.9222944548 0.0000957546 0.0000141265 0.0000141265 0.6446148075 0.7746134935 0.3661812049 0.1011889036 0.3514611792 0.5858981417 0.0724761527 0.5040246647 0.4727992364 0.3547474392
0.5001746849 0.8749482681 0.0012227940 2.6246378764 0.0000957546 0.0000121820 0.0000121820 0.5001746849 0.8749482681 0.3618309427 0.1222875213 0.3878003185 0.5422632998 0.0000000000 0.6053566981 0.3390469881 0.0000000000
0.3279191401 0.7222822490 -1.2045660194 1.5559757428 0.0000957546 0.0000119122 0.0000119122 0.3279191401 0.7222822490 0.3559738645 0.0527613720 0.4620426221 0.1006736337 0.0000000000 0.4913000431 0.2797259524 0.1260213522
0.9892203702 0.6916242612 3.4245425916 1.3413698285 0.0000957546 0.0000118284 0.0000118284 0.9892203702 0.6916242612 0.3964879505 0.2029553136 0.8043393136 0.8671274747 0.4995731338 0.8256176339 0.7440499519 0.5604548636
0.3695514044 0.8761361045 -0.9131401693 2.6329527313 0.0000957546 0.0000118284 0.0000118284 0.3695514044 0.8761361045 0.3551365004 0.1828964436 0.5386960155 0.0034390887 0.2003666000 0.4026233776 0.7254074015 0.6206172490
0.4035871254 0.8618714303 -0.6748901219 2.5331000120 0.0000957546 0.0000118284 0.0000118284 0.4035871254 0.8618714303 0.3696918986 0.0689474710 0.0510024641 0.8748581920 0.1210100589 0.1633656570 0.4698906335 1.0000000000
0.5621298636 0.8076232571 0.4349090449 2.1533627995 0.0000957546 0.0000118284 0.0000118284 0.5621298636 0.8076232571 0.3565057517 0.0639156113 0.2698524666 0.0000000000 0.0000000000 0.7649931989 0.6159058810 1.0000000000
0.4035871254 0.8618714303 -0.6748901219 2.5331000120 0.0000957546 0.0000118284 0.0000118284 0.4035871254 0.8618714303 0.3696918986 0.0689474710 0.0510024641 0.8748581920 0.1210100589 0.1633656570 0.4698906335 1.0000000000
0.9183292449 0.7725152691 2.9283047140 1.9076068838 0.0000957546 0.0000118284 0.0000118284 0.9183292449 0.7725152691 0.3801285035 0.1864265159 0.3878003185 0.0754485916 0.7147925974 0.6053566981 0.2385530055 0.0000000000
0.3695514044 0.8761361045 -0.9131401693 2.6329527313 0.0000957546 0.0000118284 0.0000118284 0.3695514044 0.8761361045 0.3551365004 0.1828964436 0.5386960155 0.0034390887 0.2003666000 0.4026233776 0.7254074015 0.6206172490
0.7105668762 0.8477521474 1.4739681331 2.4342650320 0.0000957546 0.0000118284 0.0000118284 0.7105668762 0.8477521474 0.3677174668 0.0010137298 0.4349575767 0.0075991365 0.0295704233 0.7789924100 0.4343126414 0.7396938905
0.8731588836 0.9891724544 2.6121121849 3.4242071808 0.0000957546 0.0000118284 0.0000118284 0.8731588836 0.9891724544 0.3696344452 0.2545163191 0.2663624443 0.0000000000 0.1338601312 0.9804747413 0.3737408503 0.5424268604
0.9892203702 0.6916242612 3.4245425916 1.3413698285 0.0000957546 0.0000118284 0.0000118284 0.9892203702 0.6916242612 0.3964879505 0.2029553136 0.8043393136 0.8671274747 0.4995731338 0.8256176339 0.7440499519 0.5604548636
