# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.3677462983 0.0993760911 -0.9257759116 -2.8043673626 61.9216948959 64.1513804530 61.9216948959 0.3677462983 0.0993760911 0.8163856205 0.6633948801 0.8227238597 0.5609829118 0.2618136037 0.7546623325 0.5236325081 0.3390352048
0.3677462983 0.0993760911 -0.9257759116 -2.8043673626 61.9216948959 64.1513804530 61.9216948959 0.3677462983 0.0993760911 0.8163856205 0.6633948801 0.8227238597 0.5609829118 0.2618136037 0.7546623325 0.5236325081 0.3390352048
0.3677462983 0.0993760911 -0.9257759116 -2.8043673626 61.9216948959 64.1513804530 61.9216948959 0.3677462983 0.0993760911 0.8163856205 0.6633948801 0.8227238597 0.5609829118 0.2618136037 0.7546623325 0.5236325081 0.3390352048
0.3785926072 0.0908809302 -0.8498517498 -2.8638334883 56.5558779556 61.3170103155 56.5558779556 0.3785926072 0.0908809302 0.8026698333 0.6647906384 0.8266970935 0.5553969828 0.2534092152 0.7437159777 0.5320986407 0.3490822807
0.3745630525 0.0922448998 -0.8780586324 -2.8542857015 59.4587448099 55.0233150278 55.0233150278 0.3745630525 0.0922448998 0.8059568748 0.6691800160 0.8157310918 0.5567134362 0.2666551046 0.7451365847 0.5116470683 0.3486304243
0.3745630525 0.0922448998 -0.8780586324 -2.8542857015 59.4587448099 55.0233150278 55.0233150278 0.3745630525 0.0922448998 0.8059568748 0.6691800160 0.8157310918 0.5567134362 0.2666551046 0.7451365847 0.5116470683 0.3486304243
0.3745630525 0.0922448998 -0.8780586324 -2.8542857015 59.4587448099 55.0233150278 55.0233150278 0.3745630525 0.0922448998 0.8059568748 0.6691800160 0.8157310918 0.5567134362 0.2666551046 0.7451365847 0.5116470683 0.3486304243
0.3675310189 0.0926817632 -0.9272828675 -2.8512276573 59.1953786876 51.6494937724 51.6494937724 0.3675310189 0.0926817632 0.8162472465 0.6627129098 0.8150306151 0.5775829887 0.2534311589 0.7489933831 0.5319852027 0.3356525207
0.3748557164 0.0878937409 -0.8760099852 -2.8847438140 49.4434508935 56.0260161059 49.4434508935 0.3748557164 0.0878937409 0.8088408581 0.6668004833 0.8182277777 0.5477487900 0.2674006818 0.7424452267 0.5230711693 0.3425697241
0.3726243323 0.0892749327 -0.8916296736 -2.8750754714 55.2262329512 49.1541093377 49.1541093377 0.3726243323 0.0892749327 0.8067570984 0.6791214220 0.8384656300 0.5502923762 0.2547282206 0.7432480713 0.5342117013 0.3385193177
0.3726243323 0.0892749327 -0.8916296736 -2.8750754714 55.2262329512 49.1541093377 49.1541093377 0.3726243323 0.0892749327 0.8067570984 0.6791214220 0.8384656300 0.5502923762 0.2547282206 0.7432480713 0.5342117013 0.3385193177
0.3726243323 0.0892749327 -0.8916296736 -2.8750754714 55.2262329512 49.1541093377 49.1541093377 0.3726243323 0.0892749327 0.8067570984 0.6791214220 0.8384656300 0.5502923762 0.2547282206 0.7432480713 0.5342117013 0.3385193177
0.3726243323 0.0892749327 -0.8916296736 -2.8750754714 55.2262329512 49.1541093377 49.1541093377 0.3726243323 0.0892749327 0.8067570984 0.6791214220 0.8384656300 0.5502923762 0.2547282206 0.7432480713 0.5342117013 0.3385193177
0.3726243323 0.0892749327 -0.8916296736 -2.8750754714 55.2262329512 49.1541093377 49.1541093377 0.3726243323 0.0892749327 0.8067570984 0.6791214220 0.8384656300 0.5502923762 0.2547282206 0.7432480713 0.5342117013 0.3385193177
0.3726243323 0.0892749327 -0.8916296736 -2.8750754714 55.2262329512 49.1541093377 49.1541093377 0.3726243323 0.0892749327 0.8067570984 0.6791214220 0.8384656300 0.5502923762 0.2547282206 0.7432480713 0.5342117013 0.3385193177
