# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.2727482736 0.1058781296 -1.5907620846 -2.7588530928 0.0000000000 0.1258668862 0.0000000000 0.2727482736 0.1058781296 0.6395675318 0.3753618193 0.3434540692 0.9244809920 0.9806957046 0.0732749846 0.3578597354 0.7048832281
0.9888875157 0.4536728130 3.4222126102 -0.3242903088 0.0000000000 0.0000000000 0.0000000000 0.9888875157 0.4536728130 0.5087388263 0.5855390926 0.9060009228 0.5135621194 0.3354208080 0.3732737816 0.1478147879 0.9517341925
0.6599137686 0.4916803327 1.1193963805 -0.0582376714 0.0147551767 0.0000000000 0.0000000000 0.6599137686 0.4916803327 0.3638089076 0.1558142759 0.0878775924 0.9127463622 0.9081435640 0.3137983894 0.5960677109 0.8362478642
0.1783732365 0.6149213799 -2.2513873442 0.8044496590 0.0147551767 0.1258668862 0.0147551767 0.1783732365 0.6149213799 0.2559099060 0.5352521424 0.2387856066 0.3417514168 0.3231608069 0.8564292877 0.6343811948 0.3953752177
0.7551744868 0.0589161778 1.7862214077 -3.0875867555 0.0000000000 0.0000000000 0.0000000000 0.7551744868 0.0589161778 0.1566712047 0.3713781468 0.6025613126 0.4818330894 0.6772039842 0.8417101308 0.6857334091 0.6824275215
0.2324664222 0.8544087842 -1.8727350444 2.4808614897 0.0147551767 0.0000000000 0.0000000000 0.2324664222 0.8544087842 0.8265851507 0.3747930051 0.8177010123 0.1095323158 0.8929706343 0.9391706149 0.8247084445 0.3796099641
0.2093109450 0.5676128061 -2.0348233851 0.4732896430 0.0147551767 0.1258668862 0.0147551767 0.2093109450 0.5676128061 0.5018546939 0.2256764181 0.4765073344 0.9185057668 0.0873076457 0.3194847021 0.1758971262 0.6799869683
0.3402779321 0.4718933350 -1.1180544750 -0.1967466553 0.0147551767 0.1258668862 0.0147551767 0.3402779321 0.4718933350 0.2681102463 0.5097096474 0.5702222928 0.7985387807 0.3396179785 0.0433355569 0.9858493354 0.0144627185
0.6609161235 0.1876772536 1.1264128643 -2.1862592250 0.0000000000 0.9612696316 0.0000000000 0.6609161235 0.1876772536 0.6997832521 0.8528557563 0.9062577307 0.2154054633 0.2293330131 0.4074865807 0.4405330095 0.9045315458
0.5262546087 0.9923864738 0.1837822607 3.4467053168 0.0147551767 0.8249847511 0.0147551767 0.5262546087 0.9923864738 0.7199093185 0.4562854814 0.2939128144 0.5688676537 0.6350252201 0.8935203038 0.8309252425 0.5626191151
0.2376404420 0.5202318171 -1.8365169062 0.1416227197 0.0147551767 0.1258668862 0.0147551767 0.2376404420 0.5202318171 0.5753758089 0.7014366056 0.4643066364 0.0993224185 0.4960292735 0.4890653249 0.3547335232 0.9902084031
0.1984023536 0.9938456596 -2.1111835251 3.4569196174 0.0147551767 0.0000000000 0.0000000000 0.1984023536 0.9938456596 0.1888909490 0.3994981931 0.4507068564 0.7884387952 0.4600247922 0.7440172696 0.2878123277 0.5285662933
0.2918333068 0.4060060290 -1.4571668522 -0.6579577967 0.0000000000 0.1258668862 0.0000000000 0.2918333068 0.4060060290 0.4568807983 0.3381648280 0.0510008917 0.8357984348 0.6080820561 0.9737634407 0.6507510479 0.6773236904
0.7555912627 0.0537732490 1.7891388390 -3.1235872569 0.5938955595 0.0000000000 0.0000000000 0.7555912627 0.0537732490 0.0047324421 0.3116023065 0.1366889661 0.7175088348 0.6210293527 0.0835757698 0.6189917859 0.9182642972
0.7514328225 0.7712238058 1.7600297573 1.8985666407 0.0147551767 0.0000000000 0.0000000000 0.7514328225 0.7712238058 0.1876925755 0.5573905544 0.5755819727 0.1001524243 0.0477885826 0.0018700641 0.3925655117 0.1245657046
0.0849778059 0.0753500850 -2.9051553588 -2.9725494048 0.0000000000 0.1258668862 0.0000000000 0.0849778059 0.0753500850 0.4210547214 0.7459557118 0.2604395731 0.3175348971 0.8976101538 0.6975196015 0.2938038237 0.0292252083
0.3368461349 0.9402366017 -1.1420770556 3.0816562119 0.0147551767 0.0000000000 0.0000000000 0.3368461349 0.9402366017 0.0748019736 0.5449576047 0.3309442173 0.0743649398 0.2208769673 0.3292661582 0.7035534419 0.4630136209
0.2332904522 0.7425051242 -1.8669668344 1.6975358696 0.0147551767 0.0000000000 0.0000000000 0.2332904522 0.7425051242 0.7651553649 0.4153241474 0.5063149793 0.9716500543 0.5590515209 0.4398179617 0.5854000566 0.3070604046
0.7118741784 0.1138875026 1.4831192491 -2.7027874821 0.0000000000 0.9612696316 0.0000000000 0.7118741784 0.1138875026 0.9653435129 0.6265256161 0.1257886810 0.3924915815 0.3263323008 0.8840294868 0.6434855857 0.4399388840
0.4467999465 0.1713641038 -0.3724003745 -2.3004512731 0.5938955595 0.0000000000 0.0000000000 0.4467999465 0.1713641038 0.0195012795 0.6159507854 0.9894958715 0.5668209319 0.4256343734 0.6439321119 0.2887090257 0.3769786328
0.0372478528 0.2075798686 -3.2392650307 -2.0469409198 0.0000000000 0.1258668862 0.0000000000 0.0372478528 0.2075798686 0.2483700128 0.1548135759 0.7895304151 0.6927867902 0.5634291755 0.4622447480 0.4413450859 0.2655195563
0.9111190388 0.6102827465 2.8778332718 0.7719792254 0.4582931659 0.0000000000 0.0000000000 0.9111190388 0.6102827465 0.2896844961 0.1528599768 0.2091320939 0.2715884947 0.7720835987 0.0172579432 0.3525354889 0.9313972776
0.3834593066 0.6163920541 -0.8157848535 0.8147443787 0.0147551767 0.0000000000 0.0000000000 0.3834593066 0.6163920541 0.4165842621 0.1419276767 0.0214537114 0.3184223865 0.9051922789 0.6431273829 0.5181357509 0.0694928381
0.5368399590 0.8714364760 0.2578797129 2.6000553319 0.0147551767 0.0000000000 0.0000000000 0.5368399590 0.8714364760 0.7446187991 0.0709706940 0.0432141776 0.6043552062 0.2732721809 0.1600401783 0.5315138205 0.5260941634
0.6727485072 0.7734707688 1.2092395505 1.9142953818 0.0000000000 0.0000000000 0.0000000000 0.6727485072 0.7734707688 0.0265678000 0.2093264572 0.1452794265 0.4246998878 0.3010791441 0.0949473901 0.4765145235 0.5650137580
0.2655060666 0.0357164233 -1.6414575337 -3.2499850370 0.0000000000 0.0000000000 0.0000000000 0.2655060666 0.0357164233 0.8967741343 0.1188430393 0.7046196224 0.0536793579 0.4266867049 0.9413550140 0.0195348217 0.1723996648
0.7253474646 0.1976170774 1.5774322521 -2.1166804585 0.0000000000 0.0000000000 0.0000000000 0.7253474646 0.1976170774 0.6088151853 0.9645334545 0.4930590226 0.8726572349 0.7666058548 0.9487226414 0.9043171169 0.6547089406
