# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.2921085470 0.2866338447 -1.4552401713 -1.4935630874 0.5941544562 0.1258668862 0.1258668862 0.2921085470 0.2866338447 0.0626576942 0.7975367275 0.3695922808 0.1847900333 0.2669280800 0.7266167754 0.1566113389 0.7938895085
0.0182971365 0.2558231698 -3.3719200442 -1.7092378113 0.5941322494 0.1258668862 0.1258668862 0.0182971365 0.2558231698 0.0809149893 0.8698680045 0.6429057210 0.1608491587 0.7241258004 0.5999315845 0.4904997076 0.7796358338
0.0311165608 0.1842901916 -3.2821840747 -2.2099686588 0.5939005374 0.1258668862 0.1258668862 0.0311165608 0.1842901916 0.0792709365 0.6301286120 0.4453984636 0.2078490110 0.2182016966 0.9408869280 0.5227637529 0.5155394164
0.3084324021 0.0058403121 -1.3409731856 -3.4591178152 0.5938955595 0.1258668862 0.1258668862 0.3084324021 0.0058403121 0.0000000000 0.1026020124 0.9569929467 0.7112017916 0.9637659177 0.1511502314 0.8083208337 0.5009672646
0.3084324021 0.0058403121 -1.3409731856 -3.4591178152 0.5938955595 0.1258668862 0.1258668862 0.3084324021 0.0058403121 0.0000000000 0.1026020124 0.9569929467 0.7112017916 0.9637659177 0.1511502314 0.8083208337 0.5009672646
0.1288828469 0.2081086394 -2.5978200716 -2.0432395245 0.5938955595 0.1258668862 0.1258668862 0.1288828469 0.2081086394 0.0700115700 0.9372546901 0.9231480458 0.1453663182 0.9178991367 0.2704448522 0.4802819542 0.0610979328
0.1288828469 0.2081086394 -2.5978200716 -2.0432395245 0.5938955595 0.1258668862 0.1258668862 0.1288828469 0.2081086394 0.0700115700 0.9372546901 0.9231480458 0.1453663182 0.9178991367 0.2704448522 0.4802819542 0.0610979328
0.1369593283 0.1932446726 -2.5412847016 -2.1472872920 0.5938955595 0.1258668862 0.1258668862 0.1369593283 0.1932446726 0.0873071483 0.9718672151 0.8675678718 0.1932784909 0.9309564003 0.2546436534 0.5359008915 0.1106492943
0.1369593283 0.1932446726 -2.5412847016 -2.1472872920 0.5938955595 0.1258668862 0.1258668862 0.1369593283 0.1932446726 0.0873071483 0.9718672151 0.8675678718 0.1932784909 0.9309564003 0.2546436534 0.5359008915 0.1106492943
0.1468194157 0.1712207709 -2.4722640901 -2.3014546038 0.5938955595 0.1258668862 0.1258668862 0.1468194157 0.1712207709 0.0814518738 0.9778828111 0.9483771797 0.2659711309 0.9881933646 0.3472112547 0.5407288522 0.1354253023
0.1468194157 0.1712207709 -2.4722640901 -2.3014546038 0.5938955595 0.1258668862 0.1258668862 0.1468194157 0.1712207709 0.0814518738 0.9778828111 0.9483771797 0.2659711309 0.9881933646 0.3472112547 0.5407288522 0.1354253023
