# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.5127257456 0.1786602120 0.0890802194 -2.2493785157 1.0821982106 0.2926627521 0.2926627521 0.5127257456 0.1786602120 0.0834624509 0.3310577911 0.1703373247 0.3401368395 1.0000000000 0.8338956211 0.4838646304 0.0000000000
0.5127257456 0.1786602120 0.0890802194 -2.2493785157 1.0821982106 0.2926627521 0.2926627521 0.5127257456 0.1786602120 0.0834624509 0.3310577911 0.1703373247 0.3401368395 1.0000000000 0.8338956211 0.4838646304 0.0000000000
0.4361755515 0.1958630009 -0.4467711393 -2.1289589934 0.9464491388 0.3533286856 0.3533286856 0.4361755515 0.1958630009 0.0636608065 0.0000000000 0.2760338692 0.1931080741 0.9326633549 0.9559212656 0.6037932750 0.0958589629
0.2554221223 0.3669874202 -1.7120451441 -0.9310880585 0.9427207060 0.3533286856 0.3533286856 0.2554221223 0.3669874202 0.0632028185 0.3814503365 0.1086050723 0.3454531241 0.8719854070 1.0000000000 0.4266818221 0.2698363004
0.4364945061 0.3863314671 -0.4445384576 -0.7956797305 0.9418501436 0.3533286856 0.3533286856 0.4364945061 0.3863314671 0.0748695898 0.4193609776 0.1947860896 0.2534456618 0.9248651899 1.0000000000 0.7244919795 0.0807167572
0.3203779808 0.0369474842 -1.2573541344 -3.2413676105 0.9416939355 1.0066805960 0.9416939355 0.3203779808 0.0369474842 0.0000000000 0.4040179302 0.5613888982 0.7819672901 1.0000000000 0.8449741350 0.3838037079 0.3132735935
0.2304452506 0.0000000000 -1.8868832459 -3.5000000000 0.9416939355 1.0066805960 0.9416939355 0.2304452506 0.0000000000 0.0000000000 0.2800621026 0.3567777713 0.4404988869 1.0000000000 0.9496790330 0.3899712073 0.1790353181
0.4798623017 0.1918771076 -0.1409638882 -2.1568602467 0.9416939355 1.0066805960 0.9416939355 0.4798623017 0.1918771076 0.0000000000 0.3540577216 0.5293698319 0.3866336536 0.8144152252 0.8898074635 0.4312782937 0.2517741814
0.1823605294 0.4976228004 -2.2234762943 -0.0166403975 0.9416939355 1.0066805960 0.9416939355 0.1823605294 0.4976228004 0.0000000000 0.7652664434 0.2370075097 0.0894328115 0.7912769504 0.0000000000 0.4226934424 0.0000000000
0.3217115519 0.0221784279 -1.2480191365 -3.3447510049 0.9416939355 1.0066805960 0.9416939355 0.3217115519 0.0221784279 0.0000000000 0.4173434720 0.6094996691 0.8117884137 0.9467273037 0.8741540029 0.3887276325 0.3278426919
0.2922572412 0.0045021881 -1.4541993115 -3.4684846830 0.9416939355 1.0066805960 0.9416939355 0.2922572412 0.0045021881 0.0132813804 0.3907376313 0.5570815250 0.7255148914 0.9605130726 0.8658380891 0.4031605552 0.3424056687
0.3294376678 0.0000000000 -1.1939363254 -3.5000000000 0.9416939355 1.0066805960 0.9416939355 0.3294376678 0.0000000000 0.0000000000 0.4078697120 0.5773239317 0.7827999093 0.9445532190 0.8803740434 0.3653836838 0.3437660231
