# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.9855786193 0.3102954554 3.3990503350 -1.3279318124 0.1876775711 0.1876775711 0.1876775711 0.9855786193 0.3102954554 0.7980110599 0.2265592586 0.2117817835 0.1961462547 0.5931236364 0.3955299609 0.1650263993 0.0942189756
0.4500558247 0.7155934360 -0.3496092273 1.5091540519 0.1412454139 0.1717907147 0.1412454139 0.4500558247 0.7155934360 0.9369866242 0.7738365215 0.5691279654 0.3068566963 0.2640174353 0.7723677782 0.5322171254 0.5147129810
0.0383967904 0.4415234748 -3.2312224674 -0.4093356764 0.1732206925 0.3855571182 0.1732206925 0.0383967904 0.4415234748 0.0762892850 0.8034316778 0.1505763134 0.3651187226 0.1225746946 0.9749915205 0.7693127895 0.8374885703
0.7025747648 0.7612237980 1.4180233535 1.8285665859 0.1709660125 0.1439447248 0.1439447248 0.7025747648 0.7612237980 0.0835311949 0.0340032309 0.3747905559 0.8193332156 0.5645768555 0.9491395971 0.1237225563 0.7410581974
0.3585493391 0.6900971073 -0.9901546265 1.3306797511 0.1876775711 0.1876775711 0.1876775711 0.3585493391 0.6900971073 0.4965654856 0.8337268261 0.4949471910 0.5858675836 0.3886653363 0.5667754307 0.4340351722 0.4864720132
0.2228886087 0.7382585574 -1.9397797389 1.6678099018 0.1412454139 0.1876775711 0.1412454139 0.2228886087 0.7382585574 0.7951392001 0.8723388087 0.4138666483 0.6253086710 0.6800007793 0.9335992013 0.1691349870 0.7966866924
0.5690035610 0.3274911989 0.4830249270 -1.2075616078 0.1732206925 0.1925461087 0.1732206925 0.5690035610 0.3274911989 0.4567592466 0.8707383055 0.0672401190 0.8916115861 0.9443244644 0.7369603170 0.8328792592 0.3341490459
0.5200988112 0.6805838721 0.1406916781 1.2640871049 0.1876775711 0.1876775711 0.1876775711 0.5200988112 0.6805838721 0.5554237720 0.2973562416 0.0011111377 0.7302420253 0.9797491231 0.8727823716 0.7252448959 0.7137320148
0.2706376992 0.1172733960 -1.6055361056 -2.6790862283 0.1732206925 0.1925461087 0.1732206925 0.2706376992 0.1172733960 0.7043012636 0.5764582744 0.9523148916 0.9453230978 0.2016278063 0.0211556931 0.0005418367 0.3367353104
0.7629838761 0.2588636036 1.8408871325 -1.6879547749 0.1876775711 0.1876775711 0.1876775711 0.7629838761 0.2588636036 0.2165746571 0.1470291687 0.7111545453 0.8533262184 0.7307497897 0.1726350812 0.6885791077 0.9405236911
0.8594397499 0.9754128127 2.5160782490 3.3278896886 0.1550472516 0.1621875925 0.1550472516 0.8594397499 0.9754128127 0.6270407921 0.1602583713 0.7131144314 0.2961770710 0.2304807819 0.6523345450 0.5303768604 0.2888836197
0.5492110776 0.4656397906 0.3444775433 -0.2405214660 0.1458385392 0.1383496568 0.1383496568 0.5492110776 0.4656397906 0.7897268589 0.0683715847 0.7903480000 0.2169839022 0.5398815494 0.9738752987 0.4758817750 0.6456798296
0.8847341892 0.9430322947 2.6931393244 3.1012260630 0.1550472516 0.1621875925 0.1550472516 0.8847341892 0.9430322947 0.2994230099 0.1288150814 0.5927679143 0.4234899466 0.9597364243 0.3846672370 0.6297164498 0.7681616845
0.7309543659 0.5151944739 1.6166805611 0.1063613176 0.1876775711 0.1621875925 0.1621875925 0.7309543659 0.5151944739 0.7142893156 0.4504412801 0.9079118035 0.3585717764 0.7218856541 0.5990712061 0.4146274505 0.8644564976
