# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.9855786193 0.3102954554 3.3990503350 -1.3279318124 0.1876775711 0.1876775711 0.1876775711 0.9855786193 0.3102954554 0.7980110599 0.2265592586 0.2117817835 0.1961462547 0.5931236364 0.3955299609 0.1650263993 0.0942189756
0.4782873009 0.8711478628 -0.1519888935 2.5980350397 0.1876775711 0.1876775711 0.1876775711 0.4782873009 0.8711478628 0.1431310954 0.4534571524 0.8084026777 0.0223633943 0.6666341108 0.4446713172 0.4037078303 0.0811569140
0.5200988112 0.6805838721 0.1406916781 1.2640871049 0.1876775711 0.1876775711 0.1876775711 0.5200988112 0.6805838721 0.5554237720 0.2973562416 0.0011111377 0.7302420253 0.9797491231 0.8727823716 0.7252448959 0.7137320148
0.4434014159 0.9429612719 -0.3961900890 3.1007289036 0.1876775711 0.1876775711 0.1876775711 0.4434014159 0.9429612719 0.1857941188 0.9471945942 0.2607629391 0.1672986830 0.8596144313 0.3273429229 0.0726611486 0.3177569766
0.3585493391 0.6900971073 -0.9901546265 1.3306797511 0.1876775711 0.1876775711 0.1876775711 0.3585493391 0.6900971073 0.4965654856 0.8337268261 0.4949471910 0.5858675836 0.3886653363 0.5667754307 0.4340351722 0.4864720132
0.8979695347 0.2953943683 2.7857867431 -1.4322394222 0.1876775711 0.1876775711 0.1876775711 0.8979695347 0.2953943683 0.9497297338 0.3184782545 0.6588211496 0.6200344759 0.2996926749 0.2723518940 0.2281161152 0.1174288966
0.7451379653 0.4158713924 1.7159657569 -0.5889002532 0.1876775711 0.1876775711 0.1876775711 0.7451379653 0.4158713924 0.3032310831 0.2676348142 0.1167127766 0.2632973124 0.4217364542 0.1607341433 0.9678725620 0.2789338323
0.5200988112 0.6805838721 0.1406916781 1.2640871049 0.1876775711 0.1876775711 0.1876775711 0.5200988112 0.6805838721 0.5554237720 0.2973562416 0.0011111377 0.7302420253 0.9797491231 0.8727823716 0.7252448959 0.7137320148
0.8224208711 0.2171931536 2.2569460980 -1.9796479249 0.1876775711 0.1876775711 0.1876775711 0.8224208711 0.2171931536 0.2862478788 0.8599700480 0.1603229241 0.1577259024 0.1229731276 0.0901609285 0.1682295093 0.5834200456
0.7629838761 0.2588636036 1.8408871325 -1.6879547749 0.1876775711 0.1876775711 0.1876775711 0.7629838761 0.2588636036 0.2165746571 0.1470291687 0.7111545453 0.8533262184 0.7307497897 0.1726350812 0.6885791077 0.9405236911
0.2236392949 0.6770800684 -1.9345249360 1.2395604791 0.1876775711 0.1876775711 0.1876775711 0.2236392949 0.6770800684 0.7816029727 0.3519919682 0.1170476839 0.8484527326 0.0396571317 0.7503189657 0.4945307494 0.9656017607
0.4239481114 0.9356195871 -0.5323632200 3.0493371094 0.1876775711 0.1876775711 0.1876775711 0.4239481114 0.9356195871 0.3656867430 0.9432278893 0.0451213094 0.0035677138 0.9683869911 0.3686363855 0.7535998311 0.3206801715
0.6987256735 0.3321034502 1.3910797146 -1.1752758486 0.1876775711 0.1876775711 0.1876775711 0.6987256735 0.3321034502 0.8514591955 0.9203527301 0.4677195091 0.1951437417 0.1578165062 0.6040357858 0.6722368691 0.0923977994
0.9572124599 0.1346091661 3.2004872190 -2.5577358372 0.1876775711 0.1876775711 0.1876775711 0.9572124599 0.1346091661 0.4308261462 0.6188057983 0.0611378466 0.8915818576 0.2523436186 0.8174536849 0.7018152523 0.2811296831
0.4469517875 0.7095950108 -0.3713374877 1.4671650756 0.1876775711 0.1876775711 0.1876775711 0.4469517875 0.7095950108 0.2825407997 0.6684354326 0.1404450641 0.8142986731 0.1359960881 0.3521491683 0.6263056895 0.2212789358
0.3847434194 0.9575357209 -0.8067960639 3.2027500463 0.1876775711 0.1876775711 0.1876775711 0.3847434194 0.9575357209 0.0372315294 0.4206072059 0.9000828986 0.8838380782 0.0380155874 0.4768262585 0.6011280344 0.7287226255
0.1298245635 0.7596819776 -2.5912280553 1.8177738434 0.1876775711 0.1876775711 0.1876775711 0.1298245635 0.7596819776 0.0995752291 0.6712651765 0.2751701919 0.8152730653 0.8793374784 0.9929369149 0.8657730029 0.3869016807
0.9160989219 0.2046012545 2.9126924535 -2.0677912188 0.1876775711 0.1876775711 0.1876775711 0.9160989219 0.2046012545 0.8160212460 0.6471206221 0.1605956685 0.1141867595 0.6850478822 0.6783323340 0.5796902050 0.7834599359
0.5541125657 0.8411543769 0.3787879596 2.3880806385 0.1876775711 0.1876775711 0.1876775711 0.5541125657 0.8411543769 0.0608582710 0.5426822678 0.9170021346 0.4945165946 0.3103766875 0.4901806062 0.1205043045 0.2715137687
0.2458120028 0.8235261487 -1.7793159804 2.2646830408 0.1876775711 0.1876775711 0.1876775711 0.2458120028 0.8235261487 0.7187514961 0.3900500032 0.3507939380 0.9373608578 0.0036875601 0.1581611493 0.0346661409 0.1953543004
0.9025595025 0.0308105463 2.8179165172 -3.2843261760 0.1876775711 0.1876775711 0.1876775711 0.9025595025 0.0308105463 0.3648563793 0.7157480669 0.8045098597 0.9185767539 0.0496640106 0.5266061808 0.2382934812 0.9328804164
0.5565039063 0.7432491212 0.3955273439 1.7027438485 0.1876775711 0.1876775711 0.1876775711 0.5565039063 0.7432491212 0.5235868901 0.4476470924 0.6278556033 0.4745328206 0.3264814447 0.0094943507 0.3708671630 0.0598900966
0.0038061966 0.9308386631 -3.4733566235 3.0158706418 0.1876775711 0.1876775711 0.1876775711 0.0038061966 0.9308386631 0.3661602782 0.4374168901 0.7716386335 0.8432363634 0.9700046313 0.0785895074 0.7998788026 0.9024497929
0.2148103915 0.8104133293 -1.9963272597 2.1728933050 0.1876775711 0.1876775711 0.1876775711 0.2148103915 0.8104133293 0.6543497892 0.8962673969 0.2149001210 0.4305521070 0.3535080115 0.4172897781 0.1703847630 0.1855230840
0.8253156257 0.2540785748 2.2772093797 -1.7214499766 0.1876775711 0.1876775711 0.1876775711 0.8253156257 0.2540785748 0.4702462983 0.1925392512 0.7843967290 0.8559515868 0.0019702575 0.4850752597 0.8925292167 0.3234560029
0.7882328735 0.0140798445 2.0176301146 -3.4014410882 0.1876775711 0.1876775711 0.1876775711 0.7882328735 0.0140798445 0.5586792206 0.8877621583 0.0730797038 0.4963818981 0.7019951131 0.4040759902 0.4213163304 0.0246671458
0.1612359731 0.9155400498 -2.3713481881 2.9087803485 0.1876775711 0.1876775711 0.1876775711 0.1612359731 0.9155400498 0.6293125550 0.2656954040 0.2204664034 0.2831387064 0.5180032298 0.2618000590 0.8688812653 0.3882606683
0.1208083019 0.9354065956 -2.6543418870 3.0478461695 0.1876775711 0.1876775711 0.1876775711 0.1208083019 0.9354065956 0.0855796821 0.0774905939 0.8479599790 0.5008060307 0.1975214707 0.9190846230 0.6253308428 0.5032947326
0.3606394066 0.9025623450 -0.9755241541 2.8179364151 0.1876775711 0.1876775711 0.1876775711 0.3606394066 0.9025623450 0.2551890767 0.3433603654 0.4196090693 0.5099372796 0.9127010996 0.3377227962 0.6899203741 0.4361727815
0.0761803202 0.7065160659 -2.9667377587 1.4456124613 0.1876775711 0.1876775711 0.1876775711 0.0761803202 0.7065160659 0.6564873816 0.9377597504 0.6444986659 0.9605475205 0.3120103560 0.2876174170 0.6834606261 0.7192108195
0.5286014086 0.6654875410 0.2002098603 1.1584127870 0.1876775711 0.1876775711 0.1876775711 0.5286014086 0.6654875410 0.4337463282 0.6405008908 0.7689480371 0.6696404384 0.7982830891 0.0964702738 0.4944314014 0.8234139971
0.7765452680 0.4076098758 1.9358168758 -0.6467308693 0.1876775711 0.1876775711 0.1876775711 0.7765452680 0.4076098758 0.8114007091 0.7043247189 0.3369887165 0.3360668644 0.0157009290 0.0360585215 0.9283961060 0.4640600877
0.8309976677 0.3257662597 2.3169836738 -1.2196361818 0.1876775711 0.1876775711 0.1876775711 0.8309976677 0.3257662597 0.1642410364 0.4699198823 0.9270716149 0.1932404919 0.9534828435 0.2667745846 0.3260727503 0.0522165475
0.0392418547 0.8616474807 -3.2253070174 2.5315323651 0.1876775711 0.1876775711 0.1876775711 0.0392418547 0.8616474807 0.7442039469 0.4696088960 0.4493245872 0.3347018005 0.4973412109 0.0902957232 0.1404707597 0.6141094077
0.4360445254 0.7852747356 -0.4476883220 1.9969231491 0.1876775711 0.1876775711 0.1876775711 0.4360445254 0.7852747356 0.6906231502 0.4095818869 0.8810246908 0.7093028358 0.8148279328 0.2825327084 0.5717753058 0.6554029982
0.4114937904 0.8963271095 -0.6195434671 2.7742897666 0.1876775711 0.1876775711 0.1876775711 0.4114937904 0.8963271095 0.6346439478 0.1897676297 0.1687532467 0.0951861976 0.7112043820 0.9916408155 0.7610530735 0.5617475489
0.9414800781 0.0386787328 3.0903605465 -3.2292488706 0.1876775711 0.1876775711 0.1876775711 0.9414800781 0.0386787328 0.1758422542 0.5519506885 0.4637350181 0.0541534038 0.5112416301 0.5668259269 0.6021341920 0.4151860805
0.3725396435 0.9569323580 -0.8922224957 3.1985265058 0.1876775711 0.1876775711 0.1876775711 0.3725396435 0.9569323580 0.6961017831 0.5404518915 0.5636530567 0.3229553541 0.1928679649 0.5243939329 0.0954624882 0.0004529228
0.5122116810 0.9947625197 0.0854817673 3.4633376382 0.1876775711 0.1876775711 0.1876775711 0.5122116810 0.9947625197 0.2626060476 0.5648296894 0.8847951717 0.6726567912 0.7825766602 0.7997094680 0.0170135183 0.5311903424
0.2998515418 0.8398323832 -1.4010392072 2.3788266824 0.1876775711 0.1876775711 0.1876775711 0.2998515418 0.8398323832 0.2541087442 0.4087123853 0.4711651555 0.3115504181 0.8935334621 0.6967015126 0.4297134008 0.9915773173
0.4512449407 0.8086509171 -0.3412854150 2.1605564198 0.1876775711 0.1876775711 0.1876775711 0.4512449407 0.8086509171 0.4300798616 0.7452885264 0.0546113546 0.0358503086 0.8283303038 0.4948198414 0.1706146506 0.4225043211
0.4429685659 0.8345444576 -0.3992200390 2.3418112030 0.1876775711 0.1876775711 0.1876775711 0.4429685659 0.8345444576 0.2560651111 0.2585505601 0.8285103456 0.2604040004 0.9355765829 0.6739516658 0.1265500798 0.9060507120
