# from_x0 from_x1 to_x0 to_x1 length
3.3990503350 -1.3279318124 -1.0705933126 1.0519260933 1.2600662699
-2.5418762677 1.7922960892 -1.0705933126 1.0519260933 1.2168719385
-2.5932947183 1.5786303377 -1.0705933126 1.0519260933 1.1195758472
-2.5694439461 1.7995351112 -1.0705933126 1.0519260933 1.1352269799
-0.9901546265 1.3306797511 -1.0705933126 1.0519260933 0.5688469559
-2.4819071263 1.9890610948 -1.0705933126 1.0519260933 1.1547575759
-2.2842382484 1.7863073022 -1.0705933126 1.0519260933 1.1498770128
0.1406916781 1.2640871049 -1.0705933126 1.0519260933 1.0660043515
-2.4962192813 1.9621368180 -1.0705933126 1.0519260933 1.1392648579
1.8408871325 -1.6879547749 -1.0705933126 1.0519260933 1.2042731278
-2.5901945825 1.8121649387 -1.0705933126 1.0519260933 1.1659939529
-2.5421701051 1.9273870825 -1.0705933126 1.0519260933 1.1027886145
-2.7434300212 1.7524345008 -1.0705933126 1.0519260933 1.1436106847
1.8884896651 -0.5371334585 -1.0705933126 1.0519260933 1.1862768677
-2.7646920200 1.9628917148 -1.0705933126 1.0519260933 1.1490370500
-2.9200680576 1.6405504995 -1.0705933126 1.0519260933 1.1556063087
-2.5912280553 1.8177738434 -1.0705933126 1.0519260933 1.1429652977
-2.9993457861 1.5534856884 -1.0705933126 1.0519260933 1.1801596468
-2.6179184965 1.7318132782 -1.0705933126 1.0519260933 1.1255840786
-1.7793159804 2.2646830408 -1.0705933126 1.0519260933 0.9768451842
2.8179165172 -3.2843261760 -1.0705933126 1.0519260933 1.1339068868
-2.9378045611 1.8337421477 -1.0705933126 1.0519260933 1.1864781834
-3.4733566235 3.0158706418 -1.0705933126 1.0519260933 1.2507624432
-1.9963272597 2.1728933050 -1.0705933126 1.0519260933 0.9495608606
-2.4406598063 1.6099453310 -1.0705933126 1.0519260933 1.1164011237
-2.6436702783 1.5279862987 -1.0705933126 1.0519260933 1.1503320927
-2.3713481881 2.9087803485 -1.0705933126 1.0519260933 0.9675328387
-2.4279122467 1.8504490480 -1.0705933126 1.0519260933 1.1109040570
-2.1980616861 2.1900459484 -1.0705933126 1.0519260933 1.1562894861
-2.5793263819 1.6459150027 -1.0705933126 1.0519260933 1.1271712685
1.6979954619 -0.4043497029 -1.0705933126 1.0519260933 1.1841043848
1.9358168758 -0.6467308693 -1.0705933126 1.0519260933 1.1180311048
2.3169836738 -1.2196361818 -1.0705933126 1.0519260933 1.4289075531
-3.2253070174 2.5315323651 -1.0705933126 1.0519260933 0.9718084935
2.7561271304 -2.0278621908 -1.0705933126 1.0519260933 1.4123103056
-2.7646660619 2.9080092940 -1.0705933126 1.0519260933 0.9988011381
-0.4900724052 3.2954171170 -1.0705933126 1.0519260933 1.1718972977
-0.4896759636 1.7105358729 -1.0705933126 1.0519260933 1.0601410992
-0.6820622721 2.9238140706 -1.0705933126 1.0519260933 1.0314881736
2.5346994936 -2.0904301795 -1.0705933126 1.0519260933 1.3828831940
-0.0385548844 2.0810870936 -1.0705933126 1.0519260933 1.1446116270
-0.3992200390 2.3418112030 -1.0705933126 1.0519260933 1.1357885268
2.0584957901 -1.0721013999 -1.0705933126 1.0519260933 0.9680962497
-0.4224409117 3.1106164776 -1.0705933126 1.0519260933 1.2587081152
2.7698220199 -3.1106169039 -1.0705933126 1.0519260933 1.3230583124
-0.3167063312 2.2081943811 -1.0705933126 1.0519260933 0.9955085483
2.7942227883 -1.6180935242 -1.0705933126 1.0519260933 1.3867627223
1.2402902130 -0.5020053362 -1.0705933126 1.0519260933 0.8639835619
2.5695864753 -1.9139480479 -1.0705933126 1.0519260933 1.4165276690
-1.3819248083 3.1874791858 -1.0705933126 1.0519260933 0.8131141103
-3.0201994900 1.7058533707 -1.0705933126 1.0519260933 0.8682138424
3.4777321729 -1.7375876322 -1.0705933126 1.0519260933 1.2694198040
2.7914053640 -0.2822097610 -1.0705933126 1.0519260933 1.0240017944
3.3250664321 -3.4075637117 -1.0705933126 1.0519260933 1.3840715623
