# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.6457674486 0.5949160637 1.0203721402 0.6644124457 0.0002484695 0.0002484695 0.0002484695 0.6457674486 0.5949160637 0.1804590145 0.0693887277 0.6793225876 0.5539550001 0.7560658126 0.3724729194 0.5948887829 0.7839169202
0.4329552872 0.1870994904 -0.4693129896 -2.1903035675 0.0002484695 0.0002484695 0.0002484695 0.4329552872 0.1870994904 0.5738070273 0.5324648592 0.7537402583 0.2986787111 0.4213430408 0.0639102072 0.1715505564 0.0024298593
0.9786075525 0.6132908087 3.3502528676 0.7930356611 0.0002484695 0.0002484695 0.0002484695 0.9786075525 0.6132908087 0.5863350004 0.1709967943 0.3783247003 0.5972859323 0.4799567555 0.8879783582 0.5488717922 0.0800949081
0.4627680020 0.0262157634 -0.2606239860 -3.3164896561 0.0002484695 0.0002484695 0.0002484695 0.4627680020 0.0262157634 0.3884733369 0.5319544447 0.6660625470 0.0299406863 0.0044447408 0.1526207624 0.7788171316 0.9202998122
0.2609409982 0.4787779024 -1.6734130125 -0.1485546833 0.0002484695 0.0002484695 0.0002484695 0.2609409982 0.4787779024 0.0683544242 0.3975480866 0.9195317398 0.7568707859 0.8217169072 0.9238305782 0.1472623544 0.6566153520
0.4991339179 0.1566605713 -0.0060625750 -2.4033760008 0.0002484695 0.0002484695 0.0002484695 0.4991339179 0.1566605713 0.0730522341 0.8799715143 0.6446638390 0.2443071105 0.5243426211 0.3632449240 0.5054066422 0.1043589000
0.2615669182 0.4996896214 -1.6690315728 -0.0021726505 0.0002484695 0.0002484695 0.0002484695 0.2615669182 0.4996896214 0.1431340416 0.2547156121 0.8126471136 0.5863948949 0.9871629818 0.8553615428 0.8863233037 0.0602436685
0.4077363423 0.0002953294 -0.6458456036 -3.4979326939 0.0002484695 0.0002484695 0.0002484695 0.4077363423 0.0002953294 0.4081090562 0.9461547072 0.3391663100 0.8580569333 0.2609533411 0.4457090542 0.8773987224 0.4395372506
0.8434994983 0.0258738463 2.4044964881 -3.3188830759 0.0002484695 0.0002484695 0.0002484695 0.8434994983 0.0258738463 0.0976400981 0.3026079968 0.7576416654 0.3982821893 0.7490663341 0.5610904202 0.2316895595 0.1356286086
0.2462166545 0.4220658922 -1.7764834185 -0.5455387549 0.0002484695 0.0002484695 0.0002484695 0.2462166545 0.4220658922 0.2272238587 0.0192019386 0.6825148414 0.5858122174 0.9454172953 0.3915236187 0.7257319464 0.0749787003
0.4552819563 0.5423480359 -0.3130263057 0.2964362510 0.0002484695 0.0002484695 0.0002484695 0.4552819563 0.5423480359 0.2912037784 0.9699504615 0.2710587455 0.6428000279 0.0385667869 0.8224262284 0.4125625824 0.1723327762
0.6666748128 0.8344049101 1.1667236898 2.3408343705 0.0002484695 0.0002484695 0.0002484695 0.6666748128 0.8344049101 0.6609416355 0.2187657390 0.8365750786 0.5043050496 0.5659976669 0.2134875984 0.3497943965 0.7169097308
0.1077496673 0.9899727838 -2.7457523290 3.4298094867 0.0002484695 0.0003037999 0.0002484695 0.1077496673 0.9899727838 0.9252215973 0.4123176590 0.0395131459 0.4069961706 0.3529065043 0.5482632100 0.4324234419 0.0323895220
0.4471827677 0.9363924119 -0.3697206264 3.0547468833 0.0002484695 0.0002484695 0.0002484695 0.4471827677 0.9363924119 0.2196005052 0.6159080867 0.0969161837 0.6018647111 0.9468290834 0.8492566528 0.6157353692 0.3784506297
0.6181136931 0.6697036404 0.8267958514 1.1879254827 0.0002484695 0.0002484695 0.0002484695 0.6181136931 0.6697036404 0.6295501634 0.3640069644 0.6691894194 0.2192660801 0.1080112484 0.7294060176 0.6263304882 0.9939779683
0.5875131784 0.0436813320 0.6125922485 -3.1942306757 0.0002831092 0.0002484695 0.0002484695 0.5875131784 0.0436813320 0.4772255654 0.6589655682 0.3834990836 0.4510941985 0.5072677070 0.0122203238 0.5141266861 0.7885775296
0.8265994958 0.2885464429 2.2861964706 -1.4801748995 0.0002484695 0.0002484695 0.0002484695 0.8265994958 0.2885464429 0.3017984347 0.1464685290 0.8150271011 0.4239687308 0.2277638314 0.1284146552 0.6240769576 0.2443316368
