# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.7001255033 0.8800914890 1.4008785233 2.6606404228 0.0017838190 0.0002213090 0.0002213090 0.7001255033 0.8800914890 0.9308932296 0.7054500130 0.2728241822 0.3218166022 0.4356695718 0.6572637895 0.5431375746 0.5552831800
0.7001255033 0.8800914890 1.4008785233 2.6606404228 0.0017838190 0.0002213090 0.0002213090 0.7001255033 0.8800914890 0.9308932296 0.7054500130 0.2728241822 0.3218166022 0.4356695718 0.6572637895 0.5431375746 0.5552831800
0.8191541205 0.9802972926 2.2340788438 3.3620810483 0.0007738044 0.0002484695 0.0002484695 0.8191541205 0.9802972926 0.9156327991 0.6508770461 0.4157127711 0.5787018529 0.3681227648 0.8173263113 0.5891658873 0.3890533018
0.7503272621 0.0000000000 1.7522908346 -3.5000000000 0.0005228736 0.0002484695 0.0002484695 0.7503272621 0.0000000000 0.4746839288 0.6394366491 0.3213335608 0.4928594497 0.7340425569 0.1581904355 0.5463214254 0.5862047178
0.7503272621 0.0000000000 1.7522908346 -3.5000000000 0.0005228736 0.0002484695 0.0002484695 0.7503272621 0.0000000000 0.4746839288 0.6394366491 0.3213335608 0.4928594497 0.7340425569 0.1581904355 0.5463214254 0.5862047178
0.8676729069 0.7384995863 2.5737103484 1.6694971043 0.0004362875 0.0002484695 0.0002484695 0.8676729069 0.7384995863 0.9839989831 0.8094742523 0.3543712781 0.2306165426 0.6162882870 0.6774533101 0.6163195792 0.4492396952
0.7817516796 1.0000000000 1.9722617574 3.5000000000 0.0003989431 0.0002213090 0.0002213090 0.7817516796 1.0000000000 0.9496669240 0.6472582116 0.1986251583 0.3450097428 0.6108651014 0.5994391931 0.4226756760 0.3601297234
0.8320189205 0.8364367681 2.3241324435 2.3550573768 0.0003833331 0.0002484695 0.0002484695 0.8320189205 0.8364367681 1.0000000000 0.7441653853 0.4183413444 0.4774533236 0.6886322697 0.8302633020 0.6304918790 0.5898798745
0.7865314742 1.0000000000 2.0057203197 3.5000000000 0.0003345447 0.0002213090 0.0002213090 0.7865314742 1.0000000000 0.9354879084 0.6075094532 0.2898735306 0.4934008300 0.2061050470 0.5405368044 0.5415092594 0.2404949787
0.7825114631 1.0000000000 1.9775802414 3.5000000000 0.0003309656 0.0002213090 0.0002213090 0.7825114631 1.0000000000 1.0000000000 0.6473210705 0.2987877329 0.2352409906 0.3496409639 0.6936754880 0.6732270820 0.5288978171
0.8299231040 1.0000000000 2.3094617277 3.5000000000 0.0003258481 0.0002213090 0.0002213090 0.8299231040 1.0000000000 0.8018585007 0.7951567215 0.1841890620 0.4246334490 0.5019256356 0.4176349028 0.4601402574 0.4623197156
0.7316491615 0.0000000000 1.6215441306 -3.5000000000 0.0003252828 0.0002484695 0.0002484695 0.7316491615 0.0000000000 0.3564671813 0.8123393603 0.4403868284 0.4283647131 0.7518634309 0.0950846408 0.5838401815 0.5643715063
0.9481236170 0.8642159420 3.1368653190 2.5495115943 0.0002847604 0.0002484695 0.0002484695 0.9481236170 0.8642159420 0.9368279588 0.7624628225 0.4790490563 0.1245603231 0.3622682833 0.5071624074 0.6579757964 0.5009102046
0.8619564847 0.9650631272 2.5336953929 3.2554418901 0.0002728325 0.0002484695 0.0002484695 0.8619564847 0.9650631272 0.7937740882 0.8214625746 0.3765213980 0.3974249915 0.5135021496 0.3114806327 0.6938642277 0.2114662015
0.8035838442 0.8077318250 2.1250869095 2.1541227749 0.0002694708 0.0002215305 0.0002215305 0.8035838442 0.8077318250 1.0000000000 0.6162146449 0.2133933775 0.1935503119 0.1858930333 0.5612587566 0.4263916077 0.5677774675
