# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.5063397981 0.8343910799 0.0443785869 2.3407375594 51.9658909780 36.3349537748 36.3349537748 0.5063397981 0.8343910799
0.6190439448 0.3805994068 0.8333076133 -0.8358041525 36.3349537748 36.3349537748 36.3349537748 0.6190439448 0.3805994068
0.7799293744 0.7271646162 1.9595056210 1.5901523132 30.9516796030 36.3349537748 30.9516796030 0.7799293744 0.7271646162
0.9374933774 0.4770919860 3.0624536420 -0.1603560983 36.3349537748 36.3349537748 36.3349537748 0.9374933774 0.4770919860
0.6943295509 0.0206967257 1.3603068564 -3.3551229203 25.2689056918 22.1048591903 22.1048591903 0.6943295509 0.0206967257
0.4767095469 0.9843141234 -0.1630331716 3.3901988636 30.8615836352 36.3349537748 30.8615836352 0.4767095469 0.9843141234
0.1052440288 0.9853816832 -2.7632917985 3.3976717822 25.2079813852 21.8203483292 21.8203483292 0.1052440288 0.9853816832
0.6895265776 0.8788936246 1.3266860429 2.6522553723 36.3349537748 36.3349537748 36.3349537748 0.6895265776 0.8788936246
0.7280183417 0.4793308785 1.5961283917 -0.1446838507 43.5490324789 36.3349537748 36.3349537748 0.7280183417 0.4793308785
0.3841145204 0.5387380082 -0.8111983572 0.2711660572 36.3349537748 36.3349537748 36.3349537748 0.3841145204 0.5387380082
0.5137616801 0.6514451834 0.0963317608 1.0601162836 47.4958252769 36.3349537748 36.3349537748 0.5137616801 0.6514451834
0.6317953176 0.5277338018 0.9225672230 0.1941366128 36.3349537748 36.3349537748 36.3349537748 0.6317953176 0.5277338018
0.8367405938 0.6159551612 2.3571841566 0.8116861283 36.3349537748 36.3349537748 36.3349537748 0.8367405938 0.6159551612
0.6367076963 0.2962246380 0.9569538743 -1.4264275338 36.3349537748 36.3349537748 36.3349537748 0.6367076963 0.2962246380
0.6707894986 0.1008096389 1.1955264900 -2.7943325277 25.2689056918 22.1048591903 22.1048591903 0.6707894986 0.1008096389
0.7233559626 0.7405734188 1.5634917384 1.6840139314 30.9516796030 36.3349537748 30.9516796030 0.7233559626 0.7405734188
0.3888861183 0.0718663359 -0.7777971722 -2.9969356484 30.3138578493 23.5625552046 23.5625552046 0.3888861183 0.0718663359
0.8944180162 0.5345857561 2.7609261132 0.2421002924 36.3349537748 36.3349537748 36.3349537748 0.8944180162 0.5345857561
0.9619643233 0.3368952991 3.2337502633 -1.1417329063 36.3349537748 36.3349537748 36.3349537748 0.9619643233 0.3368952991
0.9780671647 0.8213739462 3.3464701531 2.2496176234 30.9516796030 36.3349537748 30.9516796030 0.9780671647 0.8213739462
0.9126024820 0.6432544809 2.8882173743 1.0027813663 36.3349537748 36.3349537748 36.3349537748 0.9126024820 0.6432544809
0.6775156577 0.3147021648 1.2426096036 -1.2970848462 36.3349537748 36.3349537748 36.3349537748 0.6775156577 0.3147021648
0.8529374513 0.4258224912 2.4705621589 -0.5192425619 36.3349537748 43.5824381799 36.3349537748 0.8529374513 0.4258224912
0.7576803954 0.4812333173 1.8037627680 -0.1313667788 76.7576934886 36.3349537748 36.3349537748 0.7576803954 0.4812333173
0.1669611371 0.8818253941 -2.3312720404 2.6727777586 25.2079813852 36.3349537748 25.2079813852 0.1669611371 0.8818253941
0.5336545287 0.7588141375 0.2355817007 1.8116989626 30.8615836352 36.3349537748 30.8615836352 0.5336545287 0.7588141375
0.6877681147 0.7557600497 1.3143768027 1.7903203481 30.9516796030 36.3349537748 30.9516796030 0.6877681147 0.7557600497
0.2657918265 0.0233681896 -1.6394572148 -3.3364226731 30.3138578493 23.5625552046 23.5625552046 0.2657918265 0.0233681896
0.0924154990 0.9639838141 -2.8530915070 3.2478866990 27.7399723543 21.8203483292 21.8203483292 0.0924154990 0.9639838141
0.1881621617 0.5151259294 -2.1828648684 0.1058815059 36.3349537748 36.3349537748 36.3349537748 0.1881621617 0.5151259294
0.1214010879 0.6143261760 -2.6501923850 0.8002832318 34.7018366891 27.2038660727 27.2038660727 0.1214010879 0.6143261760
0.5642672724 0.2678969359 0.4498709068 -1.6247214486 36.3349537748 24.6214589989 24.6214589989 0.5642672724 0.2678969359
0.2050611295 0.6180413041 -2.0645720933 0.8262891284 27.8916153837 51.1366930233 27.8916153837 0.2050611295 0.6180413041
0.9046741827 0.0574540579 2.8327192792 -3.0978215946 25.2689056918 22.1048591903 22.1048591903 0.9046741827 0.0574540579
0.1223976467 0.1402254194 -2.6432164729 -2.5184220639 36.3349537748 23.5625552046 23.5625552046 0.1223976467 0.1402254194
0.0813138290 0.1342400681 -2.9308031967 -2.5603195235 36.3349537748 36.3349537748 36.3349537748 0.0813138290 0.1342400681
0.5375459779 0.1626247992 0.2628218455 -2.3616264057 36.3349537748 51.5454878542 36.3349537748 0.5375459779 0.1626247992
0.3105971633 0.0597560451 -1.3258198568 -3.0817076845 40.7051823557 29.9969050504 29.9969050504 0.3105971633 0.0597560451
0.9679478162 0.7880582819 3.2756347136 2.0164079733 30.9516796030 36.3349537748 30.9516796030 0.9679478162 0.7880582819
0.2031503359 0.7000137706 -2.0779476485 1.4000963940 27.2833582877 27.2038660727 27.2038660727 0.2031503359 0.7000137706
0.4202290804 0.6771406092 -0.5583964374 1.2399842641 27.2833582877 27.2038660727 27.2038660727 0.4202290804 0.6771406092
0.4496973615 0.2527422604 -0.3521184695 -1.7308041775 36.3349537748 36.3349537748 36.3349537748 0.4496973615 0.2527422604
0.2289261910 0.6856400048 -1.8975166631 1.2994800339 27.2833582877 27.2038660727 27.2038660727 0.2289261910 0.6856400048
0.9547539487 0.5901722664 3.1832776410 0.6312058645 36.3349537748 36.3349537748 36.3349537748 0.9547539487 0.5901722664
0.9574299227 0.9217589670 3.2020094591 2.9523127692 69.4325577863 64.8166794379 64.8166794379 0.9574299227 0.9217589670
0.6755446735 0.2268367758 1.2288127145 -1.9121425697 36.3349537748 25.0599617863 25.0599617863 0.6755446735 0.2268367758
0.2877210499 0.1732947071 -1.4859526504 -2.2869370506 30.3138578493 36.3349537748 30.3138578493 0.2877210499 0.1732947071
0.6923864839 0.9326184377 1.3467053876 3.0283290639 36.3349537748 36.3349537748 36.3349537748 0.6923864839 0.9326184377
0.7892628327 0.4269670963 2.0248398291 -0.5112303257 36.3349537748 74.4235244340 36.3349537748 0.7892628327 0.4269670963
0.0991147494 0.9541875896 -2.8061967542 3.1793131269 25.2079813852 21.8203483292 21.8203483292 0.0991147494 0.9541875896
0.1042554782 0.8065697114 -2.7702116529 2.1459879798 52.4304584466 21.8203483292 21.8203483292 0.1042554782 0.8065697114
0.4670269579 0.6124054352 -0.2308112945 0.7868380463 36.3349537748 36.3349537748 36.3349537748 0.4670269579 0.6124054352
0.1554074879 0.9221078893 -2.4121475844 2.9547552251 25.2079813852 36.3349537748 25.2079813852 0.1554074879 0.9221078893
0.9347111863 0.7695899654 3.0429783041 1.8871297576 30.9516796030 36.3349537748 30.9516796030 0.9347111863 0.7695899654
0.8001089771 0.5192751351 2.1007628394 0.1349259454 43.6011548241 36.3349537748 36.3349537748 0.8001089771 0.5192751351
0.2381758753 0.1683772191 -1.8327688729 -2.3213594664 36.3349537748 36.3349537748 36.3349537748 0.2381758753 0.1683772191
0.2984613870 0.4439764491 -1.4107702908 -0.3921648562 36.3349537748 36.3349537748 36.3349537748 0.2984613870 0.4439764491
0.6350015088 0.4717819303 0.9450105618 -0.1975264876 36.3349537748 36.3349537748 36.3349537748 0.6350015088 0.4717819303
0.1417450965 0.5364935841 -2.5077843244 0.2554550884 36.3349537748 36.3349537748 36.3349537748 0.1417450965 0.5364935841
0.4909315388 0.3973382916 -0.0634792287 -0.7186319591 36.3349537748 36.3349537748 36.3349537748 0.4909315388 0.3973382916
0.1248786464 0.1204786839 -2.6258494754 -2.6566492126 36.3349537748 23.5625552046 23.5625552046 0.1248786464 0.1204786839
0.4773659522 0.4329974146 -0.1584383347 -0.4690180975 36.3349537748 36.3349537748 36.3349537748 0.4773659522 0.4329974146
0.5045886460 0.7316916393 0.0321205217 1.6218414753 30.8615836352 36.3349537748 30.8615836352 0.5045886460 0.7316916393
0.5382098684 0.1524164340 0.2674690788 -2.4330849619 36.3349537748 38.0414666418 36.3349537748 0.5382098684 0.1524164340
0.9712874647 0.8347961455 3.2990122527 2.3435730186 30.9516796030 36.3349537748 30.9516796030 0.9712874647 0.8347961455
0.0191612743 0.5172269375 -3.3658710800 0.1205885625 42.7338793408 36.3349537748 36.3349537748 0.0191612743 0.5172269375
0.9418564715 0.9468267977 3.0929953005 3.1277875838 37.5577000812 49.7766032276 37.5577000812 0.9418564715 0.9468267977
0.1596869376 0.3763850491 -2.3821914369 -0.8653046566 36.3349537748 36.3349537748 36.3349537748 0.1596869376 0.3763850491
