# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.5612416276 0.4868119430 0.4286913933 -0.0923163987 89.9959014550 89.9959017755 89.9959014550 0.5612416276 0.4868119430
0.9364736286 0.9179907060 3.0553153999 2.9259349421 89.9984349749 89.9942916689 89.9942916689 0.9364736286 0.9179907060
0.0907303410 0.3133256814 -2.8648876133 -1.3067202305 89.9937260021 89.9937739431 89.9937260021 0.0907303410 0.3133256814
0.2869543759 0.8520647160 -1.4913193689 2.4644530119 89.9979785125 89.9913618496 89.9913618496 0.2869543759 0.8520647160
0.3374312605 0.4868077862 -1.1379811768 -0.0923454966 89.9871696191 89.9881547586 89.9871696191 0.3374312605 0.4868077862
0.7427289393 0.4112095196 1.6991025748 -0.6215333630 89.9447095399 89.9056673896 89.9056673896 0.7427289393 0.4112095196
0.5571655772 0.4518225004 0.4001590407 -0.3372424972 80.3958904834 84.0805496844 80.3958904834 0.5571655772 0.4518225004
0.3423573578 0.4540514348 -1.1034984953 -0.3216399561 82.6410141042 75.8424292650 75.8424292650 0.3423573578 0.4540514348
0.9719301427 0.9008236290 3.3035109990 2.8057654028 81.4889168894 73.6941154187 73.6941154187 0.9719301427 0.9008236290
0.3302712556 0.5263095425 -1.1881012111 0.1841667976 77.1115335164 72.6645744581 72.6645744581 0.3302712556 0.5263095425
0.0946556280 0.3490761326 -2.8374106037 -1.0564670719 70.8965587596 71.5276720197 70.8965587596 0.0946556280 0.3490761326
0.2488710230 0.8677915516 -1.7579028388 2.5745408612 68.5191008387 73.8930861798 68.5191008387 0.2488710230 0.8677915516
0.7569915028 0.3778754024 1.7989405198 -0.8548721830 66.9009549470 65.0412603943 65.0412603943 0.7569915028 0.3778754024
