# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 87.3554775120 680 5 12 12
10 7455 89.9344094083 1282 9 12 12
20 13705 89.9344094083 2161 10 12 12
30 19955 89.9344094083 3015 11 12 12
40 26205 89.9859386640 3853 11 12 12
50 32455 89.9859386640 4681 11 12 12
60 38705 89.9928304975 5529 12 12 12
70 44955 89.9931455039 6361 12 12 12
80 51205 89.9945386399 7227 12 12 12
90 57455 89.9957294697 8081 12 12 12
100 63705 89.9958618560 8925 12 12 12
110 69955 89.9958709603 9795 12 12 12
120 76205 89.9958970031 10663 12 12 12
130 82455 89.9958970031 11524 12 12 12
140 88705 89.9959014550 12461 13 12 12
150 94955 89.9959014550 13380 13 12 12
159 100000 89.9959014550 14053 13 12 0
