# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 81.8721027180 674 5 12 12
10 7455 89.8552283585 1251 8 12 12
20 13705 89.9785380856 2070 9 12 12
30 19955 89.9785380856 2959 10 12 12
40 26205 89.9785380856 3860 10 12 12
50 32455 89.9785380856 4713 11 12 12
60 38705 89.9964006029 5567 11 12 12
70 44955 89.9977250746 6448 11 12 12
80 51205 89.9980364832 7309 11 12 12
90 57455 89.9992174982 8168 11 12 12
100 63705 89.9992684243 9008 11 12 12
110 69955 89.9993479171 9923 12 12 12
120 76205 89.9994277136 10839 12 12 12
130 82455 89.9995282565 11813 12 12 12
140 88705 89.9995787954 12756 12 12 12
150 94955 89.9996225885 13663 12 12 12
159 100000 89.9996638566 14422 12 12 0
