# from_x0 from_x1 to_x0 to_x1 length
1.5332938331 -2.7629632297 1.5332938331 -2.7629717151 0.0000012122
1.5332938331 -2.7629592330 1.5332938331 -2.7629632297 0.0000005710
1.5332938331 -2.7629428778 1.5332938331 -2.7629592330 0.0000023365
1.5332938331 -2.7629423882 1.5332938331 -2.7629428778 0.0000000699
1.5332938331 -2.7629373697 1.5332938331 -2.7629423882 0.0000007169
1.5332938331 -2.7629321730 1.5332938331 -2.7629373697 0.0000007424
1.5332938331 -2.7629319180 1.5332938331 -2.7629321730 0.0000000364
1.5332938331 -2.7629288402 1.5332938331 -2.7629319180 0.0000004397
1.5332938331 -2.7629261839 1.5332938331 -2.7629288402 0.0000003795
1.5332938331 -2.7629168840 1.5332938331 -2.7629261839 0.0000013286
1.5332938331 -2.7629163944 1.5332938331 -2.7629168840 0.0000000699
1.5332938331 -2.7629117694 1.5332938331 -2.7629163944 0.0000006607
1.5332938331 -2.7629057803 1.5332938331 -2.7629117694 0.0000008556
1.5332938331 -2.7629052118 1.5332938331 -2.7629057803 0.0000000812
1.5332938331 -2.7629035418 1.5332938331 -2.7629052118 0.0000002386
1.5332938331 -2.7628959590 1.5332938331 -2.7629035418 0.0000010833
1.5332938331 -2.7628924713 1.5332938331 -2.7628959590 0.0000004982
1.5332938331 -2.7628917215 1.5332938331 -2.7628924713 0.0000001071
1.5332938331 -2.7628886239 1.5332938331 -2.7628917215 0.0000004425
1.5332938331 -2.7628869636 1.5332938331 -2.7628886239 0.0000002372
1.5332938331 -2.7628869104 1.5332938331 -2.7628869636 0.0000000076
1.5332938331 -2.7628865798 1.5332938331 -2.7628869104 0.0000000472
1.5332938331 -2.7628824037 1.5332938331 -2.7628865798 0.0000005966
1.5332938331 -2.7628783463 1.5332938331 -2.7628824037 0.0000005796
1.5332938331 -2.7628772089 1.5332938331 -2.7628783463 0.0000001625
1.5332938331 -2.7628769840 1.5332938331 -2.7628772089 0.0000000321
1.5332938331 -2.7628742803 1.5332938331 -2.7628769840 0.0000003862
1.5332938331 -2.7628709831 1.5332938331 -2.7628742803 0.0000004710
1.5332938331 -2.7628709417 1.5332938331 -2.7628709831 0.0000000059
1.5332938331 -2.7628679206 1.5332938331 -2.7628709417 0.0000004316
1.5332938331 -2.7628653119 1.5332938331 -2.7628679206 0.0000003727
1.5332938331 -2.7628638471 1.5332938331 -2.7628653119 0.0000002092
1.5332938331 -2.7628636493 1.5332938331 -2.7628638471 0.0000000283
1.5332938331 -2.7628609617 1.5332938331 -2.7628636493 0.0000003839
1.5332938331 -2.7628597832 1.5332938331 -2.7628609617 0.0000001684
1.5332938331 -2.7628582718 1.5332938331 -2.7628597832 0.0000002159
1.5332938331 -2.7628565804 1.5332938331 -2.7628582718 0.0000002416
1.5332938331 -2.7628565272 1.5332938331 -2.7628565804 0.0000000076
1.5332938331 -2.7628564955 1.5332938331 -2.7628565272 0.0000000045
1.5332938331 -2.7628538323 1.5332938331 -2.7628564955 0.0000003804
1.5332938331 -2.7628527287 1.5332938331 -2.7628538323 0.0000001577
1.5332938331 -2.7628524045 1.5332938331 -2.7628527287 0.0000000463
1.5332938331 -2.7628515232 1.5332938331 -2.7628524045 0.0000001259
1.5332938331 -2.7628505381 1.5332938331 -2.7628515232 0.0000001407
1.5332938331 -2.7628488031 1.5332938331 -2.7628505381 0.0000002479
1.5332938331 -2.7628476707 1.5332938331 -2.7628488031 0.0000001618
1.5332938331 -2.7628474498 1.5332938331 -2.7628476707 0.0000000316
1.5332938331 -2.7628465015 1.5332938331 -2.7628474498 0.0000001355
1.5332938331 -2.7628448952 1.5332938331 -2.7628465015 0.0000002295
1.5332938331 -2.7628437223 1.5332938331 -2.7628448952 0.0000001675
1.5332938331 -2.7628437183 1.5332938331 -2.7628437223 0.0000000006
1.5332938331 -2.7628408606 1.5332938331 -2.7628437183 0.0000004082
1.5332938331 -2.7628406825 1.5332938331 -2.7628408606 0.0000000254
