# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.4341584405 0.8775769856 -0.4608909164 2.6430388992 89.9999999999 90.0000000000 89.9999999999 0.4341584405 0.8775769856
0.4341584405 0.8775769856 -0.4608909164 2.6430388992 89.9999999999 90.0000000000 89.9999999999 0.4341584405 0.8775769856
0.4341584194 0.8775768488 -0.4608910643 2.6430379416 89.9999999989 89.9999999999 89.9999999989 0.4341584194 0.8775768488
0.4341584938 0.8775771963 -0.4608905432 2.6430403743 89.9999999984 89.9999999999 89.9999999984 0.4341584938 0.8775771963
0.4341584466 0.8775768403 -0.4608908736 2.6430378823 89.9999999997 89.9999999997 89.9999999997 0.4341584466 0.8775768403
0.4341583753 0.8775767280 -0.4608913726 2.6430370963 89.9999999952 89.9999999995 89.9999999952 0.4341583753 0.8775767280
0.4341584958 0.8775769421 -0.4608905296 2.6430385946 89.9999999995 89.9999999994 89.9999999994 0.4341584958 0.8775769421
0.4341584106 0.8775771168 -0.4608911259 2.6430398175 89.9999999997 89.9999999993 89.9999999993 0.4341584106 0.8775771168
0.4341583935 0.8775769870 -0.4608912456 2.6430389089 89.9999999985 89.9999999992 89.9999999985 0.4341583935 0.8775769870
0.4341585217 0.8775770446 -0.4608903478 2.6430393121 89.9999999978 89.9999999990 89.9999999978 0.4341585217 0.8775770446
0.4341585312 0.8775770608 -0.4608902819 2.6430394256 89.9999999971 89.9999999988 89.9999999971 0.4341585312 0.8775770608
0.4341583745 0.8775769870 -0.4608913784 2.6430389089 89.9999999974 89.9999999986 89.9999999974 0.4341583745 0.8775769870
0.4341583899 0.8775771281 -0.4608912705 2.6430398967 89.9999999991 89.9999999986 89.9999999986 0.4341583899 0.8775771281
0.4341583207 0.8775765668 -0.4608917549 2.6430359678 89.9999999865 89.9999999984 89.9999999865 0.4341583207 0.8775765668
0.4341583059 0.8775764968 -0.4608918588 2.6430354776 89.9999999829 89.9999999981 89.9999999829 0.4341583059 0.8775764968
0.4341583486 0.8775769040 -0.4608915597 2.6430383282 89.9999999946 89.9999999980 89.9999999946 0.4341583486 0.8775769040
0.4341583474 0.8775769651 -0.4608915683 2.6430387555 89.9999999952 89.9999999976 89.9999999952 0.4341583474 0.8775769651
0.4341584340 0.8775765453 -0.4608909623 2.6430358173 89.9999999973 89.9999999975 89.9999999973 0.4341584340 0.8775765453
0.4341584094 0.8775764790 -0.4608911340 2.6430353530 89.9999999956 89.9999999975 89.9999999956 0.4341584094 0.8775764790
0.4341582846 0.8775764748 -0.4608920077 2.6430353235 89.9999999787 89.9999999973 89.9999999787 0.4341582846 0.8775764748
0.4341583201 0.8775767903 -0.4608917594 2.6430375323 89.9999999900 89.9999999972 89.9999999900 0.4341583201 0.8775767903
0.4341584106 0.8775764512 -0.4608911259 2.6430351586 89.9999999953 89.9999999971 89.9999999953 0.4341584106 0.8775764512
0.4341583355 0.8775770173 -0.4608916516 2.6430391209 89.9999999946 89.9999999967 89.9999999946 0.4341583355 0.8775770173
0.4341582856 0.8775765981 -0.4608920011 2.6430361869 89.9999999815 89.9999999965 89.9999999815 0.4341582856 0.8775765981
0.4341583011 0.8775767903 -0.4608918924 2.6430375323 89.9999999875 89.9999999962 89.9999999875 0.4341583011 0.8775767903
0.4341583374 0.8775771106 -0.4608916380 2.6430397745 89.9999999958 89.9999999961 89.9999999958 0.4341583374 0.8775771106
0.4341583879 0.8775763093 -0.4608912845 2.6430341650 89.9999999914 89.9999999959 89.9999999914 0.4341583879 0.8775763093
0.4341583156 0.8775769666 -0.4608917907 2.6430387665 89.9999999920 89.9999999958 89.9999999920 0.4341583156 0.8775769666
0.4341583355 0.8775761646 -0.4608916518 2.6430331521 89.9999999812 89.9999999958 89.9999999812 0.4341583355 0.8775761646
0.4341585253 0.8775777358 -0.4608903230 2.6430441509 89.9999999898 89.9999999957 89.9999999898 0.4341585253 0.8775777358
0.4341582406 0.8775763540 -0.4608923159 2.6430344783 89.9999999665 89.9999999955 89.9999999665 0.4341582406 0.8775763540
0.4341583075 0.8775769744 -0.4608918475 2.6430388211 89.9999999911 89.9999999952 89.9999999911 0.4341583075 0.8775769744
0.4341582698 0.8775766614 -0.4608921111 2.6430366296 89.9999999800 89.9999999951 89.9999999800 0.4341582698 0.8775766614
0.4341582390 0.8775764052 -0.4608923267 2.6430348366 89.9999999676 89.9999999950 89.9999999676 0.4341582390 0.8775764052
0.4341583175 0.8775771169 -0.4608917777 2.6430398180 89.9999999940 89.9999999948 89.9999999940 0.4341583175 0.8775771169
0.4341583490 0.8775773376 -0.4608915569 2.6430413631 89.9999999983 89.9999999948 89.9999999948 0.4341583490 0.8775773376
0.4341583355 0.8775772800 -0.4608916517 2.6430409602 89.9999999971 89.9999999947 89.9999999947 0.4341583355 0.8775772800
0.4341583738 0.8775762001 -0.4608913835 2.6430334006 89.9999999879 89.9999999947 89.9999999879 0.4341583738 0.8775762001
0.4341583075 0.8775770693 -0.4608918475 2.6430394849 89.9999999924 89.9999999945 89.9999999924 0.4341583075 0.8775770693
0.4341584105 0.8775762706 -0.4608911262 2.6430338939 89.9999999924 89.9999999943 89.9999999924 0.4341584105 0.8775762706
0.4341583047 0.8775770675 -0.4608918671 2.6430394725 89.9999999921 89.9999999943 89.9999999921 0.4341583047 0.8775770675
0.4341584977 0.8775777506 -0.4608905161 2.6430442545 89.9999999920 89.9999999942 89.9999999920 0.4341584977 0.8775777506
0.4341582662 0.8775767504 -0.4608921368 2.6430372526 89.9999999812 89.9999999941 89.9999999812 0.4341582662 0.8775767504
0.4341583795 0.8775761646 -0.4608913435 2.6430331521 89.9999999881 89.9999999938 89.9999999881 0.4341583795 0.8775761646
0.4341583355 0.8775760438 -0.4608916518 2.6430323069 89.9999999787 89.9999999937 89.9999999787 0.4341583355 0.8775760438
0.4341582720 0.8775768936 -0.4608920958 2.6430382549 89.9999999850 89.9999999933 89.9999999850 0.4341582720 0.8775768936
0.4341584531 0.8775777358 -0.4608908283 2.6430441509 89.9999999944 89.9999999922 89.9999999922 0.4341584531 0.8775777358
0.4341583075 0.8775774011 -0.4608918475 2.6430418077 89.9999999961 89.9999999914 89.9999999914 0.4341583075 0.8775774011
0.4341582795 0.8775771867 -0.4608920438 2.6430403066 89.9999999908 89.9999999911 89.9999999908 0.4341582795 0.8775771867
0.4341583390 0.8775775140 -0.4608916273 2.6430425977 89.9999999989 89.9999999907 89.9999999907 0.4341583390 0.8775775140
0.4341582516 0.8775772650 -0.4608922385 2.6430408553 89.9999999884 89.9999999873 89.9999999873 0.4341582516 0.8775772650
0.4341588874 0.8775787853 -0.4608877884 2.6430514969 89.9999998329 89.9999999873 89.9999998329 0.4341588874 0.8775787853
0.4341581064 0.8775760438 -0.4608932550 2.6430323069 89.9999999153 89.9999999868 89.9999999153 0.4341581064 0.8775760438
0.4341583946 0.8775778333 -0.4608912380 2.6430448334 89.9999999955 89.9999999861 89.9999999861 0.4341583946 0.8775778333
