# from_x0 from_x1 to_x0 to_x1 length
-2.4229988505 -0.9024019022 -2.4229988931 -0.9024018744 0.0000000073
-2.4229991077 -0.9024016352 -2.4229989986 -0.9024016792 0.0000000168
-2.4229991088 -0.9024016341 -2.4229989986 -0.9024016792 0.0000000170
-2.4229988822 -0.9024018000 -2.4229989116 -0.9024018361 0.0000000066
-2.4229988883 -0.9024019889 -2.4229988931 -0.9024018744 0.0000000164
-2.4229988822 -0.9024019952 -2.4229988931 -0.9024018744 0.0000000173
-2.4229988735 -0.9024020042 -2.4229988931 -0.9024018744 0.0000000188
-2.4229987763 -0.9024019792 -2.4229988735 -0.9024020042 0.0000000143
-2.4229987670 -0.9024019889 -2.4229988735 -0.9024020042 0.0000000154
-2.4229987566 -0.9024019996 -2.4229987763 -0.9024019792 0.0000000041
-2.4229987555 -0.9024020008 -2.4229987763 -0.9024019792 0.0000000043
-2.4229986469 -0.9024021135 -2.4229987555 -0.9024020008 0.0000000224
-2.4229993072 -0.9024014282 -2.4229991088 -0.9024016341 0.0000000408
-2.4229985974 -0.9024021649 -2.4229986469 -0.9024021135 0.0000000102
-2.4229993788 -0.9024013978 -2.4229993072 -0.9024014282 0.0000000111
-2.4229986696 -0.9024017679 -2.4229988822 -0.9024018000 0.0000000307
-2.4229995136 -0.9024012140 -2.4229993788 -0.9024013978 0.0000000326
-2.4229986696 -0.9024017239 -2.4229986696 -0.9024017679 0.0000000063
-2.4229995241 -0.9024012031 -2.4229995136 -0.9024012140 0.0000000022
-2.4229995743 -0.9024011510 -2.4229995241 -0.9024012031 0.0000000103
-2.4229995803 -0.9024011447 -2.4229995241 -0.9024012031 0.0000000116
-2.4229985227 -0.9024019204 -2.4229986696 -0.9024017679 0.0000000302
-2.4229983907 -0.9024021781 -2.4229985974 -0.9024021649 0.0000000296
-2.4229981878 -0.9024025901 -2.4229983907 -0.9024021781 0.0000000656
-2.4229998249 -0.9024008909 -2.4229995803 -0.9024011447 0.0000000504
-2.4229996705 -0.9024001800 -2.4229998249 -0.9024008909 0.0000001039
-2.4229999141 -0.9024007982 -2.4229998249 -0.9024008909 0.0000000184
-2.4230000905 -0.9024006152 -2.4229999141 -0.9024007982 0.0000000363
-2.4229978405 -0.9024029505 -2.4229981878 -0.9024025901 0.0000000715
-2.4229978405 -0.9024029443 -2.4229978405 -0.9024029505 0.0000000009
-2.4230001456 -0.9024005579 -2.4230000905 -0.9024006152 0.0000000114
-2.4229977698 -0.9024030239 -2.4229978405 -0.9024029505 0.0000000146
-2.4230006953 -0.9023994018 -2.4230001456 -0.9024005579 0.0000001829
-2.4230004040 -0.9024002898 -2.4230001456 -0.9024005579 0.0000000532
-2.4229977567 -0.9024024519 -2.4229981878 -0.9024025901 0.0000000647
-2.4230006111 -0.9024000748 -2.4230004040 -0.9024002898 0.0000000426
-2.4229973286 -0.9024034818 -2.4229977698 -0.9024030239 0.0000000908
-2.4229974070 -0.9024028148 -2.4229977698 -0.9024030239 0.0000000598
-2.4229970032 -0.9024038196 -2.4229973286 -0.9024034818 0.0000000670
-2.4229970670 -0.9024036325 -2.4229970032 -0.9024038196 0.0000000282
-2.4230009940 -0.9023996775 -2.4230006953 -0.9023994018 0.0000000581
-2.4230010632 -0.9023996056 -2.4230009940 -0.9023996775 0.0000000143
-2.4230007067 -0.9023980398 -2.4230006953 -0.9023994018 0.0000001946
-2.4229967826 -0.9024040485 -2.4229970032 -0.9024038196 0.0000000454
-2.4229967381 -0.9024040947 -2.4229967826 -0.9024040485 0.0000000092
-2.4230012158 -0.9023996485 -2.4230010632 -0.9023996056 0.0000000227
-2.4230014845 -0.9023991683 -2.4230012158 -0.9023996485 0.0000000786
-2.4229960525 -0.9024048063 -2.4229967381 -0.9024040947 0.0000001411
-2.4230026789 -0.9023959928 -2.4230007067 -0.9023980398 0.0000004061
-2.4230020165 -0.9023986162 -2.4230014845 -0.9023991683 0.0000001095
-2.4230014950 -0.9024002221 -2.4230012158 -0.9023996485 0.0000000911
-2.4230022470 -0.9023983769 -2.4230020165 -0.9023986162 0.0000000475
-2.4230025699 -0.9023980418 -2.4230022470 -0.9023983769 0.0000000665
-2.4229955271 -0.9024050296 -2.4229960525 -0.9024048063 0.0000000816
-2.4229955271 -0.9024049856 -2.4229955271 -0.9024050296 0.0000000063
-2.4230027168 -0.9023978094 -2.4230025699 -0.9023980418 0.0000000393
-2.4230027108 -0.9023978956 -2.4230027168 -0.9023978094 0.0000000123
-2.4230027168 -0.9023978893 -2.4230027108 -0.9023978956 0.0000000012
-2.4229955566 -0.9024047354 -2.4229955271 -0.9024049856 0.0000000360
-2.4230028735 -0.9023977266 -2.4230027168 -0.9023978094 0.0000000253
-2.4229953583 -0.9024049413 -2.4229955271 -0.9024049856 0.0000000249
-2.4229949295 -0.9024059719 -2.4229955271 -0.9024050296 0.0000001594
-2.4230034138 -0.9023971659 -2.4230028735 -0.9023977266 0.0000001112
-2.4230034757 -0.9023974237 -2.4230034138 -0.9023971659 0.0000000379
-2.4229942460 -0.9024066813 -2.4229949295 -0.9024059719 0.0000001407
-2.4230037536 -0.9023968132 -2.4230034138 -0.9023971659 0.0000000700
-2.4230039840 -0.9023965740 -2.4230037536 -0.9023968132 0.0000000474
-2.4229938607 -0.9024070813 -2.4229942460 -0.9024066813 0.0000000793
-2.4229949105 -0.9024040559 -2.4229955566 -0.9024047354 0.0000001340
-2.4230046019 -0.9023959327 -2.4230039840 -0.9023965740 0.0000001272
-2.4230050208 -0.9023954979 -2.4230046019 -0.9023959327 0.0000000863
-2.4229932526 -0.9024071268 -2.4229938607 -0.9024070813 0.0000000871
-2.4230058004 -0.9023936241 -2.4230050208 -0.9023954979 0.0000002899
-2.4229927815 -0.9024082014 -2.4229932526 -0.9024071268 0.0000001676
-2.4230051776 -0.9023953352 -2.4230050208 -0.9023954979 0.0000000323
-2.4230052989 -0.9023952093 -2.4230051776 -0.9023953352 0.0000000250
-2.4229933278 -0.9024065697 -2.4229932526 -0.9024071268 0.0000000803
-2.4229936432 -0.9024053711 -2.4229933278 -0.9024065697 0.0000001770
-2.4229923284 -0.9024086717 -2.4229927815 -0.9024082014 0.0000000933
-2.4230058593 -0.9023946276 -2.4230052989 -0.9023952093 0.0000001154
-2.4229920845 -0.9024089248 -2.4229923284 -0.9024086717 0.0000000502
-2.4230059303 -0.9023945539 -2.4230058593 -0.9023946276 0.0000000146
-2.4229917735 -0.9024092476 -2.4229920845 -0.9024089248 0.0000000640
-2.4230062090 -0.9023942647 -2.4230059303 -0.9023945539 0.0000000574
-2.4230064870 -0.9023939761 -2.4230062090 -0.9023942647 0.0000000573
-2.4230063878 -0.9023944012 -2.4230062090 -0.9023942647 0.0000000321
-2.4229912915 -0.9024097478 -2.4229917735 -0.9024092476 0.0000000992
-2.4229911458 -0.9024098991 -2.4229912915 -0.9024097478 0.0000000300
-2.4230069059 -0.9023935413 -2.4230064870 -0.9023939761 0.0000000863
-2.4230072458 -0.9023931885 -2.4230069059 -0.9023935413 0.0000000700
-2.4230073249 -0.9023931065 -2.4230072458 -0.9023931885 0.0000000163
-2.4230071730 -0.9023937432 -2.4230069059 -0.9023935413 0.0000000478
-2.4230083054 -0.9023912176 -2.4230073249 -0.9023931065 0.0000003040
-2.4229900243 -0.9024110631 -2.4229911458 -0.9024098991 0.0000002309
-2.4230079428 -0.9023924651 -2.4230073249 -0.9023931065 0.0000001272
-2.4230080294 -0.9023923752 -2.4230079428 -0.9023924651 0.0000000178
-2.4230087911 -0.9023915847 -2.4230083054 -0.9023912176 0.0000000870
-2.4230088777 -0.9023914947 -2.4230087911 -0.9023915847 0.0000000178
-2.4229888417 -0.9024122905 -2.4229900243 -0.9024110631 0.0000002435
-2.4230092100 -0.9023911499 -2.4230088777 -0.9023914947 0.0000000684
-2.4230102041 -0.9023901181 -2.4230092100 -0.9023911499 0.0000002047
-2.4230103334 -0.9023899838 -2.4230102041 -0.9023901181 0.0000000266
-2.4230104853 -0.9023898262 -2.4230103334 -0.9023899838 0.0000000313
-2.4230109513 -0.9023893425 -2.4230104853 -0.9023898262 0.0000000960
-2.4230110951 -0.9023891933 -2.4230109513 -0.9023893425 0.0000000296
-2.4230111817 -0.9023891033 -2.4230110951 -0.9023891933 0.0000000178
-2.4230112245 -0.9023890590 -2.4230111817 -0.9023891033 0.0000000088
-2.4230113801 -0.9023888974 -2.4230112245 -0.9023890590 0.0000000320
-2.4230121645 -0.9023870187 -2.4230113801 -0.9023888974 0.0000002908
-2.4229859753 -0.9024152657 -2.4229888417 -0.9024122905 0.0000005902
-2.4230122186 -0.9023880272 -2.4230121645 -0.9023870187 0.0000001443
-2.4230129802 -0.9023872366 -2.4230121645 -0.9023870187 0.0000001206
-2.4230133992 -0.9023868018 -2.4230129802 -0.9023872366 0.0000000863
-2.4230144360 -0.9023857257 -2.4230133992 -0.9023868018 0.0000002135
-2.4230145226 -0.9023856358 -2.4230144360 -0.9023857257 0.0000000178
-2.4230155594 -0.9023845596 -2.4230145226 -0.9023856358 0.0000002135
-2.4230201149 -0.9023683330 -2.4230155594 -0.9023845596 0.0000024077
-2.4229817861 -0.9024196137 -2.4229859753 -0.9024152657 0.0000008625
-2.4230168266 -0.9023832444 -2.4230155594 -0.9023845596 0.0000002609
-2.4229909398 -0.9024310190 -2.4229817861 -0.9024196137 0.0000020892
-2.4230178089 -0.9023822249 -2.4230168266 -0.9023832444 0.0000002022
-2.4229817861 -0.9024160941 -2.4229817861 -0.9024196137 0.0000005028
-2.4230145226 -0.9023920351 -2.4230113801 -0.9023888974 0.0000006344
-2.4230200157 -0.9023799344 -2.4230178089 -0.9023822249 0.0000004544
-2.4230205192 -0.9023794118 -2.4230200157 -0.9023799344 0.0000001037
-2.4229766940 -0.9024248989 -2.4229817861 -0.9024196137 0.0000010484
-2.4230219980 -0.9023778769 -2.4230205192 -0.9023794118 0.0000003045
-2.4230225403 -0.9023773141 -2.4230219980 -0.9023778769 0.0000001116
-2.4229741694 -0.9024275192 -2.4229766940 -0.9024248989 0.0000005198
-2.4230254255 -0.9023743194 -2.4230225403 -0.9023773141 0.0000005941
-2.4230267294 -0.9023729660 -2.4230254255 -0.9023743194 0.0000002685
-2.4229702563 -0.9024315807 -2.4229741694 -0.9024275192 0.0000008057
-2.4230309186 -0.9023686180 -2.4230267294 -0.9023729660 0.0000008625
-2.4229653901 -0.9024617187 -2.4229702563 -0.9024315807 0.0000043612
-2.4230325277 -0.9023669479 -2.4230309186 -0.9023686180 0.0000003313
-2.4230350523 -0.9023643276 -2.4230325277 -0.9023669479 0.0000005198
-2.4230367169 -0.9023625999 -2.4230350523 -0.9023643276 0.0000003427
-2.4229595919 -0.9024426496 -2.4229702563 -0.9024315807 0.0000021958
-2.4230396425 -0.9023595633 -2.4230367169 -0.9023625999 0.0000006024
-2.4229580495 -0.9024442505 -2.4229595919 -0.9024426496 0.0000003176
-2.4230413070 -0.9023578356 -2.4230396425 -0.9023595633 0.0000003427
-2.4230438316 -0.9023552153 -2.4230413070 -0.9023578356 0.0000005198
-2.4229515742 -0.9024509713 -2.4229580495 -0.9024442505 0.0000013332
-2.4230519804 -0.9023391686 -2.4230438316 -0.9023552153 0.0000025710
-2.4230472591 -0.9023516578 -2.4230438316 -0.9023552153 0.0000007057
-2.4230480208 -0.9023508673 -2.4230472591 -0.9023516578 0.0000001568
-2.4229499096 -0.9024526990 -2.4229515742 -0.9024509713 0.0000003427
-2.4229473850 -0.9024553194 -2.4229499096 -0.9024526990 0.0000005198
-2.4229448604 -0.9024579397 -2.4229473850 -0.9024553194 0.0000005198
-2.4229519752 -0.9024390128 -2.4229580495 -0.9024442505 0.0000011458
-2.4230535410 -0.9023451378 -2.4230519804 -0.9023391686 0.0000008814
-2.4229473850 -0.9024489711 -2.4229499096 -0.9024526990 0.0000006432
-2.4230191128 -0.9023117604 -2.4230519804 -0.9023391686 0.0000061137
-2.4230740435 -0.9022857011 -2.4230519804 -0.9023391686 0.0000082630
-2.4229192387 -0.9025218015 -2.4229448604 -0.9024579397 0.0000098300
-2.4229167141 -0.9025251645 -2.4229192387 -0.9025218015 0.0000006007
-2.4230611576 -0.9023372323 -2.4230519804 -0.9023391686 0.0000013399
-2.4229297316 -0.9024736422 -2.4229448604 -0.9024579397 0.0000031150
-2.4230740435 -0.9023203381 -2.4230611576 -0.9023372323 0.0000030354
-2.4230740435 -0.9023238577 -2.4230740435 -0.9023203381 0.0000005028
-2.4230782327 -0.9023195097 -2.4230740435 -0.9023203381 0.0000006100
-2.4230816602 -0.9023159522 -2.4230782327 -0.9023195097 0.0000007057
-2.4229146485 -0.9024892973 -2.4229297316 -0.9024736422 0.0000031056
-2.4228924543 -0.9025751521 -2.4229167141 -0.9025251645 0.0000079376
-2.4228981805 -0.9025157536 -2.4229167141 -0.9025251645 0.0000029694
-2.4230938941 -0.9023032543 -2.4230816602 -0.9023159522 0.0000025189
-2.4231185859 -0.9022396151 -2.4230740435 -0.9022857011 0.0000091562
-2.4230715189 -0.9023644892 -2.4230535410 -0.9023451378 0.0000037734
-2.4230740435 -0.9023620143 -2.4230715189 -0.9023644892 0.0000005050
-2.4228924543 -0.9025123332 -2.4228981805 -0.9025157536 0.0000009529
-2.4231067800 -0.9022898798 -2.4230938941 -0.9023032543 0.0000026532
-2.4231245646 -0.9022505147 -2.4231185859 -0.9022396151 0.0000017759
-2.4231143967 -0.9022819743 -2.4231067800 -0.9022898798 0.0000015682
-2.4229679376 -0.9022858595 -2.4230191128 -0.9023117604 0.0000081938
-2.4231739176 -0.9021524353 -2.4231185859 -0.9022396151 0.0000147509
-2.4228521011 -0.9025752028 -2.4228924543 -0.9025751521 0.0000057647
-2.4231324018 -0.9022632864 -2.4231245646 -0.9022505147 0.0000021407
-2.4228603572 -0.9025456474 -2.4228521011 -0.9025752028 0.0000043838
-2.4228597178 -0.9025463111 -2.4228603572 -0.9025456474 0.0000001317
-2.4231411811 -0.9022541741 -2.4231324018 -0.9022632864 0.0000018076
-2.4228521011 -0.9025542166 -2.4228597178 -0.9025463111 0.0000015682
-2.4230145226 -0.9025954971 -2.4229192387 -0.9025218015 0.0000172082
-2.4228523396 -0.9025401712 -2.4228597178 -0.9025463111 0.0000013713
-2.4228326949 -0.9025881567 -2.4228521011 -0.9025752028 0.0000033332
-2.4231961119 -0.9021408793 -2.4231739176 -0.9021524353 0.0000035746
-2.4231633754 -0.9022311382 -2.4231411811 -0.9022541741 0.0000045697
-2.4228924543 -0.9026840379 -2.4228924543 -0.9025751521 0.0000155551
-2.4228299068 -0.9025772525 -2.4228326949 -0.9025881567 0.0000016079
-2.4228924543 -0.9024100041 -2.4229519752 -0.9024390128 0.0000094591
-2.4231739176 -0.9022201962 -2.4231633754 -0.9022311382 0.0000021706
-2.4228924543 -0.9027016968 -2.4228924543 -0.9026840379 0.0000025227
-2.4231739176 -0.9022658093 -2.4231411811 -0.9022541741 0.0000049632
-2.4227925802 -0.9026159947 -2.4228326949 -0.9025881567 0.0000069754
-2.4231961119 -0.9022134426 -2.4231739176 -0.9022201962 0.0000033141
-2.4231617108 -0.9023035662 -2.4231739176 -0.9022658093 0.0000056687
-2.4232066541 -0.9021977606 -2.4231961119 -0.9022134426 0.0000026995
-2.4228924543 -0.9023406285 -2.4228924543 -0.9024100041 0.0000099108
-2.4232288484 -0.9021631823 -2.4231961119 -0.9021408793 0.0000056588
-2.4232364651 -0.9021552768 -2.4232288484 -0.9021631823 0.0000015682
-2.4227401740 -0.9026819306 -2.4227925802 -0.9026159947 0.0000120322
-2.4232959860 -0.9020241231 -2.4232364651 -0.9021552768 0.0000205754
-2.4232959860 -0.9020257379 -2.4232959860 -0.9020241231 0.0000002307
-2.4232959860 -0.9020363296 -2.4232959860 -0.9020257379 0.0000015131
-2.4232632495 -0.9021274767 -2.4232364651 -0.9021552768 0.0000055148
-2.4228924543 -0.9028245235 -2.4228924543 -0.9027016968 0.0000175467
-2.4227106265 -0.9027148542 -2.4227401740 -0.9026819306 0.0000063197
-2.4226705118 -0.9029488266 -2.4227106265 -0.9027148542 0.0000339123
-2.4226705118 -0.9028055110 -2.4227106265 -0.9027148542 0.0000141622
-2.4232959860 -0.9020934988 -2.4232632495 -0.9021274767 0.0000067403
-2.4232737917 -0.9021621477 -2.4232632495 -0.9021274767 0.0000051769
-2.4231329429 -0.9025458159 -2.4230145226 -0.9025954971 0.0000183456
-2.4232959860 -0.9021280491 -2.4232632495 -0.9021274767 0.0000046774
-2.4232959860 -0.9021307672 -2.4232959860 -0.9021280491 0.0000003883
-2.4232959860 -0.9021316554 -2.4232959860 -0.9021307672 0.0000001269
-2.4226705118 -0.9027426921 -2.4227106265 -0.9027148542 0.0000069754
-2.4227238009 -0.9025970204 -2.4227925802 -0.9026159947 0.0000101926
-2.4226705118 -0.9027130879 -2.4226705118 -0.9027426921 0.0000042292
-2.4234180543 -0.9018617720 -2.4232959860 -0.9020241231 0.0000290174
-2.4228924543 -0.9021307672 -2.4229679376 -0.9022858595 0.0000246408
-2.4232959860 -0.9021972667 -2.4232737917 -0.9021621477 0.0000059349
-2.4226705118 -0.9026749313 -2.4226705118 -0.9027130879 0.0000054509
-2.4234042059 -0.9019694569 -2.4234180543 -0.9018617720 0.0000155102
-2.4234042059 -0.9019811750 -2.4234042059 -0.9019694569 0.0000016740
-2.4232959860 -0.9022652034 -2.4232959860 -0.9021972667 0.0000097052
-2.4232959860 -0.9022821678 -2.4232959860 -0.9022652034 0.0000024235
-2.4234042059 -0.9020257379 -2.4234042059 -0.9019811750 0.0000063661
-2.4226705118 -0.9025709875 -2.4227238009 -0.9025970204 0.0000084726
-2.4235179284 -0.9017581105 -2.4234180543 -0.9018617720 0.0000205638
-2.4226956909 -0.9031809737 -2.4226705118 -0.9029488266 0.0000333584
-2.4235179284 -0.9017953790 -2.4235179284 -0.9017581105 0.0000053241
-2.4231329429 -0.9016660068 -2.4234180543 -0.9018617720 0.0000494072
-2.4236261483 -0.9015409547 -2.4235179284 -0.9017581105 0.0000346611
-2.4232959860 -0.9024056891 -2.4232959860 -0.9022821678 0.0000176459
-2.4224889225 -0.9029311677 -2.4226705118 -0.9029488266 0.0000260637
-2.4236995177 -0.9013624740 -2.4236261483 -0.9015409547 0.0000275675
-2.4233958601 -0.9021996985 -2.4232959860 -0.9021972667 0.0000142720
-2.4236261483 -0.9016358732 -2.4236261483 -0.9015409547 0.0000135598
-2.4224889225 -0.9028617920 -2.4224889225 -0.9029311677 0.0000099108
-2.4236261483 -0.9016814404 -2.4236261483 -0.9016358732 0.0000065096
-2.4231601487 -0.9015173259 -2.4231329429 -0.9016660068 0.0000215928
-2.4224485694 -0.9029036755 -2.4224889225 -0.9029311677 0.0000069755
-2.4234042059 -0.9022933653 -2.4233958601 -0.9021996985 0.0000134340
-2.4236261483 -0.9017499279 -2.4236261483 -0.9016814404 0.0000097839
-2.4236261483 -0.9017508160 -2.4236261483 -0.9017499279 0.0000001269
-2.4235996436 -0.9018384775 -2.4236261483 -0.9017508160 0.0000130830
-2.4238077376 -0.9013524792 -2.4236995177 -0.9013624740 0.0000155258
-2.4236995177 -0.9016441719 -2.4236261483 -0.9016358732 0.0000105482
-2.4234775753 -0.9023905331 -2.4234042059 -0.9022933653 0.0000173938
-2.4240296800 -0.9009722504 -2.4238077376 -0.9013524792 0.0000628949
-2.4221587602 -0.9033194176 -2.4224485694 -0.9029036755 0.0000723978
-2.4236995177 -0.9018540332 -2.4235996436 -0.9018384775 0.0000144398
-2.4236261483 -0.9020630064 -2.4236995177 -0.9018540332 0.0000316398
-2.4240296800 -0.9010197912 -2.4240296800 -0.9009722504 0.0000067915
-2.4240296800 -0.9007643628 -2.4240296800 -0.9009722504 0.0000296982
-2.4222669801 -0.9029898219 -2.4224485694 -0.9029036755 0.0000287125
-2.4221449118 -0.9032765060 -2.4221587602 -0.9033194176 0.0000064416
-2.4240296800 -0.9010765531 -2.4240296800 -0.9010197912 0.0000081088
-2.4231601487 -0.9011240939 -2.4231601487 -0.9015173259 0.0000561760
-2.4226158400 -0.9037863252 -2.4226956909 -0.9031809737 0.0000872279
-2.4236261483 -0.9021425152 -2.4236261483 -0.9020630064 0.0000113584
-2.4236261483 -0.9021891439 -2.4236261483 -0.9021425152 0.0000066612
-2.4240296800 -0.9011459287 -2.4240296800 -0.9010765531 0.0000099108
-2.4238480907 -0.9016298238 -2.4236995177 -0.9016441719 0.0000213235
-2.4239214601 -0.9014443054 -2.4238077376 -0.9013524792 0.0000208810
-2.4239214601 -0.9015136810 -2.4239214601 -0.9014443054 0.0000099108
-2.4236995177 -0.9020934988 -2.4236261483 -0.9020630064 0.0000113505
-2.4240296800 -0.9012626059 -2.4240296800 -0.9011459287 0.0000166682
-2.4223992488 -0.9024037155 -2.4226705118 -0.9025709875 0.0000455272
-2.4240296800 -0.9012855263 -2.4240296800 -0.9012626059 0.0000032743
-2.4240296800 -0.9012864144 -2.4240296800 -0.9012855263 0.0000001269
-2.4240296800 -0.9013319816 -2.4240296800 -0.9012864144 0.0000065096
-2.4240006214 -0.9004626226 -2.4240296800 -0.9007643628 0.0000433052
-2.4241517484 -0.9011169961 -2.4240296800 -0.9011459287 0.0000179215
-2.4240296800 -0.9014581191 -2.4239214601 -0.9014443054 0.0000155854
-2.4237420681 -0.9005125227 -2.4240006214 -0.9004626226 0.0000376178
-2.4240296800 -0.9015036863 -2.4240296800 -0.9014581191 0.0000065096
-2.4218874972 -0.9035024925 -2.4221587602 -0.9033194176 0.0000467516
-2.4243172919 -0.9007643628 -2.4240296800 -0.9007643628 0.0000410874
-2.4238480907 -0.9020630064 -2.4236995177 -0.9020934988 0.0000216671
-2.4240296800 -0.9016441719 -2.4240296800 -0.9015036863 0.0000200694
-2.4223992488 -0.9020221495 -2.4223992488 -0.9024037155 0.0000545094
-2.4240296800 -0.9016762791 -2.4240296800 -0.9016441719 0.0000045867
-2.4240296800 -0.9017135476 -2.4240296800 -0.9016762791 0.0000053241
-2.4240296800 -0.9000706064 -2.4240006214 -0.9004626226 0.0000561559
-2.4240296800 -0.9018540332 -2.4240296800 -0.9017135476 0.0000200694
-2.4216655548 -0.9037328515 -2.4218874972 -0.9035024925 0.0000456972
-2.4244332117 -0.9008588003 -2.4243172919 -0.9007643628 0.0000213598
-2.4240296800 -0.9019801707 -2.4240296800 -0.9018540332 0.0000180196
-2.4240296800 -0.9020257379 -2.4240296800 -0.9019801707 0.0000065096
-2.4244332117 -0.9009825228 -2.4244332117 -0.9008588003 0.0000176746
-2.4247985094 -0.8995122665 -2.4240296800 -0.9000706064 0.0001357400
