# from_x0 from_x1 to_x0 to_x1 length
0.6519892033 1.0913739182 0.6519892768 1.0913739138 0.0000000105
0.6519892931 1.0913738065 0.6519892793 1.0913738353 0.0000000046
0.6519892935 1.0913738065 0.6519892793 1.0913738353 0.0000000046
0.6519893809 1.0913738886 0.6519893354 1.0913739035 0.0000000069
0.6519892784 1.0913737837 0.6519892761 1.0913738182 0.0000000049
0.6519891562 1.0913738952 0.6519892180 1.0913739065 0.0000000090
0.6519892931 1.0913737777 0.6519892931 1.0913738065 0.0000000041
0.6519892661 1.0913737650 0.6519892931 1.0913738065 0.0000000071
0.6519893232 1.0913739964 0.6519892959 1.0913739381 0.0000000092
0.6519891812 1.0913738460 0.6519892437 1.0913738541 0.0000000090
0.6519892064 1.0913738146 0.6519892437 1.0913738541 0.0000000078
0.6519892133 1.0913738065 0.6519892437 1.0913738541 0.0000000081
0.6519891718 1.0913738454 0.6519891562 1.0913738952 0.0000000074
0.6519893690 1.0913738255 0.6519893809 1.0913738886 0.0000000092
0.6519893977 1.0913739437 0.6519893809 1.0913738886 0.0000000082
0.6519894071 1.0913739443 0.6519893809 1.0913738886 0.0000000088
0.6519892280 1.0913737580 0.6519892661 1.0913737650 0.0000000055
0.6519892449 1.0913737258 0.6519892661 1.0913737650 0.0000000064
0.6519891812 1.0913737860 0.6519892064 1.0913738146 0.0000000054
0.6519894307 1.0913738410 0.6519893690 1.0913738255 0.0000000091
0.6519890781 1.0913738619 0.6519891562 1.0913738952 0.0000000121
0.6519890439 1.0913738925 0.6519891562 1.0913738952 0.0000000160
0.6519891562 1.0913737721 0.6519891812 1.0913737860 0.0000000041
0.6519893261 1.0913741026 0.6519893232 1.0913739964 0.0000000152
0.6519895233 1.0913739183 0.6519894071 1.0913739443 0.0000000170
0.6519893992 1.0913737441 0.6519893690 1.0913738255 0.0000000124
0.6519894894 1.0913739748 0.6519895233 1.0913739183 0.0000000094
0.6519895385 1.0913739335 0.6519895233 1.0913739183 0.0000000031
0.6519891257 1.0913737441 0.6519891562 1.0913737721 0.0000000059
0.6519894889 1.0913738067 0.6519894307 1.0913738410 0.0000000096
0.6519892935 1.0913736062 0.6519892449 1.0913737258 0.0000000184
0.6519893013 1.0913736116 0.6519892449 1.0913737258 0.0000000182
0.6519891334 1.0913740695 0.6519892033 1.0913739182 0.0000000238
0.6519893816 1.0913741165 0.6519893261 1.0913741026 0.0000000082
0.6519895985 1.0913738831 0.6519895385 1.0913739335 0.0000000112
0.6519895985 1.0913739200 0.6519895385 1.0913739335 0.0000000088
0.6519894741 1.0913737392 0.6519894889 1.0913738067 0.0000000099
0.6519890439 1.0913737439 0.6519891257 1.0913737441 0.0000000117
0.6519892424 1.0913742633 0.6519893261 1.0913741026 0.0000000259
0.6519892303 1.0913742661 0.6519892424 1.0913742633 0.0000000018
0.6519894355 1.0913736432 0.6519894741 1.0913737392 0.0000000148
0.6519892970 1.0913734769 0.6519892935 1.0913736062 0.0000000185
0.6519889023 1.0913738166 0.6519890439 1.0913737439 0.0000000227
0.6519889639 1.0913737439 0.6519890439 1.0913737439 0.0000000114
0.6519897278 1.0913738664 0.6519895985 1.0913738831 0.0000000186
0.6519891734 1.0913735101 0.6519892970 1.0913734769 0.0000000183
0.6519887929 1.0913739455 0.6519889023 1.0913738166 0.0000000241
0.6519888982 1.0913737439 0.6519889639 1.0913737439 0.0000000094
0.6519889677 1.0913736524 0.6519889639 1.0913737439 0.0000000131
0.6519889066 1.0913737094 0.6519888982 1.0913737439 0.0000000051
0.6519893992 1.0913743380 0.6519892424 1.0913742633 0.0000000248
0.6519897451 1.0913739888 0.6519897278 1.0913738664 0.0000000177
0.6519892432 1.0913733563 0.6519892970 1.0913734769 0.0000000189
0.6519893600 1.0913734073 0.6519892970 1.0913734769 0.0000000134
0.6519889998 1.0913735988 0.6519889677 1.0913736524 0.0000000089
0.6519890748 1.0913735222 0.6519891734 1.0913735101 0.0000000142
0.6519895088 1.0913735508 0.6519894355 1.0913736432 0.0000000169
0.6519887388 1.0913739737 0.6519887929 1.0913739455 0.0000000087
0.6519893264 1.0913733252 0.6519893600 1.0913734073 0.0000000127
0.6519895120 1.0913735034 0.6519895088 1.0913735508 0.0000000068
0.6519889381 1.0913735861 0.6519889998 1.0913735988 0.0000000090
0.6519891859 1.0913733292 0.6519892432 1.0913733563 0.0000000091
0.6519891488 1.0913733400 0.6519891859 1.0913733292 0.0000000055
0.6519887356 1.0913737439 0.6519888982 1.0913737439 0.0000000232
0.6519889857 1.0913734775 0.6519890748 1.0913735222 0.0000000142
0.6519887708 1.0913741202 0.6519887388 1.0913739737 0.0000000214
0.6519889638 1.0913734801 0.6519889857 1.0913734775 0.0000000032
0.6519896912 1.0913735718 0.6519895088 1.0913735508 0.0000000262
0.6519898210 1.0913741043 0.6519897451 1.0913739888 0.0000000197
0.6519899887 1.0913738401 0.6519897278 1.0913738664 0.0000000375
0.6519887388 1.0913736470 0.6519887356 1.0913737439 0.0000000138
0.6519887520 1.0913741668 0.6519887708 1.0913741202 0.0000000072
0.6519891893 1.0913731856 0.6519891859 1.0913733292 0.0000000205
0.6519889054 1.0913744214 0.6519887520 1.0913741668 0.0000000425
0.6519895985 1.0913733261 0.6519895120 1.0913735034 0.0000000282
0.6519885875 1.0913741105 0.6519887520 1.0913741668 0.0000000248
0.6519896579 1.0913744214 0.6519893992 1.0913743380 0.0000000388
0.6519894601 1.0913731599 0.6519893264 1.0913733252 0.0000000304
0.6519893611 1.0913730393 0.6519894601 1.0913731599 0.0000000223
0.6519887474 1.0913743204 0.6519887520 1.0913741668 0.0000000220
0.6519889381 1.0913732798 0.6519889638 1.0913734801 0.0000000289
0.6519890574 1.0913731514 0.6519891893 1.0913731856 0.0000000195
0.6519889381 1.0913732595 0.6519889381 1.0913732798 0.0000000029
0.6519889133 1.0913732798 0.6519889381 1.0913732798 0.0000000035
0.6519894062 1.0913730393 0.6519893611 1.0913730393 0.0000000064
0.6519888982 1.0913732643 0.6519889133 1.0913732798 0.0000000031
0.6519893005 1.0913728815 0.6519893611 1.0913730393 0.0000000241
0.6519894062 1.0913729839 0.6519894062 1.0913730393 0.0000000079
0.6519887474 1.0913733503 0.6519888982 1.0913732643 0.0000000248
0.6519882067 1.0913739056 0.6519885875 1.0913741105 0.0000000618
0.6519891893 1.0913728793 0.6519893005 1.0913728815 0.0000000159
0.6519892340 1.0913728274 0.6519891893 1.0913728793 0.0000000098
0.6519896187 1.0913731320 0.6519894601 1.0913731599 0.0000000230
0.6519895575 1.0913747402 0.6519896579 1.0913744214 0.0000000478
0.6519882936 1.0913737494 0.6519882067 1.0913739056 0.0000000255
0.6519886816 1.0913744485 0.6519887474 1.0913743204 0.0000000206
0.6519898238 1.0913745147 0.6519896579 1.0913744214 0.0000000272
0.6519888790 1.0913731171 0.6519888982 1.0913732643 0.0000000212
0.6519895985 1.0913730393 0.6519896187 1.0913731320 0.0000000136
0.6519892203 1.0913727283 0.6519892340 1.0913728274 0.0000000143
0.6519896579 1.0913730393 0.6519895985 1.0913730393 0.0000000085
0.6519900968 1.0913734662 0.6519899887 1.0913738401 0.0000000556
0.6519894382 1.0913750026 0.6519895575 1.0913747402 0.0000000412
0.6519891709 1.0913727348 0.6519892203 1.0913727283 0.0000000071
0.6519885462 1.0913744326 0.6519886816 1.0913744485 0.0000000195
0.6519890199 1.0913728707 0.6519891893 1.0913728793 0.0000000242
0.6519903371 1.0913736612 0.6519900968 1.0913734662 0.0000000442
0.6519885105 1.0913744417 0.6519885462 1.0913744326 0.0000000053
0.6519902280 1.0913735377 0.6519900968 1.0913734662 0.0000000213
0.6519896299 1.0913748679 0.6519895575 1.0913747402 0.0000000210
0.6519885358 1.0913732807 0.6519887474 1.0913733503 0.0000000318
0.6519903446 1.0913742628 0.6519898210 1.0913741043 0.0000000782
0.6519879957 1.0913737304 0.6519882067 1.0913739056 0.0000000392
0.6519902923 1.0913734556 0.6519902280 1.0913735377 0.0000000149
0.6519905817 1.0913740804 0.6519903446 1.0913742628 0.0000000427
0.6519885030 1.0913746243 0.6519885105 1.0913744417 0.0000000261
0.6519882364 1.0913734194 0.6519885358 1.0913732807 0.0000000471
0.6519877542 1.0913738786 0.6519879957 1.0913737304 0.0000000405
0.6519896055 1.0913726517 0.6519893005 1.0913728815 0.0000000546
0.6519894062 1.0913723900 0.6519896055 1.0913726517 0.0000000470
0.6519877281 1.0913740095 0.6519877542 1.0913738786 0.0000000191
0.6519879080 1.0913736034 0.6519879957 1.0913737304 0.0000000220
0.6519901808 1.0913731159 0.6519902923 1.0913734556 0.0000000511
0.6519877965 1.0913741180 0.6519877281 1.0913740095 0.0000000183
0.6519899885 1.0913728290 0.6519901808 1.0913731159 0.0000000493
0.6519891413 1.0913721672 0.6519894062 1.0913723900 0.0000000494
0.6519885427 1.0913727699 0.6519888790 1.0913731171 0.0000000690
0.6519904652 1.0913731701 0.6519901808 1.0913731159 0.0000000414
