# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 84.6675669888 693 1 12 12
10 7455 89.2418612152 1629 2 12 12
20 13705 89.9163452210 2908 2 12 12
30 19955 89.9990732405 4443 3 12 12
40 26205 89.9998407023 6018 3 12 12
50 32455 89.9999756581 7629 3 12 12
60 38705 89.9999961393 9290 3 12 12
70 44955 89.9999998945 10650 3 12 12
80 51205 89.9999999719 11981 3 12 12
90 57161 89.9999999850 13202 3 11 8
100 61143 89.9999999980 13979 3 4 9
110 64957 90.0000000000 14745 3 4 9
120 68750 90.0000000000 15531 3 4 8
130 72480 90.0000000000 16266 3 6 7
140 76882 90.0000000000 17066 3 10 11
150 83069 90.0000000000 17787 3 12 12
160 89319 90.0000000000 18883 3 12 12
170 95569 90.0000000000 20014 3 12 12
178 100000 90.0000000000 20786 3 12 0
