# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.9263410550 0.3753009979 2.9843873848 -0.8728930144 0.0734389052 25.8177441666 0.0734389052 0.9263410550 0.3753009979
0.9149387107 0.9123617767 2.9045709751 2.8865324370 0.0569087314 25.8177441666 0.0569087314 0.9149387107 0.9123617767
0.1655960673 0.0413119910 -2.3408275287 -3.2108160630 17.3273466718 0.0569575213 0.0569575213 0.1655960673 0.0413119910
0.6924730221 0.3276986791 1.3473111544 -1.2061092464 13.2512669409 32.8314292558 13.2512669409 0.6924730221 0.3276986791
0.1692959810 0.2664704996 -2.3149281327 -1.6347065029 58.0337864574 0.0734389052 0.0734389052 0.1692959810 0.2664704996
0.4321099848 0.8153590775 -0.4752301063 2.2075135425 0.0734389052 51.0738146746 0.0734389052 0.4321099848 0.8153590775
0.1590618941 0.9041774941 -2.3865667415 2.8292424590 0.0625546507 0.0734389052 0.0625546507 0.1590618941 0.9041774941
0.1892526663 0.8996788993 -2.1752313362 2.7977522952 0.0625546507 0.0734389052 0.0625546507 0.1892526663 0.8996788993
0.3561351529 0.0626705625 -1.0070539298 -3.0613060626 17.3273466718 0.0879647625 0.0879647625 0.3561351529 0.0626705625
0.5229633746 0.1680340761 0.1607436223 -2.3237614672 0.0734389052 51.0738146746 0.0734389052 0.5229633746 0.1680340761
0.8719748845 0.8384884536 2.6038241916 2.3694191755 0.0734389052 25.8177441666 0.0734389052 0.8719748845 0.8384884536
0.7783139074 0.9945002413 1.9481973520 3.4615016889 6.5430975058 25.8177441666 6.5430975058 0.7783139074 0.9945002413
0.8284226314 0.4286420672 2.2989584195 -0.4995055298 0.0734389052 25.8177441666 0.0734389052 0.8284226314 0.4286420672
0.5221035268 0.6616310715 0.1547246879 1.1314175006 0.0734389052 52.9633011763 0.0734389052 0.5221035268 0.6616310715
0.2039575304 0.4127365853 -2.0722972871 -0.6108439026 17.3273466718 0.0734389052 0.0734389052 0.2039575304 0.4127365853
0.1174651782 0.1630100597 -2.6777437528 -2.3589295819 17.3273466718 9.3890352496 9.3890352496 0.1174651782 0.1630100597
0.8655481618 0.8499795242 2.5588371325 2.4498566697 0.0569087314 25.8177441666 0.0569087314 0.8655481618 0.8499795242
0.9307113617 0.6770235630 3.0149795316 1.2391649410 0.0734389052 25.8177441666 0.0734389052 0.9307113617 0.6770235630
0.5482189200 0.4630887531 0.3375324400 -0.2583787285 0.0734389052 79.0018889495 0.0734389052 0.5482189200 0.4630887531
0.5332665378 0.6150304738 0.2328657646 0.8052133167 0.0734389052 67.3377390269 0.0734389052 0.5332665378 0.6150304738
0.5511390115 0.5911950198 0.3579730803 0.6383651387 0.0734389052 71.4442479259 0.0734389052 0.5511390115 0.5911950198
0.3372545028 0.8028172621 -1.1392184804 2.1197208348 17.3273466718 51.0738146746 17.3273466718 0.3372545028 0.8028172621
0.4589600432 0.5727347441 -0.2872796976 0.5091432085 0.0734389052 59.7924232566 0.0734389052 0.4589600432 0.5727347441
0.0092250923 0.6253238152 -3.4354243538 0.8772667062 24.5932693217 0.0734389052 0.0734389052 0.0092250923 0.6253238152
