# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.6901420260 0.3592516441 1.3309941818 -0.9852384915 29.7186985743 26.4017258908 26.4017258908 0.6901420260 0.3592516441
0.0979345378 0.7237128741 -2.8144582352 1.5659901188 77.3689854415 31.4630929004 31.4630929004 0.0979345378 0.7237128741
0.5321633314 0.5343704115 0.2251433199 0.2405928803 29.7186985743 33.3862513668 29.7186985743 0.5321633314 0.5343704115
0.9596949818 0.5317566745 3.2178648728 0.2222967213 29.7186985743 29.7186985743 29.7186985743 0.9596949818 0.5317566745
0.3668664059 0.6401995072 -0.9319351588 0.9813965506 29.7186985743 26.4017258908 26.4017258908 0.3668664059 0.6401995072
0.8027943291 0.2647302031 2.1195603040 -1.6468885784 43.2997107070 29.7186985743 29.7186985743 0.8027943291 0.2647302031
0.5137709350 0.5643525620 0.0963965453 0.4504679342 26.6570187700 52.2460455647 26.6570187700 0.5137709350 0.5643525620
0.2814194803 0.0675780405 -1.5300636381 -3.0269537164 29.7186985743 21.1755142183 21.1755142183 0.2814194803 0.0675780405
0.3576366660 0.4777736712 -0.9965433378 -0.1555843016 29.7186985743 27.3935673873 27.3935673873 0.3576366660 0.4777736712
0.5216003497 0.1293605262 0.1512024482 -2.5944763166 29.7186985743 26.4017258908 26.4017258908 0.5216003497 0.1293605262
0.4555962970 0.0781284248 -0.3108259212 -2.9531010266 29.7186985743 26.4017258908 26.4017258908 0.4555962970 0.0781284248
0.1234302527 0.6962546556 -2.6359882313 1.3737825891 87.1942395010 65.6218148743 65.6218148743 0.1234302527 0.6962546556
0.0889288451 0.6186112278 -2.8774980840 0.8302785947 29.7186985743 29.7186985743 29.7186985743 0.0889288451 0.6186112278
0.8573037025 0.0701843366 2.5011259176 -3.0087096435 43.5023069000 29.7186985743 29.7186985743 0.8573037025 0.0701843366
0.1427651735 0.0870041346 -2.5006437856 -2.8909710580 29.7186985743 26.0980292455 26.0980292455 0.1427651735 0.0870041346
0.1683096854 0.1140870052 -2.3218322023 -2.7013909636 29.7186985743 26.0980292455 26.0980292455 0.1683096854 0.1140870052
0.4129556458 0.8989902426 -0.6093104792 2.7929316979 24.3840732144 43.1249853221 24.3840732144 0.4129556458 0.8989902426
0.4177453635 0.1562615738 -0.5757824553 -2.4061689836 29.7186985743 26.4017258908 26.4017258908 0.4177453635 0.1562615738
0.9410373414 0.9488429975 3.0872613897 3.1419009827 29.7186985743 34.0534886803 29.7186985743 0.9410373414 0.9488429975
0.8733180693 0.7217185588 2.6132264850 1.5520299115 29.7186985743 29.7186985743 29.7186985743 0.8733180693 0.7217185588
0.8812969795 0.3059800588 2.6690788566 -1.3581395884 29.7186985743 29.7186985743 29.7186985743 0.8812969795 0.3059800588
0.2319576516 0.0416506281 -1.8762964386 -3.2084456034 29.7186985743 40.0036893784 29.7186985743 0.2319576516 0.0416506281
0.2700558105 0.2865572041 -1.6096093267 -1.4940995713 29.7186985743 29.7186985743 29.7186985743 0.2700558105 0.2865572041
0.1820315227 0.0090379088 -2.2257793411 -3.4367346383 29.7186985743 21.1755142183 21.1755142183 0.1820315227 0.0090379088
0.9520216616 0.6420648442 3.1641516311 0.9944539097 29.7186985743 29.7186985743 29.7186985743 0.9520216616 0.6420648442
0.5586801722 0.4101666889 0.4107612055 -0.6288331775 29.7186985743 26.4017258908 26.4017258908 0.5586801722 0.4101666889
0.9848715224 0.9880061117 3.3941006568 3.4160427821 29.7186985743 27.2465566203 27.2465566203 0.9848715224 0.9880061117
0.8508350797 0.5305577882 2.4558455578 0.2139045176 29.7186985743 69.5666938567 29.7186985743 0.8508350797 0.5305577882
0.3193633786 0.4875033062 -1.2644563496 -0.0874768564 29.7186985743 29.7186985743 29.7186985743 0.3193633786 0.4875033062
0.0267863497 0.2998486214 -3.3124955524 -1.4010596505 29.7186985743 56.1636806562 29.7186985743 0.0267863497 0.2998486214
0.8881711817 0.6390420290 2.7171982721 0.9732942031 29.7186985743 29.7186985743 29.7186985743 0.8881711817 0.6390420290
0.7992038821 0.0818278651 2.0944271750 -2.9272049445 25.4155438848 29.7186985743 25.4155438848 0.7992038821 0.0818278651
0.3624961189 0.6242327327 -0.9625271679 0.8696291287 29.7186985743 26.4017258908 26.4017258908 0.3624961189 0.6242327327
0.1840958742 0.3045794928 -2.2113288807 -1.3679435501 29.7186985743 31.2300446783 29.7186985743 0.1840958742 0.3045794928
0.5024275798 0.9171711394 0.0169930584 2.9201979755 26.6570187700 22.6687153950 22.6687153950 0.5024275798 0.9171711394
0.7408516589 0.2719342951 1.6859616122 -1.5964599346 29.8210738907 29.7186985743 29.7186985743 0.7408516589 0.2719342951
0.9023700022 0.2776444978 2.8165900154 -1.5564885152 29.7186985743 29.7186985743 29.7186985743 0.9023700022 0.2776444978
0.7432401887 0.2277953754 1.7026813211 -1.9054323725 29.7186985743 29.7186985743 29.7186985743 0.7432401887 0.2277953754
0.4607807313 0.6786589795 -0.2745348808 1.2506128565 29.7186985743 26.4017258908 26.4017258908 0.4607807313 0.6786589795
0.3022943538 0.0914999295 -1.3839395236 -2.8595004933 29.7186985743 21.1755142183 21.1755142183 0.3022943538 0.0914999295
0.9019327160 0.6548457810 2.8135290123 1.0839204669 29.7186985743 29.7186985743 29.7186985743 0.9019327160 0.6548457810
0.2451087223 0.9231011606 -1.7842389438 2.9617081244 24.3840732144 29.7186985743 24.3840732144 0.2451087223 0.9231011606
0.2098777363 0.9514015079 -2.0308558460 3.1598105551 24.8083625021 29.7186985743 24.8083625021 0.2098777363 0.9514015079
0.0573819292 0.9174852392 -3.0983264955 2.9223966743 24.3840732144 29.7186985743 24.3840732144 0.0573819292 0.9174852392
0.7118082020 0.2641373623 1.4826574143 -1.6510384642 29.7186985743 29.7186985743 29.7186985743 0.7118082020 0.2641373623
0.7769285938 0.7469945252 1.9385001565 1.7289616767 64.5607101620 32.2669231003 32.2669231003 0.7769285938 0.7469945252
0.3705606588 0.4083289020 -0.9060753881 -0.6416976862 29.7186985743 26.4017258908 26.4017258908 0.3705606588 0.4083289020
0.9546161814 0.7486071047 3.1823132698 1.7402497330 29.7186985743 29.7186985743 29.7186985743 0.9546161814 0.7486071047
0.1988938110 0.4906911511 -2.1077433231 -0.0651619420 39.8726873667 29.7186985743 29.7186985743 0.1988938110 0.4906911511
0.1841090810 0.0847889245 -2.2112364329 -2.9064775285 29.7186985743 21.1755142183 21.1755142183 0.1841090810 0.0847889245
0.3114597978 0.1597295065 -1.3197814151 -2.3818934546 29.7186985743 29.7186985743 29.7186985743 0.3114597978 0.1597295065
0.8255954048 0.4961060728 2.2791678333 -0.0272574906 58.2188016370 41.6618803373 41.6618803373 0.8255954048 0.4961060728
0.7769265973 0.3981015849 1.9384861810 -0.7132889057 53.0081581857 29.7186985743 29.7186985743 0.7769265973 0.3981015849
0.3417632690 0.4197531022 -1.1076571173 -0.5617282847 29.7186985743 26.4017258908 26.4017258908 0.3417632690 0.4197531022
0.6490653832 0.4144774583 1.0434576823 -0.5986577921 29.7186985743 26.4017258908 26.4017258908 0.6490653832 0.4144774583
0.8369984647 0.4433438067 2.3589892532 -0.3965933530 41.5862092938 29.7186985743 29.7186985743 0.8369984647 0.4433438067
0.8567577258 0.7606003916 2.4973040805 1.8242027412 29.7186985743 29.7186985743 29.7186985743 0.8567577258 0.7606003916
0.6125480856 0.6107888144 0.7878365990 0.7755217009 29.7186985743 43.3309191647 29.7186985743 0.6125480856 0.6107888144
0.5684717777 0.8121810773 0.4793024441 2.1852675413 29.7186985743 26.4017258908 26.4017258908 0.5684717777 0.8121810773
0.0958507167 0.5179742801 -2.8290449833 0.1258199608 29.7186985743 29.7186985743 29.7186985743 0.0958507167 0.5179742801
0.0778976459 0.8700647290 -2.9547164784 2.5904531027 42.9837373287 29.7186985743 29.7186985743 0.0778976459 0.8700647290
0.1678412359 0.8109255900 -2.3251113488 2.1764791302 29.7186985743 29.7186985743 29.7186985743 0.1678412359 0.8109255900
0.4398966094 0.3634491374 -0.4207237344 -0.9558560383 29.7186985743 26.4017258908 26.4017258908 0.4398966094 0.3634491374
0.1913650067 0.7699236392 -2.1604449530 1.8894654746 29.7186985743 29.7186985743 29.7186985743 0.1913650067 0.7699236392
0.8325520685 0.3893462558 2.3278644798 -0.7745762092 42.4546786985 29.7186985743 29.7186985743 0.8325520685 0.3893462558
0.3892328573 0.5892336731 -0.7753699986 0.6246357118 29.7186985743 26.4017258908 26.4017258908 0.3892328573 0.5892336731
0.7634812077 0.9941251741 1.8443684536 3.4588762184 34.4369265240 27.2465566203 27.2465566203 0.7634812077 0.9941251741
0.2383160041 0.7556968429 -1.8317879714 1.7898779002 29.7186985743 29.7186985743 29.7186985743 0.2383160041 0.7556968429
0.5823999857 0.0197498168 0.5767998996 -3.3617512823 25.4155438848 26.4017258908 25.4155438848 0.5823999857 0.0197498168
0.7489449153 0.2963577552 1.7426144071 -1.4254957139 31.2550210965 29.7186985743 29.7186985743 0.7489449153 0.2963577552
0.4625563522 0.6526554351 -0.2621055346 1.0685880460 29.7186985743 29.9669112396 29.7186985743 0.4625563522 0.6526554351
0.5121233719 0.1441168578 0.0848636033 -2.4911819956 26.6570187700 26.4017258908 26.4017258908 0.5121233719 0.1441168578
0.8130702493 0.5619607293 2.1914917451 0.4337251049 78.9104399085 76.3304837363 76.3304837363 0.8130702493 0.5619607293
0.5186567815 0.1323998285 0.1305974706 -2.5732012007 26.6570187700 26.4017258908 26.4017258908 0.5186567815 0.1323998285
0.7428998060 0.5959021709 1.7002986417 0.6713151965 30.3245761689 40.5268938185 30.3245761689 0.7428998060 0.5959021709
0.0194796747 0.3241699776 -3.3636422769 -1.2308101570 29.7186985743 22.1809878775 22.1809878775 0.0194796747 0.3241699776
0.8210054769 0.9211289800 2.2470383386 2.9479028600 39.3337112596 23.2530921120 23.2530921120 0.8210054769 0.9211289800
0.1869306542 0.8979494278 -2.1914854207 2.7856459945 24.3840732144 29.7186985743 24.3840732144 0.1869306542 0.8979494278
0.2136626684 0.8487479946 -2.0043613213 2.4412359620 29.7186985743 29.7186985743 29.7186985743 0.2136626684 0.8487479946
0.3861413760 0.8882425162 -0.7970103683 2.7176976132 54.1720157487 39.0826790681 39.0826790681 0.3861413760 0.8882425162
0.1298185992 0.7703021960 -2.5912698055 1.8921153717 61.9331469374 83.6637398758 61.9331469374 0.1298185992 0.7703021960
0.4921935999 0.8906637581 -0.0546448004 2.7346463069 26.6570187700 22.6687153950 22.6687153950 0.4921935999 0.8906637581
0.7824146336 0.0542830426 1.9769024351 -3.1200187017 30.4688093923 29.7186985743 29.7186985743 0.7824146336 0.0542830426
0.9955299545 0.6530527393 3.4687096818 1.0713691754 29.7186985743 29.7186985743 29.7186985743 0.9955299545 0.6530527393
0.2520100821 0.5831855641 -1.7359294250 0.5822989490 40.8321394808 29.7186985743 29.7186985743 0.2520100821 0.5831855641
0.2616210374 0.4904791333 -1.6686527385 -0.0666460671 51.8136643220 29.7186985743 29.7186985743 0.2616210374 0.4904791333
0.6341921254 0.7239610343 0.9393448776 1.5677272398 29.7186985743 45.0800430887 29.7186985743 0.6341921254 0.7239610343
0.1289146204 0.2642145483 -2.5975976570 -1.6504981622 29.7186985743 29.7186985743 29.7186985743 0.1289146204 0.2642145483
0.5489625720 0.2980818841 0.3427380039 -1.4134268115 29.7186985743 26.4017258908 26.4017258908 0.5489625720 0.2980818841
0.0473712922 0.9767695154 -3.1684009549 3.3373866081 24.3840732144 29.7186985743 24.3840732144 0.0473712922 0.9767695154
0.9794400175 0.6338391831 3.3560801225 0.9368742820 29.7186985743 29.7186985743 29.7186985743 0.9794400175 0.6338391831
0.6629731197 0.5867259775 1.1408118376 0.6070818422 29.7186985743 26.4017258908 26.4017258908 0.6629731197 0.5867259775
