# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.7970003707 0.6108385461 2.0790025950 0.7758698226 90.0000000000 90.0000000000 90.0000000000 0.7970003707 0.6108385461
0.1392951290 0.6832383491 -2.5249340969 1.2826684435 89.9998809818 89.9999707935 89.9998809818 0.1392951290 0.6832383491
0.1348501719 0.7138218053 -2.5560487970 1.4967526371 86.0352639767 89.0276965590 86.0352639767 0.1348501719 0.7138218053
0.1467389024 0.6488593313 -2.4728276830 1.0420153192 85.7867541733 85.8638992877 85.7867541733 0.1467389024 0.6488593313
0.7846456933 0.6410309186 1.9925198533 0.9872164302 83.8555676604 85.4874674539 83.8555676604 0.7846456933 0.6410309186
0.8095155625 0.5771095419 2.1666089378 0.5397667934 83.3986119508 83.6899591764 83.3986119508 0.8095155625 0.5771095419
0.1245486554 0.7497805628 -2.6281594125 1.7484639394 75.9508508164 76.0198348081 75.9508508164 0.1245486554 0.7497805628
0.1553010131 0.6105833065 -2.4128929081 0.7740831457 73.7753179754 74.0457674222 73.7753179754 0.1553010131 0.6105833065
0.7742455641 0.6721637225 1.9197189484 1.2051460578 70.7279037151 72.3331743130 70.7279037151 0.7742455641 0.6721637225
0.8215085274 0.5416438704 2.2505596918 0.2915070927 67.8421571041 67.7902462854 67.7902462854 0.8215085274 0.5416438704
