# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.5018876193 0.3548500259 0.0132133351 -1.0160498190 18.5973808296 29.2712527097 18.5973808296 0.5018876193 0.3548500259
0.4989739462 0.7939801198 -0.0071823766 2.0578608384 18.5973808296 33.4549155885 18.5973808296 0.4989739462 0.7939801198
0.2242635017 0.3094734615 -1.9301554880 -1.3336857693 26.1864412978 29.6830255041 26.1864412978 0.2242635017 0.3094734615
0.3662479696 0.8150452066 -0.9362642127 2.2053164463 26.1864412978 23.1102915332 23.1102915332 0.3662479696 0.8150452066
0.0534426351 0.5106186324 -3.1259015542 0.0743304271 61.1252674138 23.9994077413 23.9994077413 0.0534426351 0.5106186324
0.0316371898 0.4478754295 -3.2785396713 -0.3648719938 24.9913062650 19.7030222420 19.7030222420 0.0316371898 0.4478754295
0.0478986527 0.9852209599 -3.1647094311 3.3965467190 24.9913062650 18.7492021773 18.7492021773 0.0478986527 0.9852209599
0.2159315723 0.3660001169 -1.9884789941 -0.9379991814 26.1864412978 29.2712527097 26.1864412978 0.2159315723 0.3660001169
0.4469096043 0.4637830818 -0.3716327702 -0.2535184273 26.1864412978 29.2712527097 26.1864412978 0.4469096043 0.4637830818
0.2644449616 0.1569037797 -1.6488852689 -2.4016735419 26.1864412978 52.5115648167 26.1864412978 0.2644449616 0.1569037797
0.1223646133 0.7868165410 -2.6434477069 2.0077157869 26.1864412978 18.7492021773 18.7492021773 0.1223646133 0.7868165410
0.7754013911 0.0184926956 1.9278097377 -3.3705511309 19.6409370836 26.1864412978 19.6409370836 0.7754013911 0.0184926956
0.6360076121 0.3078337944 0.9520532848 -1.3451634393 31.3168625664 29.6560639830 29.6560639830 0.6360076121 0.3078337944
0.8579418357 0.8657132059 2.5055928498 2.5599924415 26.1864412978 23.1102915332 23.1102915332 0.8579418357 0.8657132059
0.9863687854 0.2214130794 3.4045814980 -1.9501084443 26.1864412978 26.1864412978 26.1864412978 0.9863687854 0.2214130794
0.4343476118 0.6696812512 -0.4595667177 1.1877687581 26.1864412978 21.7586423986 21.7586423986 0.4343476118 0.6696812512
0.0341107541 0.5046326347 -3.2612247211 0.0324284426 24.9913062650 19.7030222420 19.7030222420 0.0341107541 0.5046326347
0.5856445451 0.2020734317 0.5995118157 -2.0854859784 26.1864412978 26.1864412978 26.1864412978 0.5856445451 0.2020734317
0.4213056795 0.6640473743 -0.5508602434 1.1483316204 26.1864412978 18.3563446663 18.3563446663 0.4213056795 0.6640473743
0.1287271567 0.8227005213 -2.5989099029 2.2589036493 26.1864412978 18.7492021773 18.7492021773 0.1287271567 0.8227005213
0.8871908762 0.5809683457 2.7103361335 0.5667784196 26.1864412978 26.1864412978 26.1864412978 0.8871908762 0.5809683457
0.9652422099 0.8652439135 3.2566954693 2.5567073947 26.1864412978 23.1102915332 23.1102915332 0.9652422099 0.8652439135
0.8864730992 0.8226064993 2.7053116943 2.2582454954 26.1864412978 23.1102915332 23.1102915332 0.8864730992 0.8226064993
0.5564293631 0.6249346936 0.3950055419 0.8745428549 26.1864412978 29.2712527097 26.1864412978 0.5564293631 0.6249346936
0.3062654201 0.5235132827 -1.3561420594 0.1645929791 26.1864412978 29.2712527097 26.1864412978 0.3062654201 0.5235132827
0.4359776528 0.9221193564 -0.4481564301 2.9548354948 26.1864412978 23.1102915332 23.1102915332 0.4359776528 0.9221193564
0.0492410513 0.8573599320 -3.1553126411 2.5015195237 24.9913062650 18.7492021773 18.7492021773 0.0492410513 0.8573599320
0.5865059383 0.3264195931 0.6055415683 -1.2150628482 26.1864412978 26.1864412978 26.1864412978 0.5865059383 0.3264195931
0.7166899762 0.2383128546 1.5168298331 -1.8318100176 26.1864412978 26.1864412978 26.1864412978 0.7166899762 0.2383128546
0.6548848776 0.8826971539 1.0841941430 2.6788800773 26.1864412978 23.1102915332 23.1102915332 0.6548848776 0.8826971539
0.2442647824 0.8675717092 -1.7901465231 2.5730019645 26.1864412978 23.1102915332 23.1102915332 0.2442647824 0.8675717092
0.0207023194 0.5474883188 -3.3550837642 0.3324182318 24.9913062650 19.7030222420 19.7030222420 0.0207023194 0.5474883188
