# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.6711907656 0.2899522463 1.1983353595 -1.4703342756 89.9977539517 89.9917610648 89.9917610648 0.6711907656 0.2899522463
0.2705556160 0.3246819987 -1.6061106880 -1.2272260094 88.9421458723 89.0281114031 88.9421458723 0.2705556160 0.3246819987
0.6704416234 0.2741893366 1.1930913635 -1.5806746439 88.9297171434 89.3721114099 88.9297171434 0.6704416234 0.2741893366
0.2627090155 0.3900905664 -1.6610368915 -0.7693660353 88.5563177766 88.3936420590 88.3936420590 0.2627090155 0.3900905664
0.6783664018 0.3105316786 1.2485648123 -1.3262782501 89.1552000506 88.2647604473 88.2647604473 0.6783664018 0.3105316786
0.6783047395 0.3165843962 1.2481331768 -1.2839092266 89.3947351027 87.3778867672 87.3778867672 0.6783047395 0.3165843962
0.6629323360 0.2397421540 1.1405263517 -1.8218049221 85.4739341260 85.2527714648 85.2527714648 0.6629323360 0.2397421540
0.2743602713 0.2883212191 -1.5794781010 -1.4817514661 84.5609282083 84.7011133650 84.5609282083 0.2743602713 0.2883212191
0.2583211936 0.4258299210 -1.6917516445 -0.5191905533 85.3504545552 84.1928140597 84.1928140597 0.2583211936 0.4258299210
0.6842166828 0.3518277491 1.2895167793 -1.0372057566 85.2203337076 82.5438365218 82.5438365218 0.6842166828 0.3518277491
0.2794410050 0.2517452401 -1.5439129653 -1.7377833196 77.9755147687 79.3322048014 77.9755147687 0.2794410050 0.2517452401
0.6558674420 0.2017674172 1.0910720937 -2.0876280795 77.6901292022 77.2216555505 77.2216555505 0.6558674420 0.2017674172
0.2545844341 0.4621953546 -1.7179089615 -0.2646325175 78.8958199087 77.1243326338 77.1243326338 0.2545844341 0.4621953546
0.6899483536 0.3916847436 1.3296384749 -0.7582067947 78.2519682981 74.7676793583 74.7676793583 0.6899483536 0.3916847436
0.2500304593 0.4987933438 -1.7497867849 -0.0084465933 72.3846638799 69.2872671676 69.2872671676 0.2500304593 0.4987933438
0.2828607139 0.2168574277 -1.5199750026 -1.9819980058 68.7029698819 70.3028984621 68.7029698819 0.2828607139 0.2168574277
0.6510934990 0.1572020090 1.0576544933 -2.3995859369 69.4659478913 67.8202594401 67.8202594401 0.6510934990 0.1572020090
0.6948272073 0.4219560259 1.3637904514 -0.5463078186 67.7770802297 68.2643989113 67.7770802297 0.6948272073 0.4219560259
