# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 88.1061840175 674 6 12 12
10 7455 89.8620620170 1490 16 12 12
20 13705 89.9757117438 2498 16 12 12
30 19955 89.9970570922 3694 17 12 12
40 26205 89.9970570922 4949 18 12 12
50 32455 89.9989877209 6228 18 12 12
60 38705 89.9995965126 7421 18 12 12
70 44955 89.9996402106 8485 18 12 12
80 51205 89.9998488911 9425 18 12 12
90 57455 89.9999589148 10288 18 12 12
100 63705 89.9999777298 11063 18 12 12
110 69955 89.9999984099 11851 18 12 12
120 76205 89.9999998565 12662 18 12 12
130 82455 89.9999999808 13470 18 12 12
140 88705 89.9999999940 14238 18 12 12
150 94955 90.0000000000 15002 18 12 12
159 100000 90.0000000000 15618 19 12 0
