# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
