# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672616239 0.3527210410 -1.6291686330 -1.0309527128 90.0000000000 90.0000000000 90.0000000000 0.2672616239 0.3527210410
0.2672615818 0.3527212140 -1.6291689276 -1.0309515022 89.9999999999 89.9999999998 89.9999999998 0.2672615818 0.3527212140
0.2672615929 0.3527214663 -1.6291688495 -1.0309497362 89.9999999998 89.9999999998 89.9999999998 0.2672615929 0.3527214663
0.2672615798 0.3527210891 -1.6291689411 -1.0309523762 89.9999999997 89.9999999998 89.9999999997 0.2672615798 0.3527210891
0.2672616192 0.3527208445 -1.6291686659 -1.0309540886 89.9999999997 89.9999999998 89.9999999997 0.2672616192 0.3527208445
0.2672616952 0.3527209778 -1.6291681334 -1.0309531553 89.9999999996 89.9999999994 89.9999999994 0.2672616952 0.3527209778
0.2672616872 0.3527210588 -1.6291681895 -1.0309525886 89.9999999996 89.9999999995 89.9999999995 0.2672616872 0.3527210588
0.2672617011 0.3527205677 -1.6291680925 -1.0309560261 89.9999999996 89.9999999994 89.9999999994 0.2672617011 0.3527205677
0.2672616123 0.3527215321 -1.6291687141 -1.0309492753 89.9999999996 89.9999999997 89.9999999996 0.2672616123 0.3527215321
0.2672617039 0.3527209536 -1.6291680730 -1.0309533248 89.9999999995 89.9999999993 89.9999999993 0.2672617039 0.3527209536
0.2672617080 0.3527209536 -1.6291680440 -1.0309533248 89.9999999995 89.9999999992 89.9999999992 0.2672617080 0.3527209536
0.2672617424 0.3527206483 -1.6291678030 -1.0309554618 89.9999999995 89.9999999985 89.9999999985 0.2672617424 0.3527206483
0.2672617154 0.3527204625 -1.6291679919 -1.0309567623 89.9999999995 89.9999999992 89.9999999992 0.2672617154 0.3527204625
0.2672616128 0.3527215802 -1.6291687107 -1.0309489389 89.9999999994 89.9999999996 89.9999999994 0.2672616128 0.3527215802
0.2672617852 0.3527202102 -1.6291675039 -1.0309585287 89.9999999994 89.9999999974 89.9999999974 0.2672617852 0.3527202102
