# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.4053713618 0.5448403797 -0.6624004675 0.3138826576 6.9574266399 4.9409292090 4.9409292090 0.4053713618 0.5448403797
0.2210272766 0.1727297896 -1.9528090640 -2.2908914727 60.8169782845 6.3066103434 6.3066103434 0.2210272766 0.1727297896
0.7811883551 0.5101998287 1.9683184856 0.0713988007 6.9574266399 6.9574266399 6.9574266399 0.7811883551 0.5101998287
0.8047457785 0.3343560366 2.1332204498 -1.1595077441 6.9574266399 6.9574266399 6.9574266399 0.8047457785 0.3343560366
0.9511945670 0.5676938572 3.1583619692 0.4738570006 25.3237039537 34.6207331061 25.3237039537 0.9511945670 0.5676938572
0.8614703994 0.3329019264 2.5302927959 -1.1696865152 6.9574266399 6.9574266399 6.9574266399 0.8614703994 0.3329019264
0.2002366962 0.5128557641 -2.0983431266 0.0899903487 6.9574266399 6.9574266399 6.9574266399 0.2002366962 0.5128557641
0.5398286370 0.0391615702 0.2788004590 -3.2258690087 6.9574266399 6.9574266399 6.9574266399 0.5398286370 0.0391615702
0.2938118872 0.1949970194 -1.4433167897 -2.1350208643 6.3045510789 6.9574266399 6.3045510789 0.2938118872 0.1949970194
0.0583909528 0.9207759860 -3.0912633307 2.9454319021 37.5685764786 75.5528867243 37.5685764786 0.0583909528 0.9207759860
0.4592464775 0.2517180178 -0.2852746575 -1.7379738751 6.9574266399 69.3024152836 6.9574266399 0.4592464775 0.2517180178
0.9328177713 0.3014465162 3.0297243993 -1.3898743864 6.9574266399 6.9574266399 6.9574266399 0.9328177713 0.3014465162
0.7217767432 0.4111673818 1.5524372023 -0.6218283276 6.9574266399 6.9574266399 6.9574266399 0.7217767432 0.4111673818
0.8688247019 0.9523773286 2.5817729134 3.1666412999 7.0247852807 11.0001659887 7.0247852807 0.8688247019 0.9523773286
0.1748669589 0.4323595670 -2.2759312876 -0.4734830310 75.1550218299 6.9574266399 6.9574266399 0.1748669589 0.4323595670
0.4360711345 0.4873886203 -0.4475020585 -0.0882796580 6.9574266399 9.0897003547 6.9574266399 0.4360711345 0.4873886203
0.9157051833 0.1030931109 2.9099362831 -2.7783482237 10.7408698146 6.9574266399 6.9574266399 0.9157051833 0.1030931109
0.9332821784 0.7529374505 3.0329752486 1.7705621535 6.9574266399 12.3130756125 6.9574266399 0.9332821784 0.7529374505
0.2544632442 0.7703223092 -1.7187572906 1.8922561643 6.9574266399 6.9574266399 6.9574266399 0.2544632442 0.7703223092
0.3069979643 0.3120268940 -1.3510142502 -1.3158117420 6.9809850732 6.9574266399 6.9574266399 0.3069979643 0.3120268940
0.1466126515 0.2737082558 -2.4737114395 -1.5840422091 6.4344355020 6.9574266399 6.4344355020 0.1466126515 0.2737082558
0.6238387821 0.4460725490 0.8668714746 -0.3774921573 6.9574266399 6.9574266399 6.9574266399 0.6238387821 0.4460725490
0.4141979706 0.9964889055 -0.6006142061 3.4754223382 6.0258019527 5.9497181159 5.9497181159 0.4141979706 0.9964889055
0.7443545717 0.1149174595 1.7104820016 -2.6955777837 6.9574266399 20.9149778089 6.9574266399 0.7443545717 0.1149174595
0.4143394813 0.5662437008 -0.5996236310 0.4637059059 6.9574266399 4.9409292090 4.9409292090 0.4143394813 0.5662437008
0.7966034661 0.4046566426 2.0762242630 -0.6674035021 6.9574266399 6.9574266399 6.9574266399 0.7966034661 0.4046566426
0.9786932428 0.0993082909 3.3508526995 -2.8048419640 6.9574266399 6.9574266399 6.9574266399 0.9786932428 0.0993082909
0.3884126536 0.3664864240 -0.7811114245 -0.9345950318 6.9574266399 6.5376162119 6.5376162119 0.3884126536 0.3664864240
0.5294098742 0.4550509944 0.2058691196 -0.3146430394 6.9574266399 6.9574266399 6.9574266399 0.5294098742 0.4550509944
0.0771111595 0.4602798013 -2.9602218835 -0.2780413909 6.9574266399 40.2639582480 6.9574266399 0.0771111595 0.4602798013
0.7180400282 0.7482207835 1.5262801976 1.7375454848 6.9574266399 6.9574266399 6.9574266399 0.7180400282 0.7482207835
0.1588398824 0.9060497019 -2.3881208230 2.8423479134 6.9574266399 6.9574266399 6.9574266399 0.1588398824 0.9060497019
0.6149209167 0.1913976631 0.8044464166 -2.1602163585 6.9574266399 6.9574266399 6.9574266399 0.6149209167 0.1913976631
0.5110788453 0.7331070918 0.0775519168 1.6317496425 70.6156960148 5.9497181159 5.9497181159 0.5110788453 0.7331070918
0.1592479589 0.9738229460 -2.3852642879 3.3167606217 6.9574266399 6.9574266399 6.9574266399 0.1592479589 0.9738229460
0.5702366241 0.9697518238 0.4916563684 3.2882627666 8.5938468532 40.6722460858 8.5938468532 0.5702366241 0.9697518238
