# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.2841582949 0.9040499457 -1.5108919356 2.8283496198 89.9976316197 89.9974798471 89.9974798471 0.2841582949 0.9040499457 0.7915578442
0.2841582949 0.9040499457 -1.5108919356 2.8283496198 89.9976316197 89.9974798471 89.9974798471 0.2841582949 0.9040499457 0.7915578442
0.2841527973 0.9040585014 -1.5109304188 2.8284095100 89.9977878411 89.9973643769 89.9973643769 0.2841527973 0.9040585014 0.7915503616
0.2841507282 0.9040520804 -1.5109449026 2.8283645628 89.9969790278 89.9973341749 89.9969790278 0.2841507282 0.9040520804 0.7916466035
0.2841531595 0.9040601688 -1.5109278836 2.8284211815 89.9972240787 89.9973202334 89.9972240787 0.2841531595 0.9040601688 0.7916524548
0.2841538427 0.9040222506 -1.5109231009 2.8281557543 89.9960800715 89.9972729152 89.9960800715 0.2841538427 0.9040222506 0.7916540991
0.2841548999 0.9040088843 -1.5109157010 2.8280621899 89.9956400101 89.9972180298 89.9956400101 0.2841548999 0.9040088843 0.7916566432
0.2841520459 0.9040314680 -1.5109356785 2.8282202763 89.9967755909 89.9972119868 89.9967755909 0.2841520459 0.9040314680 0.7915909415
0.2841506573 0.9040273619 -1.5109453991 2.8281915333 89.9962230943 89.9971893602 89.9962230943 0.2841506573 0.9040273619 0.7916464328
0.2841587303 0.9040063609 -1.5108888878 2.8280445265 89.9956276017 89.9971472880 89.9956276017 0.2841587303 0.9040063609 0.7916601135
0.2841473945 0.9040309441 -1.5109682382 2.8282166089 89.9960728118 89.9971346158 89.9960728118 0.2841473945 0.9040309441 0.7916716823
0.2841556843 0.9040676345 -1.5109102097 2.8284734415 89.9974436048 89.9971169309 89.9971169309 0.2841556843 0.9040676345 0.7916585312
0.2841436790 0.9040513799 -1.5109942473 2.8283596594 89.9967908706 89.9971056827 89.9967908706 0.2841436790 0.9040513799 0.7916480985
0.2841582949 0.9040499457 -1.5108919356 2.8283496198 89.9969662122 89.9970794044 89.9969662122 0.2841582949 0.9040499457 0.7916648139
0.2841460222 0.9040345434 -1.5109778447 2.8282418036 89.9964196502 89.9970715586 89.9964196502 0.2841460222 0.9040345434 0.7916352778
0.2841457084 0.9040346946 -1.5109800414 2.8282428624 89.9964223297 89.9970618244 89.9964223297 0.2841457084 0.9040346946 0.7916345226
0.2841429282 0.9040499457 -1.5109995024 2.8283496198 89.9968684358 89.9970567706 89.9968684358 0.2841429282 0.9040499457 0.7916278318
0.2841609055 0.9040322569 -1.5108736615 2.8282257981 89.9964512927 89.9970416243 89.9964512927 0.2841609055 0.9040322569 0.7916710967
0.2841607190 0.9040351472 -1.5108749672 2.8282460307 89.9965396922 89.9970262393 89.9965396922 0.2841607190 0.9040351472 0.7916706478
0.2841477160 0.9040147097 -1.5109659881 2.8281029676 89.9959268809 89.9970019294 89.9959268809 0.2841477160 0.9040147097 0.7916208942
0.2841426853 0.9040406856 -1.5110012026 2.8282847991 89.9965886159 89.9969950419 89.9965886159 0.2841426853 0.9040406856 0.7916272473
0.2841472622 0.9040129276 -1.5109691645 2.8280904931 89.9957215229 89.9969899495 89.9957215229 0.2841472622 0.9040129276 0.7916382621
0.2841770138 0.9039122120 -1.5107609033 2.8273854839 89.9928561215 89.9969510927 89.9928561215 0.2841770138 0.9039122120 0.7916236091
0.2841434607 0.9040263750 -1.5109957753 2.8281846250 89.9961421421 89.9969383697 89.9961421421 0.2841434607 0.9040263750 0.7916291132
0.2841444083 0.9040088843 -1.5109891419 2.8280621899 89.9955623386 89.9968697609 89.9955623386 0.2841444083 0.9040088843 0.7916313938
0.2841582949 0.9040332750 -1.5108919356 2.8282329253 89.9963303703 89.9968665689 89.9963303703 0.2841582949 0.9040332750 0.7916838162
0.2841747791 0.9039012109 -1.5107765461 2.8273084764 89.9922602229 89.9968551416 89.9922602229 0.2841747791 0.9039012109 0.7916276671
0.2841377983 0.9040343150 -1.5110354116 2.8282402049 89.9958427962 89.9968475522 89.9958427962 0.2841377983 0.9040343150 0.7916847706
0.2841744032 0.9038305088 -1.5107791774 2.8268135615 89.9897964086 89.9967999301 89.9897964086 0.2841744032 0.9038305088 0.7915467545
0.2841646147 0.9040243293 -1.5108476970 2.8281703050 89.9962278927 89.9967915235 89.9962278927 0.2841646147 0.9040243293 0.7916800234
0.2841658779 0.9040146836 -1.5108388544 2.8281027854 89.9959222340 89.9967849844 89.9959222340 0.2841658779 0.9040146836 0.7916830635
0.2841366623 0.9040367962 -1.5110433641 2.8282575733 89.9964308491 89.9967736523 89.9964308491 0.2841366623 0.9040367962 0.7916127519
0.2841384760 0.9040153974 -1.5110306677 2.8281077818 89.9952634036 89.9967488394 89.9952634036 0.2841384760 0.9040153974 0.7916773018
0.2841414810 0.9040015823 -1.5110096332 2.8280110762 89.9952852125 89.9967290811 89.9952852125 0.2841414810 0.9040015823 0.7916243488
0.2841377983 0.9040112826 -1.5110354116 2.8280789783 89.9955991930 89.9966624693 89.9955991930 0.2841377983 0.9040112826 0.7916154860
0.2841392194 0.9040015328 -1.5110254645 2.8280107295 89.9952673554 89.9966530484 89.9952673554 0.2841392194 0.9040015328 0.7916189059
0.2841348754 0.9040212819 -1.5110558722 2.8281489736 89.9959186887 89.9966243747 89.9959186887 0.2841348754 0.9040212819 0.7916084515
0.2841622056 0.9040580672 -1.5108645609 2.8284064707 89.9972232395 89.9966243321 89.9966243321 0.2841622056 0.9040580672 0.7916742255
0.2841355487 0.9040080954 -1.5110511589 2.8280566681 89.9954734916 89.9965693483 89.9954734916 0.2841355487 0.9040080954 0.7916100720
0.2841667656 0.9040287961 -1.5108326409 2.8282015729 89.9963864821 89.9965337309 89.9963864821 0.2841667656 0.9040287961 0.7916851998
0.2841313771 0.9040246645 -1.5110803605 2.8281726513 89.9960087776 89.9965295902 89.9960087776 0.2841313771 0.9040246645 0.7916000323
0.2841634839 0.9040572972 -1.5108556130 2.8284010802 89.9972102114 89.9965099146 89.9965099146 0.2841634839 0.9040572972 0.7916773018
0.2841256164 0.9040443647 -1.5111206854 2.8283105528 89.9966012252 89.9964590732 89.9964590732 0.2841256164 0.9040443647 0.7915861684
0.2841278027 0.9040268385 -1.5111053811 2.8281878695 89.9959781902 89.9964265571 89.9959781902 0.2841278027 0.9040268385 0.7916018814
0.2841636173 0.9040632220 -1.5108546788 2.8284425538 89.9973742694 89.9964248962 89.9964248962 0.2841636173 0.9040632220 0.7916776230
0.2841331000 0.9039928631 -1.5110682998 2.8279500420 89.9949105059 89.9963984921 89.9949105059 0.2841331000 0.9039928631 0.7916041788
0.2841321118 0.9039979327 -1.5110752175 2.8279855292 89.9950888712 89.9963957294 89.9950888712 0.2841321118 0.9039979327 0.7916018005
0.2841290246 0.9040142124 -1.5110968276 2.8280994868 89.9956427872 89.9963906203 89.9956427872 0.2841290246 0.9040142124 0.7915943708
0.2841668769 0.9040424519 -1.5108318618 2.8282971636 89.9968055636 89.9963565038 89.9963565038 0.2841668769 0.9040424519 0.7916854676
0.2841275501 0.9040063876 -1.5111071492 2.8280447135 89.9953612500 89.9962954500 89.9953612500 0.2841275501 0.9040063876 0.7915908222
0.2841640677 0.9040708941 -1.5108515264 2.8284962590 89.9975815214 89.9962854206 89.9962854206 0.2841640677 0.9040708941 0.7916787068
0.2841301607 0.9039886988 -1.5110888751 2.8279208918 89.9947357351 89.9962760182 89.9947357351 0.2841301607 0.9039886988 0.7915971049
0.2841644678 0.9040761899 -1.5108487257 2.8285333293 89.9977204586 89.9961784952 89.9961784952 0.2841644678 0.9040761899 0.7916796697
0.2841582949 0.9040918227 -1.5108919356 2.8286427591 89.9979669563 89.9961614019 89.9961614019 0.2841582949 0.9040918227 0.7916838162
0.2841301607 0.9039645374 -1.5110888751 2.8277517618 89.9943678824 89.9961370416 89.9943678824 0.2841301607 0.9039645374 0.7915360803
0.2841138472 0.9040513799 -1.5112030696 2.8283596594 89.9967532521 89.9961197515 89.9961197515 0.2841138472 0.9040513799 0.7915578442
0.2841251555 0.9039816076 -1.5111239117 2.8278712533 89.9944332291 89.9960664590 89.9944332291 0.2841251555 0.9039816076 0.7915850591
0.2841250572 0.9039814683 -1.5111245998 2.8278702784 89.9944272270 89.9960623261 89.9944272270 0.2841250572 0.9039814683 0.7915848226
0.2841898770 0.9040850657 -1.5106708607 2.8285954598 89.9986109231 89.9960615015 89.9960615015 0.2841898770 0.9040850657 0.7916313938
0.2841744032 0.9039228306 -1.5107791774 2.8274598141 89.9924443263 89.9960188473 89.9924443263 0.2841744032 0.9039228306 0.7917035808
0.2841242756 0.9039735420 -1.5111300707 2.8278147938 89.9944242601 89.9959932923 89.9944242601 0.2841242756 0.9039735420 0.7915493781
0.2841500698 0.9038176539 -1.5109495111 2.8267235770 89.9868929783 89.9959536978 89.9868929783 0.2841500698 0.9038176539 0.7916450191
0.2841444083 0.9038410265 -1.5109891419 2.8268871852 89.9915682659 89.9959135169 89.9915682659 0.2841444083 0.9038410265 0.7913462549
0.2841204600 0.9039600375 -1.5111567802 2.8277202625 89.9931609383 89.9957701958 89.9931609383 0.2841204600 0.9039600375 0.7916127519
0.2841144134 0.9039663886 -1.5111991065 2.8277647203 89.9937638451 89.9956091608 89.9937638451 0.2841144134 0.9039663886 0.7915592067
0.2841136635 0.9039653262 -1.5112043556 2.8277572836 89.9937161199 89.9955767224 89.9937161199 0.2841136635 0.9039653262 0.7915574021
0.2841696567 0.9040835414 -1.5108124031 2.8285847898 89.9979345390 89.9955310275 89.9955310275 0.2841696567 0.9040835414 0.7916921576
0.2841804172 0.9040619715 -1.5107370796 2.8284338007 89.9976464587 89.9954967836 89.9954967836 0.2841804172 0.9040619715 0.7916844907
0.2841280976 0.9040877980 -1.5111033167 2.8286145861 89.9966998556 89.9954875311 89.9954875311 0.2841280976 0.9040877980 0.7917708028
0.2841744032 0.9040513799 -1.5107791774 2.8283596594 89.9971194946 89.9954460290 89.9954460290 0.2841744032 0.9040513799 0.7917035808
0.2841330518 0.9038217499 -1.5110686373 2.8267522491 89.9869362055 89.9953370520 89.9869362055 0.2841330518 0.9038217499 0.7916040628
0.2841066399 0.9039638235 -1.5112535207 2.8277467646 89.9936115544 89.9953243266 89.9936115544 0.2841066399 0.9039638235 0.7915404988
0.2841776701 0.9040346209 -1.5107563091 2.8282423465 89.9966516726 89.9953121916 89.9953121916 0.2841776701 0.9040346209 0.7917114431
0.2841409964 0.9037525744 -1.5110130254 2.8262680210 89.9820761016 89.9952204775 89.9820761016 0.2841409964 0.9037525744 0.7916790684
0.2841725106 0.9040875847 -1.5107924257 2.8286130930 89.9980484817 89.9951534253 89.9951534253 0.2841725106 0.9040875847 0.7916990260
0.2840996155 0.9039668109 -1.5113026918 2.8277676764 89.9936924109 89.9950969871 89.9936924109 0.2840996155 0.9039668109 0.7915235935
0.2841747921 0.9040733183 -1.5107764551 2.8285132281 89.9977126312 89.9950939643 89.9950939643 0.2841747921 0.9040733183 0.7917045168
0.2841001658 0.9039462032 -1.5112988396 2.8276234223 89.9928357110 89.9949774095 89.9928357110 0.2841001658 0.9039462032 0.7915249179
0.2841562733 0.9041308709 -1.5109060867 2.8289160965 89.9893499835 89.9948220666 89.9893499835 0.2841562733 0.9041308709 0.7909095233
0.2840943057 0.9039496639 -1.5113398601 2.8276476475 89.9929502853 89.9947884396 89.9929502853 0.2840943057 0.9039496639 0.7915108148
0.2840689336 0.9040513799 -1.5115174651 2.8283596594 89.9965311606 89.9945581887 89.9945581887 0.2840689336 0.9040513799 0.7914497531
0.2841826788 0.9040430797 -1.5107212486 2.8283015580 89.9969284589 89.9945381450 89.9945381450 0.2841826788 0.9040430797 0.7917258120
0.2840898721 0.9039316195 -1.5113708956 2.8275213362 89.9921381109 89.9944963060 89.9921381109 0.2840898721 0.9039316195 0.7915001446
0.2840259283 0.9042513992 -1.5118185018 2.8297597944 89.9917421722 89.9942866355 89.9917421722 0.2840259283 0.9042513992 0.7913462549
0.2840789220 0.9039549921 -1.5114475458 2.8276849444 89.9930991227 89.9942465675 89.9930991227 0.2840789220 0.9039549921 0.7914737918
0.2840836686 0.9039228306 -1.5114143201 2.8274598141 89.9917072297 89.9941941921 89.9917072297 0.2840836686 0.9039228306 0.7914852150
0.2840458375 0.9040949380 -1.5116791378 2.8286645657 89.9951280594 89.9939613502 89.9939613502 0.2840458375 0.9040949380 0.7913941691
0.2841891149 0.9040956815 -1.5106761958 2.8286697703 89.9984872854 89.9939597235 89.9939597235 0.2841891149 0.9040956815 0.7917054229
0.2841444083 0.9041012061 -1.5109891419 2.8287084424 89.9973417822 89.9939443165 89.9939443165 0.2841444083 0.9041012061 0.7917882202
0.2840684473 0.9039549921 -1.5115208687 2.8276849444 89.9930547881 89.9938293941 89.9930547881 0.2840684473 0.9039549921 0.7914485830
0.9044775097 0.2171859247 2.8313425680 -1.9796985271 89.4217383268 89.8540322646 89.4217383268 0.9044775097 0.2171859247 0.6782301004
0.3277232820 0.1274970332 -1.2059370262 -2.6075207677 89.9115830731 89.7865002634 89.7865002634 0.3277232820 0.1274970332 0.2114043939
0.5838525523 0.8914476734 0.5869678662 2.7401337137 45.5743064415 89.2606242033 45.5743064415 0.5838525523 0.8914476734 0.6023785319
0.3271008762 0.2904756605 -1.2102938666 -1.4666703768 66.8891753747 89.1092561637 66.8891753747 0.3271008762 0.2904756605 0.8595667258
0.5821428749 0.4142619591 0.5750001240 -0.6001662863 81.5762119748 88.7880869683 81.5762119748 0.5821428749 0.4142619591 0.1392788202
0.9101747857 0.2158991994 2.8712234998 -1.9887056045 60.6192430354 86.9657404686 60.6192430354 0.9101747857 0.2158991994 0.7105716948
0.9012707487 0.2193115347 2.8088952406 -1.9648192571 63.8454465192 86.9372128453 63.8454465192 0.9012707487 0.2193115347 0.6448214007
0.2897162615 0.9102857433 -1.4719861695 2.8720002028 79.9663584668 86.6735662941 79.9663584668 0.2897162615 0.9102857433 0.7740719268
0.2754790220 0.9052637315 -1.5716468459 2.8368461202 81.1070889279 83.3558152227 81.1070889279 0.2754790220 0.9052637315 0.8208611398
