# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 48.5631112206 649 0 12 12
10 7455 89.7256720521 912 8 12 12
20 13705 89.7256720521 1638 17 12 12
30 19955 89.7256720521 2518 20 12 12
40 26205 89.7611662700 3347 22 12 12
50 32455 89.7717918578 4213 25 12 12
60 38705 89.7727217596 5085 26 12 12
70 44955 89.7762020376 5961 31 12 12
80 51205 89.9858041911 6816 33 12 12
90 57455 89.9956395398 7662 33 12 12
100 63705 89.9980149655 8548 34 12 12
110 69955 89.9988942429 9433 35 12 12
120 76205 89.9995773639 10289 36 12 12
130 82455 89.9996668707 11114 37 12 12
140 88705 89.9998129112 11945 37 12 12
150 94955 89.9998852414 12764 37 12 12
159 100000 89.9999641415 13426 38 12 0
