# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.3215315682 0.2616672824 -1.2492790225 -1.6683290230 15.6304073389 0.6319986533 0.6319986533 0.3215315682 0.2616672824 0.8881238499
0.2831410284 0.2868801101 -1.5180128009 -1.4918392290 15.6304073389 0.6319986533 0.6319986533 0.2831410284 0.2868801101 0.3048408484
0.1683773786 0.4217150872 -2.3213583499 -0.5479943898 15.6304073389 0.6319986533 0.6319986533 0.1683773786 0.4217150872 0.6665900336
0.8809285503 0.1668411273 2.6664998519 -2.3321121091 0.6319986533 17.9937033781 0.6319986533 0.8809285503 0.1668411273 0.8430508013
0.6310317423 0.7961111822 0.9172221960 2.0727782751 0.6319986533 17.9937033781 0.6319986533 0.6310317423 0.7961111822 0.5400659942
0.1503802669 0.0591281865 -2.4473381316 -3.0861026948 15.6304073389 0.6319986533 0.6319986533 0.1503802669 0.0591281865 0.1501180764
0.1293120257 0.4925336230 -2.5948158199 -0.0522646391 15.6304073389 0.6319986533 0.6319986533 0.1293120257 0.4925336230 0.7486621833
0.3862770692 0.7720462282 -0.7960605156 1.9043235976 15.6304073389 0.6319986533 0.6319986533 0.3862770692 0.7720462282 0.4739517186
0.8855517013 0.3524161265 2.6988619090 -1.0330871148 0.6319986533 17.9937033781 0.6319986533 0.8855517013 0.3524161265 0.8064841444
0.2360415798 0.5452769831 -1.8477089415 0.3169388815 15.6304073389 0.6319986533 0.6319986533 0.2360415798 0.5452769831 0.8721841978
0.1971985842 0.3447939713 -2.1196099103 -1.0864422012 15.6304073389 0.6319986533 0.6319986533 0.1971985842 0.3447939713 0.4795846963
0.0739250801 0.9979778797 -2.9825244395 3.4858451579 0.4132394846 21.1495832850 0.4132394846 0.0739250801 0.9979778797 0.0428319310
0.3588321633 0.7325143476 -0.9881748569 1.6276004335 15.6304073389 0.6319986533 0.6319986533 0.3588321633 0.7325143476 0.4574164896
0.1709260130 0.8172688706 -2.3035179092 2.2208820941 15.6304073389 0.6319986533 0.6319986533 0.1709260130 0.8172688706 0.3140440995
0.4864778950 0.6194570358 -0.0946547352 0.8361992504 0.6319986533 17.9937033781 0.6319986533 0.4864778950 0.6194570358 0.2160517960
0.0814653491 0.7394366893 -2.9297425565 1.6760568251 15.6304073389 21.1495832850 15.6304073389 0.0814653491 0.7394366893 0.0051450493
0.5726493746 0.3728163788 0.5085456222 -0.8902853486 0.6319986533 17.9937033781 0.6319986533 0.5726493746 0.3728163788 0.7254971864
0.3069894118 0.1794811135 -1.3510741176 -2.2436322057 15.6304073389 0.6319986533 0.6319986533 0.3069894118 0.1794811135 0.9623487651
0.9803504646 0.5945646089 3.3624532519 0.6619522621 0.5626802436 17.9937033781 0.5626802436 0.9803504646 0.5945646089 0.9439509052
0.5841105067 0.6310435843 0.5887735469 0.9173050902 1.4125725853 17.9937033781 1.4125725853 0.5841105067 0.6310435843 0.5444200059
0.1843762551 0.2774311262 -2.2093662143 -1.5579821166 15.6304073389 0.6319986533 0.6319986533 0.1843762551 0.2774311262 0.8711248428
0.0524379775 0.6969841276 -3.1329341573 1.3788888935 15.6304073389 0.6319986533 0.6319986533 0.0524379775 0.6969841276 0.6518059652
0.6805901420 0.2525898020 1.2641309941 -1.7318713861 0.6319986533 4.4041414831 0.6319986533 0.6805901420 0.2525898020 0.0699159901
0.4360752101 0.6852516021 -0.4474735294 1.2967612150 15.6304073389 0.6319986533 0.6319986533 0.4360752101 0.6852516021 0.1455712414
0.2425358882 0.1218884705 -1.8022487823 -2.6467807067 15.6304073389 0.6319986533 0.6319986533 0.2425358882 0.1218884705 0.2828719940
0.9435731577 0.2559735089 3.1050121038 -1.7081854374 0.6319986533 17.9937033781 0.6319986533 0.9435731577 0.2559735089 0.5171693105
0.7069011558 0.3651672184 1.4483080905 -0.9438294714 0.6319986533 17.9937033781 0.6319986533 0.7069011558 0.3651672184 0.4835832918
0.7638348589 0.1441863722 1.8468440124 -2.4906953943 0.6319986533 17.9937033781 0.6319986533 0.7638348589 0.1441863722 0.4135589119
0.9043972559 0.8056841117 2.8307807910 2.1397887820 0.6319986533 17.9937033781 0.6319986533 0.9043972559 0.8056841117 0.4641744012
0.3614317735 0.6285556243 -0.9699775857 0.8998893699 15.6304073389 0.6319986533 0.6319986533 0.3614317735 0.6285556243 0.2340838826
0.5187073250 0.6106202165 0.1309512748 0.7743415156 0.6923228518 17.9937033781 0.6923228518 0.5187073250 0.6106202165 0.6431892169
0.1513651937 0.0372174709 -2.4404436441 -3.2394777034 15.6304073389 1.2031996390 1.2031996390 0.1513651937 0.0372174709 0.1288542354
