# iter evaluations best_consensus history_archive_size consensus_archive_size party0_clusters party1_clusters
0 1205 28.1563331157 736 0 12 12
10 7455 76.8302346619 1368 1 12 12
20 13705 84.4899496983 2076 4 12 12
30 19955 89.4748239354 3101 6 12 12
40 26205 89.9774581758 4468 6 12 12
50 32455 89.9774581758 5912 6 12 12
60 38705 89.9878934132 7176 6 12 12
70 44955 89.9919506071 8667 6 12 12
80 51205 89.9957351872 10207 6 12 12
90 57455 89.9981217198 11881 6 12 12
100 63705 89.9985807324 13610 6 12 12
110 69955 89.9993532000 15088 6 12 12
120 76205 89.9995826079 16036 6 12 12
130 82455 89.9995826079 16944 6 12 12
140 88705 89.9996228487 17857 6 12 12
150 94556 89.9997384262 18728 6 8 12
160 99504 89.9998672596 19433 6 6 12
161 100000 89.9998672596 19505 6 6 12
