# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.6957163758 0.1782990973 1.3700146305 -2.2519063188 7.3302999777 15.1918990397 7.3302999777 0.6957163758 0.1782990973 0.1323450249
0.5116641334 0.3515417516 0.0816489338 -1.0392077390 7.8156344390 9.9919073783 7.8156344390 0.5116641334 0.3515417516 0.1413965442
0.1596461825 0.2642199098 -2.3824767226 -1.6504606313 7.8156344390 8.6370377440 7.8156344390 0.1596461825 0.2642199098 0.7674094443
0.8754312238 0.7207276974 2.6280185665 1.5450938820 7.0987655199 6.7576593195 6.7576593195 0.8754312238 0.7207276974 0.4764300182
0.5717397758 0.4050271040 0.5021784306 -0.6648102719 7.0987655199 6.7576593195 6.7576593195 0.5717397758 0.4050271040 0.2675560707
0.4116103727 0.4121694162 -0.6187273911 -0.6148140866 7.8156344390 6.7576593195 6.7576593195 0.4116103727 0.4121694162 0.3881866773
0.6071756058 0.2159069356 0.7502292405 -1.9886514506 7.0987655199 6.7576593195 6.7576593195 0.6071756058 0.2159069356 0.4173457676
0.7302428185 0.5078041460 1.6116997298 0.0546290217 7.0987655199 6.7576593195 6.7576593195 0.7302428185 0.5078041460 0.3918022148
0.4970609890 0.9736561095 -0.0205730771 3.3155927662 8.6370377440 6.6124571187 6.6124571187 0.4970609890 0.9736561095 0.1422784525
0.2986801644 0.7717896138 -1.4092388490 1.9025272963 8.6370377440 8.6370377440 8.6370377440 0.2986801644 0.7717896138 0.3401300774
0.8521969444 0.7214964908 2.4653786109 1.5504754357 7.0987655199 11.8537088587 7.0987655199 0.8521969444 0.7214964908 0.9126686443
0.3676276406 0.9819881516 -0.9266065159 3.3739170615 8.6370377440 6.6124571187 6.6124571187 0.3676276406 0.9819881516 0.0809926777
0.8948196708 0.9744562433 2.7637376959 3.3211937030 7.0987655199 7.6152317209 7.0987655199 0.8948196708 0.9744562433 0.9759241090
0.4597472787 0.5988466213 -0.2817690493 0.6919263488 8.6370377440 6.7576593195 6.7576593195 0.4597472787 0.5988466213 0.4045340421
0.4779855887 0.2810069573 -0.1541008789 -1.5329512991 7.8156344390 7.7392352602 7.7392352602 0.4779855887 0.2810069573 0.7960340892
0.0868857400 0.6197939680 -2.8917998197 0.8385577760 8.6370377440 8.6370377440 8.6370377440 0.0868857400 0.6197939680 0.4230167728
0.2679078510 0.2926372048 -1.6246450432 -1.4515395667 7.8156344390 8.6370377440 7.8156344390 0.2679078510 0.2926372048 0.1138476329
