# from_x0 from_x1 to_x0 to_x1 length
-2.7406433057 2.0027271428 -2.7406433551 2.0027272770 0.0000000474
-2.7406434363 2.0027271468 -2.7406433551 2.0027272770 0.0000000367
-2.7406432780 2.0027272955 -2.7406433057 2.0027271428 0.0000000239
-2.7406433636 2.0027272308 -2.7406433551 2.0027272770 0.0000000097
-2.7406433636 2.0027272169 -2.7406433057 2.0027271428 0.0000000162
-2.7406433049 2.0027271012 -2.7406433057 2.0027271428 0.0000000252
-2.7406432336 2.0027272169 -2.7406433057 2.0027271428 0.0000000173
-2.7406432314 2.0027273835 -2.7406432780 2.0027272955 0.0000000142
-2.7406433615 2.0027270356 -2.7406433636 2.0027272308 0.0000000279
-2.7406431885 2.0027271837 -2.7406432336 2.0027272169 0.0000000334
-2.7406432319 2.0027273755 -2.7406432314 2.0027273835 0.0000000111
-2.7406433954 2.0027273148 -2.7406434363 2.0027271468 0.0000000252
-2.7406432724 2.0027272202 -2.7406433049 2.0027271012 0.0000000181
-2.7406431735 2.0027272955 -2.7406431885 2.0027271837 0.0000000161
-2.7406433278 2.0027270477 -2.7406433615 2.0027270356 0.0000000100
-2.7406432321 2.0027273737 -2.7406432319 2.0027273755 0.0000000025
-2.7406431735 2.0027272308 -2.7406431885 2.0027271837 0.0000000071
-2.7406431853 2.0027274501 -2.7406432314 2.0027273835 0.0000000180
-2.7406431986 2.0027271455 -2.7406432336 2.0027272169 0.0000000125
-2.7406432881 2.0027274912 -2.7406432321 2.0027273737 0.0000000208
-2.7406432563 2.0027273996 -2.7406432881 2.0027274912 0.0000000153
-2.7406431156 2.0027273656 -2.7406431735 2.0027272955 0.0000000596
-2.7406433851 2.0027271455 -2.7406434363 2.0027271468 0.0000000100
-2.7406432326 2.0027273656 -2.7406432563 2.0027273996 0.0000000077
-2.7406431272 2.0027272056 -2.7406431735 2.0027272308 0.0000000179
-2.7406432326 2.0027271935 -2.7406431885 2.0027271837 0.0000000149
-2.7406433327 2.0027271438 -2.7406434363 2.0027271468 0.0000000174
-2.7406432887 2.0027274814 -2.7406432881 2.0027274912 0.0000000135
-2.7406431487 2.0027274867 -2.7406431853 2.0027274501 0.0000000151
-2.7406433878 2.0027273309 -2.7406433954 2.0027273148 0.0000000140
-2.7406433802 2.0027271289 -2.7406433851 2.0027271455 0.0000000083
-2.7406431329 2.0027272253 -2.7406431986 2.0027271455 0.0000000167
-2.7406431636 2.0027271676 -2.7406431272 2.0027272056 0.0000000157
-2.7406430790 2.0027272985 -2.7406431156 2.0027273656 0.0000000151
-2.7406433858 2.0027271357 -2.7406433802 2.0027271289 0.0000000057
-2.7406435010 2.0027269352 -2.7406433858 2.0027271357 0.0000000505
-2.7406432332 2.0027273558 -2.7406432563 2.0027273996 0.0000000111
-2.7406430748 2.0027272293 -2.7406431272 2.0027272056 0.0000000107
-2.7406431571 2.0027273254 -2.7406432319 2.0027273755 0.0000000129
-2.7406430189 2.0027272759 -2.7406430790 2.0027272985 0.0000000109
-2.7406430411 2.0027271208 -2.7406430189 2.0027272759 0.0000000263
-2.7406434924 2.0027267342 -2.7406435010 2.0027269352 0.0000000301
-2.7406430145 2.0027273397 -2.7406431156 2.0027273656 0.0000000254
-2.7406430913 2.0027277470 -2.7406431156 2.0027273656 0.0000000550
-2.7406436190 2.0027274701 -2.7406433878 2.0027273309 0.0000000590
-2.7406434305 2.0027271747 -2.7406435010 2.0027269352 0.0000000357
-2.7406432068 2.0027267241 -2.7406433049 2.0027271012 0.0000000580
-2.7406434977 2.0027271783 -2.7406434305 2.0027271747 0.0000000313
-2.7406432060 2.0027268579 -2.7406432068 2.0027267241 0.0000000243
-2.7406438017 2.0027274433 -2.7406436190 2.0027274701 0.0000000276
-2.7406431723 2.0027275966 -2.7406432881 2.0027274912 0.0000000228
-2.7406434801 2.0027275544 -2.7406433878 2.0027273309 0.0000000364
-2.7406429031 2.0027274862 -2.7406430790 2.0027272985 0.0000000587
-2.7406435614 2.0027270626 -2.7406434977 2.0027271783 0.0000000341
-2.7406429458 2.0027271177 -2.7406430189 2.0027272759 0.0000000292
-2.7406428287 2.0027275308 -2.7406429031 2.0027274862 0.0000000675
-2.7406432574 2.0027274559 -2.7406433878 2.0027273309 0.0000000260
