# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.1084795207 0.7861038967 -2.7406433551 2.0027272770 90.0000000000 90.0000000000 90.0000000000 0.1084795207 0.7861038967 0.6173334996
0.1084795207 0.7861038967 -2.7406433551 2.0027272770 90.0000000000 90.0000000000 90.0000000000 0.1084795207 0.7861038967 0.6173334996
0.1084795091 0.7861038781 -2.7406434363 2.0027271468 90.0000000000 90.0000000000 90.0000000000 0.1084795091 0.7861038781 0.6173335291
0.1084795317 0.7861038994 -2.7406432780 2.0027272955 90.0000000000 90.0000000000 90.0000000000 0.1084795317 0.7861038994 0.6173334659
0.1084795195 0.7861038901 -2.7406433636 2.0027272308 90.0000000000 90.0000000000 90.0000000000 0.1084795195 0.7861038901 0.6173335066
0.1084795195 0.7861038881 -2.7406433636 2.0027272169 90.0000000000 90.0000000000 90.0000000000 0.1084795195 0.7861038881 0.6173334479
0.1084795279 0.7861038716 -2.7406433049 2.0027271012 89.9999999999 90.0000000000 89.9999999999 0.1084795279 0.7861038716 0.6173334814
0.1084795381 0.7861038881 -2.7406432336 2.0027272169 90.0000000000 90.0000000000 90.0000000000 0.1084795381 0.7861038881 0.6173334479
0.1084795384 0.7861039119 -2.7406432314 2.0027273835 89.9999999999 89.9999999999 89.9999999999 0.1084795384 0.7861039119 0.6173334658
0.1084795198 0.7861038622 -2.7406433615 2.0027270356 89.9999999999 89.9999999999 89.9999999999 0.1084795198 0.7861038622 0.6173335083
0.1084795383 0.7861039108 -2.7406432319 2.0027273755 89.9999999999 89.9999999999 89.9999999999 0.1084795383 0.7861039108 0.6173334768
0.1084795445 0.7861038834 -2.7406431885 2.0027271837 90.0000000000 89.9999999999 89.9999999999 0.1084795445 0.7861038834 0.6173334155
0.1084795149 0.7861039021 -2.7406433954 2.0027273148 90.0000000000 89.9999999999 89.9999999999 0.1084795149 0.7861039021 0.6173335340
0.1084795325 0.7861038886 -2.7406432724 2.0027272202 90.0000000000 89.9999999999 89.9999999999 0.1084795325 0.7861038886 0.6173334854
0.1084795466 0.7861038994 -2.7406431735 2.0027272955 90.0000000000 89.9999999999 89.9999999999 0.1084795466 0.7861038994 0.6173334161
0.1084795383 0.7861039105 -2.7406432321 2.0027273737 89.9999999999 89.9999999999 89.9999999999 0.1084795383 0.7861039105 0.6173334793
0.1084795246 0.7861038640 -2.7406433278 2.0027270477 89.9999999999 89.9999999999 89.9999999999 0.1084795246 0.7861038640 0.6173334997
0.1084795466 0.7861038901 -2.7406431735 2.0027272308 90.0000000000 89.9999999999 89.9999999999 0.1084795466 0.7861038901 0.6173334161
0.1084795450 0.7861039214 -2.7406431853 2.0027274501 89.9999999998 89.9999999999 89.9999999998 0.1084795450 0.7861039214 0.6173334520
0.1084795303 0.7861039273 -2.7406432881 2.0027274912 89.9999999998 89.9999999999 89.9999999998 0.1084795303 0.7861039273 0.6173334886
0.1084795431 0.7861038779 -2.7406431986 2.0027271455 89.9999999999 89.9999999999 89.9999999999 0.1084795431 0.7861038779 0.6173334428
0.1084795348 0.7861039142 -2.7406432563 2.0027273996 89.9999999998 89.9999999999 89.9999999998 0.1084795348 0.7861039142 0.6173334952
0.1084795549 0.7861039094 -2.7406431156 2.0027273656 89.9999999999 89.9999999999 89.9999999999 0.1084795549 0.7861039094 0.6173333579
0.1084795164 0.7861038779 -2.7406433851 2.0027271455 89.9999999999 89.9999999999 89.9999999999 0.1084795164 0.7861038779 0.6173335360
0.1084795382 0.7861039094 -2.7406432326 2.0027273656 89.9999999998 89.9999999999 89.9999999998 0.1084795382 0.7861039094 0.6173334903
0.1084795533 0.7861038865 -2.7406431272 2.0027272056 90.0000000000 89.9999999999 89.9999999999 0.1084795533 0.7861038865 0.6173333998
0.1084795382 0.7861038848 -2.7406432326 2.0027271935 90.0000000000 89.9999999999 89.9999999999 0.1084795382 0.7861038848 0.6173334020
0.1084795239 0.7861038777 -2.7406433327 2.0027271438 89.9999999999 89.9999999999 89.9999999999 0.1084795239 0.7861038777 0.6173335200
0.1084795302 0.7861039259 -2.7406432887 2.0027274814 89.9999999998 89.9999999999 89.9999999998 0.1084795302 0.7861039259 0.6173335021
0.1084795502 0.7861039267 -2.7406431487 2.0027274867 89.9999999996 89.9999999999 89.9999999996 0.1084795502 0.7861039267 0.6173334652
0.1084795160 0.7861039044 -2.7406433878 2.0027273309 89.9999999999 89.9999999999 89.9999999999 0.1084795160 0.7861039044 0.6173335478
0.1084795171 0.7861038756 -2.7406433802 2.0027271289 89.9999999999 89.9999999999 89.9999999999 0.1084795171 0.7861038756 0.6173335439
0.1084795524 0.7861038893 -2.7406431329 2.0027272253 89.9999999999 89.9999999999 89.9999999999 0.1084795524 0.7861038893 0.6173334351
0.1084795481 0.7861038811 -2.7406431636 2.0027271676 89.9999999999 89.9999999999 89.9999999999 0.1084795481 0.7861038811 0.6173333861
0.1084795601 0.7861038998 -2.7406430790 2.0027272985 89.9999999999 89.9999999999 89.9999999999 0.1084795601 0.7861038998 0.6173333475
0.1084795163 0.7861038765 -2.7406433858 2.0027271357 89.9999999999 89.9999999999 89.9999999999 0.1084795163 0.7861038765 0.6173335494
0.1084794999 0.7861038479 -2.7406435010 2.0027269352 89.9999999997 89.9999999999 89.9999999997 0.1084794999 0.7861038479 0.6173335877
0.1084795381 0.7861039080 -2.7406432332 2.0027273558 89.9999999998 89.9999999999 89.9999999998 0.1084795381 0.7861039080 0.6173335038
0.1084795607 0.7861038899 -2.7406430748 2.0027272293 89.9999999999 89.9999999998 89.9999999998 0.1084795607 0.7861038899 0.6173334067
0.1084795490 0.7861039036 -2.7406431571 2.0027273254 89.9999999998 89.9999999998 89.9999999998 0.1084795490 0.7861039036 0.6173334763
0.1084795687 0.7861038966 -2.7406430189 2.0027272759 89.9999999999 89.9999999998 89.9999999998 0.1084795687 0.7861038966 0.6173333534
0.1084795656 0.7861038744 -2.7406430411 2.0027271208 89.9999999999 89.9999999998 89.9999999998 0.1084795656 0.7861038744 0.6173333673
0.1084795011 0.7861038192 -2.7406434924 2.0027267342 89.9999999995 89.9999999998 89.9999999995 0.1084795011 0.7861038192 0.6173335789
0.1084795694 0.7861039057 -2.7406430145 2.0027273397 89.9999999999 89.9999999998 89.9999999998 0.1084795694 0.7861039057 0.6173333785
0.1084795584 0.7861039639 -2.7406430913 2.0027277470 89.9999999994 89.9999999998 89.9999999994 0.1084795584 0.7861039639 0.6173333649
0.1084794830 0.7861039243 -2.7406436190 2.0027274701 89.9999999998 89.9999999998 89.9999999998 0.1084794830 0.7861039243 0.6173335925
0.1084795419 0.7861038177 -2.7406432068 2.0027267241 89.9999999994 89.9999999998 89.9999999994 0.1084795419 0.7861038177 0.6173334652
0.1084795099 0.7861038821 -2.7406434305 2.0027271747 89.9999999999 89.9999999998 89.9999999998 0.1084795099 0.7861038821 0.6173335894
0.1084795003 0.7861038826 -2.7406434977 2.0027271783 89.9999999999 89.9999999998 89.9999999998 0.1084795003 0.7861038826 0.6173336191
0.1084795420 0.7861038368 -2.7406432060 2.0027268579 89.9999999995 89.9999999998 89.9999999995 0.1084795420 0.7861038368 0.6173334801
0.1084794569 0.7861039205 -2.7406438017 2.0027274433 89.9999999998 89.9999999998 89.9999999998 0.1084794569 0.7861039205 0.6173335842
0.1084795468 0.7861039424 -2.7406431723 2.0027275966 89.9999999994 89.9999999998 89.9999999994 0.1084795468 0.7861039424 0.6173334929
0.1084795028 0.7861039363 -2.7406434801 2.0027275544 89.9999999998 89.9999999998 89.9999999998 0.1084795028 0.7861039363 0.6173335593
0.1084795853 0.7861039266 -2.7406429031 2.0027274862 89.9999999997 89.9999999998 89.9999999997 0.1084795853 0.7861039266 0.6173333017
0.1084794912 0.7861038661 -2.7406435614 2.0027270626 89.9999999998 89.9999999998 89.9999999998 0.1084794912 0.7861038661 0.6173336476
0.1084795792 0.7861038740 -2.7406429458 2.0027271177 89.9999999999 89.9999999997 89.9999999997 0.1084795792 0.7861038740 0.6173333382
0.1084795959 0.7861039330 -2.7406428287 2.0027275308 89.9999999994 89.9999999997 89.9999999994 0.1084795959 0.7861039330 0.6173332353
0.1084795347 0.7861039223 -2.7406432574 2.0027274559 89.9999999996 89.9999999997 89.9999999996 0.1084795347 0.7861039223 0.6173335449
0.1084795628 0.7861039054 -2.7406430607 2.0027273377 89.9999999997 89.9999999997 89.9999999997 0.1084795628 0.7861039054 0.6173334680
0.1084794945 0.7861038791 -2.7406435386 2.0027271537 89.9999999998 89.9999999997 89.9999999997 0.1084794945 0.7861038791 0.6173336557
0.1084794384 0.7861038130 -2.7406439311 2.0027266907 89.9999999987 89.9999999997 89.9999999987 0.1084794384 0.7861038130 0.6173336083
0.1084795496 0.7861038621 -2.7406431525 2.0027270348 89.9999999998 89.9999999997 89.9999999997 0.1084795496 0.7861038621 0.6173333542
0.1084794928 0.7861038486 -2.7406435506 2.0027269402 89.9999999995 89.9999999996 89.9999999995 0.1084794928 0.7861038486 0.6173336623
0.1084795830 0.7861039047 -2.7406429189 2.0027273327 89.9999999996 89.9999999996 89.9999999996 0.1084795830 0.7861039047 0.6173334252
0.1084795069 0.7861040021 -2.7406434519 2.0027280149 89.9999999988 89.9999999996 89.9999999988 0.1084795069 0.7861040021 0.6173334344
0.1084795348 0.7861039469 -2.7406432567 2.0027276280 89.9999999993 89.9999999996 89.9999999993 0.1084795348 0.7861039469 0.6173335393
