# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.0296871035 0.9422036596 -3.2921902752 3.0954256174 0.0750923034 0.0750923034 0.0750923034 0.0296871035 0.9422036596 0.3623812312
0.0656259374 0.4180973847 -3.0406184379 -0.5733183073 0.0750923034 0.0606269113 0.0606269113 0.0656259374 0.4180973847 0.6086169461
0.5271518035 0.4057358669 0.1900626244 -0.6598489318 0.0750923034 0.0603430973 0.0603430973 0.5271518035 0.4057358669 0.8370584920
0.9726602304 0.5957358848 3.3086216131 0.6701511933 0.0750923034 0.0750923034 0.0750923034 0.9726602304 0.5957358848 0.4394102763
0.4170490292 0.5774008258 -0.5806567957 0.5418057807 0.0750923034 0.0750923034 0.0750923034 0.4170490292 0.5774008258 0.7208105526
0.9543255895 0.9308294873 3.1802791264 3.0158064113 0.0750923034 0.0750923034 0.0750923034 0.9543255895 0.9308294873 0.8052209255
0.3564344515 0.9221830371 -1.0049588398 2.9552812594 0.0750923034 0.0750923034 0.0750923034 0.3564344515 0.9221830371 0.0734960912
0.2405933413 0.4338194959 -1.8158466111 -0.4632635288 0.5644070163 0.0606269113 0.0606269113 0.2405933413 0.4338194959 0.3109295241
0.0819910163 0.2589128698 -2.9260628862 -1.6876099111 0.0750923034 0.0606269113 0.0606269113 0.0819910163 0.2589128698 0.3024280626
0.3945985801 0.1542190528 -0.7378099395 -2.4204666305 0.0750923034 0.0606269113 0.0606269113 0.3945985801 0.1542190528 0.9459862182
0.6276376742 0.1628662107 0.8934637195 -2.3599365249 0.0750923034 0.0603430973 0.0603430973 0.6276376742 0.1628662107 0.6692753578
0.3850801253 0.9587885218 -0.8044391230 3.2115196525 0.0750923034 0.0750923034 0.0750923034 0.3850801253 0.9587885218 0.3676691987
0.8965386904 0.6385278645 2.7757708329 0.9696950518 0.0750923034 0.0750923034 0.0750923034 0.8965386904 0.6385278645 0.7705094529
0.4711216537 0.9787529691 -0.2021484240 3.3512707839 0.0750923034 0.0750923034 0.0750923034 0.4711216537 0.9787529691 0.8227462606
0.7924569127 0.9286400176 2.0471983892 3.0004801229 0.0750923034 0.0750923034 0.0750923034 0.7924569127 0.9286400176 0.5408008010
0.7381659899 0.0820940393 1.6671619292 -2.9253417249 0.0531522116 0.0603430973 0.0531522116 0.7381659899 0.0820940393 0.2381750419
0.4131552895 0.3096598255 -0.6079129733 -1.3323812218 0.0750923034 3.4670389124 0.0750923034 0.4131552895 0.3096598255 0.4518004155
0.0620114046 0.3317627993 -3.0659201679 -1.1776604046 0.0750923034 0.0606269113 0.0606269113 0.0620114046 0.3317627993 0.6211428118
0.4767159913 0.0278017708 -0.1629880611 -3.3053876046 0.0531522116 0.0603430973 0.0531522116 0.4767159913 0.0278017708 0.6492424265
0.3766924172 0.2661366098 -0.8631530798 -1.6370437313 0.0750923034 0.0606269113 0.0606269113 0.3766924172 0.2661366098 0.9116676731
0.1311886397 0.7254140748 -2.5816795222 1.5778985238 0.0750923034 0.1783744205 0.0750923034 0.1311886397 0.7254140748 0.9479942123
0.3741648291 0.4875117740 -0.8808461960 -0.0874175818 0.1327882754 0.0606269113 0.0606269113 0.3741648291 0.4875117740 0.2859945498
0.4291006575 0.1907423896 -0.4962953973 -2.1648032729 0.0750923034 0.0686187399 0.0686187399 0.4291006575 0.1907423896 0.0756973041
0.5877854696 0.6862535457 0.6144982869 1.3037748199 0.0750923034 0.0750923034 0.0750923034 0.5877854696 0.6862535457 0.6186510662
0.7569202600 0.0102053471 1.7984418201 -3.4285625700 0.0531522116 0.0565004350 0.0531522116 0.7569202600 0.0102053471 0.0897735361
0.3998491936 0.4442051111 -0.7010556449 -0.3905642225 0.0750923034 0.0606269113 0.0606269113 0.3998491936 0.4442051111 0.5565347430
0.9314771322 0.2037487569 3.0203399256 -2.0737587020 0.0750923034 0.0976652131 0.0750923034 0.9314771322 0.2037487569 0.4574106725
0.6566810954 0.2102959375 1.0967676678 -2.0279284378 0.0750923034 0.0603430973 0.0603430973 0.6566810954 0.2102959375 0.2772854849
0.1397765879 0.0873109426 -2.5215638844 -2.8888234017 0.0666380096 0.0606269113 0.0606269113 0.1397765879 0.0873109426 0.9969127393
0.8251693697 0.3076511995 2.2761855879 -1.3464416037 0.0750923034 2.8614863359 0.0750923034 0.8251693697 0.3076511995 0.7967013616
0.0565406853 0.4602602111 -3.1042152026 -0.2781785223 0.0750923034 0.0606269113 0.0606269113 0.0565406853 0.4602602111 0.8172907828
0.9974630630 0.9591686166 3.4822414407 3.2141803160 0.0750923034 0.0750923034 0.0750923034 0.9974630630 0.9591686166 0.7322157243
0.9734237995 0.0858283538 3.3139665964 -2.8992015235 0.0531522116 0.0603430973 0.0531522116 0.9734237995 0.0858283538 0.4027644063
0.0828836200 0.8412815987 -2.9198146603 2.3889711911 0.0750923034 0.0750923034 0.0750923034 0.0828836200 0.8412815987 0.6822679740
0.4808179167 0.6314198263 -0.1342745833 0.9199387843 0.0750923034 0.0750923034 0.0750923034 0.4808179167 0.6314198263 0.5485389803
