# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.1963646626 0.8674714967 -2.1254473616 2.5723004769 89.9999990060 89.9999987132 89.9999987132 0.1963646626 0.8674714967 0.3726601431
0.6149513783 0.6568438191 0.8046596480 1.0979067334 89.9696173420 89.9534288261 89.9534288261 0.6149513783 0.6568438191 0.2268773347
0.1959965671 0.8674256808 -2.1280240300 2.5719797659 87.7107320396 87.6474279474 87.6474279474 0.1959965671 0.8674256808 0.3374859218
0.6114095315 0.6549237645 0.7798667208 1.0844663516 86.9564328442 86.7906504360 86.7906504360 0.6114095315 0.6549237645 0.1959443834
0.5915818992 0.6603938890 0.6410732946 1.1227572230 85.3659392535 84.5436100867 84.5436100867 0.5915818992 0.6603938890 0.2297285879
0.1937338229 0.8321493231 -2.1438632394 2.3250452619 86.5140633511 80.3770111114 80.3770111114 0.1937338229 0.8321493231 0.3682089212
0.6159543647 0.6219736914 0.8116805527 0.8538158400 85.3767171502 79.5395249585 79.5395249585 0.6159543647 0.6219736914 0.2354929672
0.6616614938 0.6545761947 1.1316304567 1.0820333627 78.8304114781 78.4572941249 78.4572941249 0.6616614938 0.6545761947 0.2300565538
0.2357178310 0.8674836074 -1.8499751832 2.5723852520 79.6887080157 77.7962735734 77.7962735734 0.2357178310 0.8674836074 0.3723559171
0.6432652013 0.6530316729 1.0028564088 1.0712217105 77.9993195494 77.2095119544 77.2095119544 0.6432652013 0.6530316729 0.1986774897
0.2026411894 0.8632705183 -2.0815116739 2.5428936280 76.8245626905 76.6734195701 76.6734195701 0.2026411894 0.8632705183 0.3076341415
0.6104029900 0.6559420166 0.7728209300 1.0915941159 73.6348784748 73.6154757392 73.6154757392 0.6104029900 0.6559420166 0.1407114112
0.1651336931 0.8509797288 -2.3440641484 2.4568581014 76.2643480363 73.5117752764 73.5117752764 0.1651336931 0.8509797288 0.3673062292
0.5755830815 0.6554056012 0.5290815702 1.0878392085 73.5084073905 74.9928468300 73.5084073905 0.5755830815 0.6554056012 0.1970470407
0.1513777663 0.8677905808 -2.4403556357 2.5745340654 73.1963824686 75.5638593720 73.1963824686 0.1513777663 0.8677905808 0.3726999145
0.6267174115 0.6213530076 0.8870218802 0.8494710532 77.1068306262 69.7321057083 69.7321057083 0.6267174115 0.6213530076 0.1950096811
0.2357178310 0.8672818898 -1.8499751832 2.5709732288 71.2013339261 68.5351791586 68.5351791586 0.2357178310 0.8672818898 0.3363670985
0.6211968414 0.6543692347 0.8483778896 1.0805846429 71.4114994822 68.3723779750 68.3723779750 0.6211968414 0.6543692347 0.1385142861
0.1952606243 0.8173175064 -2.1331756301 2.2212225446 69.0233969315 66.2746954099 66.2746954099 0.1952606243 0.8173175064 0.3394047212
0.5956504083 0.6390361442 0.6695528578 0.9732530091 68.1174030488 65.8097534540 65.8097534540 0.5956504083 0.6390361442 0.1687485742
