# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm
0.1963646626 0.8674714967 -2.1254473616 2.5723004769 89.9999990060 89.9999987132 89.9999987132 0.1963646626 0.8674714967 0.3726601431
0.1963646626 0.8674714967 -2.1254473616 2.5723004769 89.9999990060 89.9999987132 89.9999987132 0.1963646626 0.8674714967 0.3726601431
0.1963582705 0.8674706431 -2.1254921064 2.5722945020 89.9999987345 89.9999985101 89.9999985101 0.1963582705 0.8674706431 0.3726545684
0.1963610212 0.8674793646 -2.1254728517 2.5723555521 89.9999991856 89.9999982146 89.9999982146 0.1963610212 0.8674793646 0.3726464447
0.1963611877 0.8674689852 -2.1254716858 2.5722828961 89.9999985828 89.9999980958 89.9999980958 0.1963611877 0.8674689852 0.3726604954
0.1963577995 0.8674756683 -2.1254954032 2.5723296784 89.9999988007 89.9999980890 89.9999980890 0.1963577995 0.8674756683 0.3726473961
0.1963582196 0.8674749950 -2.1254924628 2.5723249648 89.9999987259 89.9999980521 89.9999980521 0.1963582196 0.8674749950 0.3726497432
0.1963558976 0.8674691326 -2.1255087167 2.5722839283 89.9999983930 89.9999979677 89.9999979677 0.1963558976 0.8674691326 0.3726505148
0.1963538620 0.8674711507 -2.1255229662 2.5722980551 89.9999982341 89.9999979421 89.9999979421 0.1963538620 0.8674711507 0.3726485590
0.1963626615 0.8674721464 -2.1254613693 2.5723050246 89.9999984569 89.9999979397 89.9999979397 0.1963626615 0.8674721464 0.3726651935
0.1963556940 0.8674730913 -2.1255101417 2.5723116393 89.9999984198 89.9999979111 89.9999979111 0.1963556940 0.8674730913 0.3726489359
0.1963652430 0.8674755355 -2.1254432991 2.5723287485 89.9999986942 89.9999978805 89.9999978805 0.1963652430 0.8674755355 0.3726572087
0.1963595315 0.8674716515 -2.1254832797 2.5723015604 89.9999983097 89.9999978692 89.9999978692 0.1963595315 0.8674716515 0.3726599308
0.1963558976 0.8674719196 -2.1255087167 2.5723034370 89.9999982702 89.9999978568 89.9999978568 0.1963558976 0.8674719196 0.3726518758
0.1963525161 0.8674723424 -2.1255323873 2.5723063971 89.9999981915 89.9999977751 89.9999977751 0.1963525161 0.8674723424 0.3726446200
0.1963562004 0.8674701765 -2.1255065970 2.5722912352 89.9999981144 89.9999977429 89.9999977429 0.1963562004 0.8674701765 0.3726545033
0.1963631424 0.8674806253 -2.1254580030 2.5723643769 89.9999989759 89.9999976836 89.9999976836 0.1963631424 0.8674806253 0.3726518830
0.1963539957 0.8674677333 -2.1255220302 2.5722741329 89.9999982487 89.9999976531 89.9999976531 0.1963539957 0.8674677333 0.3726459078
0.1963534498 0.8674708757 -2.1255258517 2.5722961301 89.9999979523 89.9999976458 89.9999976458 0.1963534498 0.8674708757 0.3726500214
0.1963610212 0.8674699439 -2.1254728517 2.5722896071 89.9999981189 89.9999976259 89.9999976259 0.1963610212 0.8674699439 0.3726649663
0.1963555275 0.8674740500 -2.1255113075 2.5723183503 89.9999982701 89.9999976049 89.9999976049 0.1963555275 0.8674740500 0.3726486645
0.1963613913 0.8674678134 -2.1254702609 2.5722746938 89.9999982579 89.9999975259 89.9999975259 0.1963613913 0.8674678134 0.3726622616
0.1963558976 0.8674719196 -2.1255087167 2.5723034370 89.9999979820 89.9999974999 89.9999974999 0.1963558976 0.8674719196 0.3726540098
0.1963530796 0.8674730062 -2.1255284425 2.5723110434 89.9999979535 89.9999973830 89.9999973830 0.1963530796 0.8674730062 0.3726468101
0.1963611002 0.8674745826 -2.1254722986 2.5723220779 89.9999982359 89.9999973770 89.9999973770 0.1963611002 0.8674745826 0.3726606487
0.1963595643 0.8674755783 -2.1254830497 2.5723290480 89.9999982841 89.9999973450 89.9999973450 0.1963595643 0.8674755783 0.3726557162
0.1963624465 0.8674751567 -2.1254628744 2.5723260967 89.9999982572 89.9999973030 89.9999973030 0.1963624465 0.8674751567 0.3726628423
0.1963500308 0.8674698497 -2.1255497845 2.5722889478 89.9999976224 89.9999972349 89.9999972349 0.1963500308 0.8674698497 0.3726440463
0.1963562677 0.8674697891 -2.1255061259 2.5722885237 89.9999976865 89.9999971674 89.9999971674 0.1963562677 0.8674697891 0.3726572212
0.1963589258 0.8674770022 -2.1254875192 2.5723390155 89.9999982534 89.9999971263 89.9999971263 0.1963589258 0.8674770022 0.3726529298
0.1963620764 0.8674772871 -2.1254654652 2.5723410100 89.9999982495 89.9999970122 89.9999970122 0.1963620764 0.8674772871 0.3726596310
0.1963583455 0.8674729634 -2.1254915817 2.5723107439 89.9999977108 89.9999969653 89.9999969653 0.1963583455 0.8674729634 0.3726601431
0.1963591942 0.8674777088 -2.1254856405 2.5723439613 89.9999981269 89.9999968408 89.9999968408 0.1963591942 0.8674777088 0.3726536786
